//0
//<Encoding>UTF-8</Encoding>
//File updated on 01/10/2024 12:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906484
//Institution ID: 20175
//MBARI ID: ua20175
//Project Name: GO-BGC
//Region: NPac
//No missing float profiles
//Missing Float data detected for adjusted station(s): 57 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	14434	
//Temperature[°C]	Sbe41cp	14434	
//Salinity[pss]	Sbe41cp	14434	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3710	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L20.A20.208208 Spec#121338 Ti probe #2110184.014  ARGO float#945  DF#314  CTD#14434	
//Chl_a[mg/m^3]	FLBBAP2	6852	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	6852	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//POC[mmol/m^3]	FLBBAP2	6852	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	314	
//pH25C[Total]	Durafet	314	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim Eqn7, MeasIDVec = [1 6 7] (PSAL, DOXY_ADJ, TEMP), (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(Sharp et al., 2020; see also Lewis and Wallace 1998)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//This correction is not necessary for DIC and DIC is computed with the reported pH and the TALK_LIAR value.
//
//NOTE ON Chl_a [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0616	0.0000	0.0000
//Nitrate	1	0.9800	1.8389	-41.0717
//Nitrate	3	0.9800	0.5297	0.3113
//Nitrate	68	0.9800	0.8027	0.0000
//pH	1	1.0000	-0.0139	0.9267
//pH	3	1.0000	0.0139	0.0212
//pH	36	1.0000	0.0298	0.0086
//pH	68	1.0000	0.0461	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
// NO2 Params  Bottom Top Cumlength800  60  30
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	Nitrite[µmol/kg]	QF	S2O3[µmol/kg]	QF	PO4_CANY[µmol/kg]	QF	NO3_CANY[µmol/kg]	QF
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1798.72	0	2.4728	0	34.6213	0	27.640	0	1780.362	0	71.97	0	22.0	0	41.46	0	0.0037	0	0.000198	0	0.77	0	7.6772	0	7.4415	0	2414	0	2371	0	810.0	0	0.00	0	0.00	0	2.96	0	41.42	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1699.33	0	2.6036	0	34.6145	0	27.623	0	1682.380	0	65.10	0	19.9	0	41.94	0	0.0037	0	0.000210	0	0.80	0	7.6648	0	7.4287	0	2411	0	2373	0	844.1	0	0.00	0	0.00	0	3.00	0	41.91	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1599.74	0	2.7920	0	34.6057	0	27.599	0	1584.156	0	56.83	0	17.5	0	42.37	0	0.0073	0	0.000198	0	0.77	0	7.6487	0	7.4134	0	2406	0	2373	0	887.3	0	0.00	0	0.00	0	3.06	0	42.48	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1499.78	0	3.0101	0	34.5948	0	27.571	0	1485.520	0	48.77	0	15.1	0	43.03	0	0.0073	0	0.000211	0	0.80	0	7.6305	0	7.3968	0	2400	0	2374	0	937.3	0	0.00	0	0.00	0	3.11	0	43.03	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1400.29	0	3.2011	0	34.5859	0	27.545	0	1387.303	0	41.30	0	12.8	0	43.37	0	0.0073	0	0.000211	0	0.80	0	7.6138	0	7.3810	0	2396	0	2375	0	986.6	0	0.00	0	0.00	0	3.16	0	43.55	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1299.64	0	3.4786	0	34.5743	0	27.509	0	1287.894	0	32.62	0	10.2	0	43.79	0	0.0073	0	0.000212	0	0.80	0	7.5948	0	7.3642	0	2390	0	2374	0	1044.2	0	0.00	0	0.00	0	3.21	0	44.10	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1198.98	0	3.8260	0	34.5617	0	27.465	0	1188.427	0	23.43	0	7.4	0	44.28	0	0.0073	0	0.000213	0	0.81	0	7.5713	0	7.3443	0	2381	0	2372	0	1116.5	0	0.00	0	0.00	0	3.26	0	44.54	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	1099.83	0	4.1949	0	34.5510	0	27.418	0	1090.407	0	15.51	0	4.9	0	44.68	0	0.0037	0	0.000226	0	0.84	0	7.5532	0	7.3293	0	2373	0	2369	0	1178.2	0	0.00	0	0.00	0	3.29	0	44.72	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	999.12	0	4.5797	0	34.5406	0	27.368	0	990.798	0	8.24	0	2.6	0	44.62	0	0.0109	0	0.000226	0	0.84	0	7.5363	0	7.3156	0	2364	0	2365	0	1240.0	0	0.00	0	0.00	0	3.32	0	44.59	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	951.13	0	4.7112	0	34.5375	0	27.350	0	943.316	0	6.39	0	2.1	0	44.45	0	0.0073	0	0.000239	0	0.87	0	7.5205	0	7.3015	0	2362	0	2368	0	1294.9	0	0.00	0	0.00	0	3.32	0	44.44	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	901.13	0	4.9184	0	34.5347	0	27.324	0	893.833	0	4.21	0	1.4	0	44.01	0	0.0109	0	0.000215	0	0.81	0	7.5154	0	7.2976	0	2358	0	2365	0	1318.0	0	0.00	0	0.00	0	3.32	0	44.12	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	851.10	0	5.1195	0	34.5321	0	27.299	0	844.309	0	2.80	0	0.9	0	43.51	0	0.0109	0	0.000227	0	0.84	0	7.5138	0	7.2968	0	2354	0	2361	0	1329.8	0	0.00	0	0.00	0	3.32	0	43.70	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	801.11	0	5.3151	0	34.5287	0	27.273	0	794.813	0	1.94	0	0.6	0	42.92	0	0.0109	0	0.000215	0	0.81	0	7.5137	0	7.2972	0	2350	0	2357	0	1337.2	0	0.00	0	0.00	0	3.31	0	43.17	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	751.76	0	5.5827	0	34.5228	0	27.236	0	745.939	0	1.37	0	0.5	0	41.83	0	0.0109	0	0.000240	0	0.88	0	7.5130	0	7.2981	0	2346	0	2353	0	1346.7	0	0.00	0	0.00	0	3.29	0	42.34	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	701.11	0	5.9116	0	34.5199	0	27.192	0	695.766	0	0.93	0	0.3	0	40.52	0	0.0073	0	0.000265	0	0.94	0	7.5131	0	7.3002	0	2342	0	2348	0	1354.8	0	0.00	0	0.00	0	3.26	0	41.17	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	651.84	0	6.1868	0	34.5221	0	27.159	0	646.948	0	0.84	0	0.3	0	38.89	0	0.0073	0	0.000229	0	0.85	0	7.5146	0	7.3031	0	2338	0	2343	0	1357.5	0	0.01	0	0.00	0	3.24	0	40.07	0
