Var1,Cruise,Station,Type,mon_day_yr,hh_mm,lon,lat,QF,IceEvRec,pres,QF_1,temp,QF_2,psal,QF_3,Sigma_theta_kg_m_3_,QF_4,Depth_m_,QF_5,doxy,QF_6,OxygenSat___,QF_7,Nitrate__mol_kg_,QF_8,Chl_a_mg_m_3_,QF_9,b_bp700_1_m_,QF_10,POC_mmol_m_3_,QF_11,pHinsitu_Total_,QF_12,pH25C_Total_,QF_13,TALK_LIAR__mol_kg_,QF_14,DIC_LIAR__mol_kg_,QF_15,pCO2_LIAR__atm_,QF_16,Nitrite__mol_kg_,QF_17,S2O3__mol_kg_,QF_18,gtime,PO4_CANY,NO3_CANY,SiOH4_CANY
0,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1798.72,0,2.4728,0,34.6213,0,27.64,0,1780.362,0,72.07,0,22,0,41.64,0,0.0037,0,0.000198,0,0.77,0,7.6782,0,7.4423,0,2414,0,2371,0,808.1,0,0,0,0,0,2022.04045852359,2.95565096105505,41.4172170716984,144.507361605129
1,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1699.33,0,2.6036,0,34.6145,0,27.623,0,1682.38,0,65.2,0,20,0,42.11,0,0.0037,0,0.00021,0,0.8,0,7.6658,0,7.4296,0,2411,0,2372,0,842.1,0,0,0,0,0,2022.04045852359,3.001901464039,41.90201754057,141.934010712172
2,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1599.74,0,2.792,0,34.6057,0,27.599,0,1584.156,0,56.91,0,17.5,0,42.53,0,0.0073,0,0.000198,0,0.77,0,7.6497,0,7.4143,0,2406,0,2373,0,885.2,0,0,0,0,0,2022.04045852359,3.05735128565773,42.4754317688888,137.965176801998
3,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1499.78,0,3.0101,0,34.5948,0,27.571,0,1485.52,0,48.84,0,15.1,0,43.18,0,0.0073,0,0.000211,0,0.8,0,7.6315,0,7.3976,0,2400,0,2373,0,935.1,0,0,0,0,0,2022.04045852359,3.11017863583472,43.0285798594826,133.113957866439
4,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1400.29,0,3.2011,0,34.5859,0,27.545,0,1387.303,0,41.36,0,12.8,0,43.51,0,0.0073,0,0.000211,0,0.8,0,7.6148,0,7.3818,0,2396,0,2374,0,984.3,0,0,0,0,0,2022.04045852359,3.15733838409373,43.5458490373142,128.780742341756
5,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1299.64,0,3.4786,0,34.5743,0,27.509,0,1287.894,0,32.67,0,10.2,0,43.92,0,0.0073,0,0.000212,0,0.8,0,7.5958,0,7.3651,0,2390,0,2374,0,1041.8,0,0,0,0,0,2022.04045852359,3.20853336599994,44.0934706594641,122.575375565925
6,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1198.98,0,3.826,0,34.5617,0,27.465,0,1188.427,0,23.47,0,7.4,0,44.4,0,0.0073,0,0.000213,0,0.81,0,7.5723,0,7.3452,0,2381,0,2372,0,1113.9,0,0,0,0,0,2022.04045852359,3.25700343206541,44.5413591267427,115.088134544082
7,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1099.83,0,4.1949,0,34.551,0,27.418,0,1090.407,0,15.53,0,4.9,0,44.8,0,0.0037,0,0.000226,0,0.84,0,7.5542,0,7.3302,0,2373,0,2368,0,1175.5,0,0,0,0,0,2022.04045852359,3.29148311300365,44.7143306312896,107.523077116204
8,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,999.12,0,4.5797,0,34.5406,0,27.368,0,990.798,0,8.26,0,2.7,0,44.73,0,0.0109,0,0.000226,0,0.84,0,7.5373,0,7.3164,0,2364,0,2365,0,1237.1,0,0,0,0,0,2022.04045852359,3.31627501132768,44.5895090707502,100.161166497066
9,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,951.13,0,4.7112,0,34.5375,0,27.35,0,943.316,0,6.4,0,2.1,0,44.57,0,0.0073,0,0.000239,0,0.87,0,7.5215,0,7.3023,0,2362,0,2367,0,1291.9,0,0,0,0,0,2022.04045852359,3.31970064107505,44.4426636223548,97.7494938225442
10,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,901.13,0,4.9184,0,34.5347,0,27.324,0,893.833,0,4.21,0,1.4,0,44.14,0,0.0109,0,0.000215,0,0.81,0,7.5164,0,7.2985,0,2358,0,2365,0,1314.9,0,0,0,0,0,2022.04045852359,3.32009636581953,44.1210091528441,94.1999959098535
11,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,851.1,0,5.1195,0,34.5321,0,27.299,0,844.309,0,2.8,0,0.9,0,43.65,0,0.0109,0,0.000227,0,0.84,0,7.5148,0,7.2977,0,2354,0,2361,0,1326.7,0,0,0,0,0,2022.04045852359,3.31522797434827,43.6953918378113,90.9497422581504
12,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,801.11,0,5.3151,0,34.5287,0,27.273,0,794.813,0,1.94,0,0.6,0,43.07,0,0.0109,0,0.000215,0,0.81,0,7.5147,0,7.2981,0,2350,0,2357,0,1334.1,0,0,0,0,0,2022.04045852359,3.30636894029846,43.1714111394831,87.9703545090246
