CRUISEID,EXPOCODE,STNNBR,CASTNO,SAMPNO,DATE,TIME,ISO_DateTime_UTC,LATITUDE,LONGITUDE,BOTTOM_DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDS_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLOR,FLOR_FLAG_W,NOx,NOx_FLAG_W,NOx_stdev,NOx_STD_FLAG_W,NITRIT_BabLab,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TEMP,TA,TA_FLAG_W
FK180624,33FA20180624,6,1,19,5/7/18,13:16:23,2018-07-05T20:16:23Z,13.99938,-107.00078,3000,180.821,12.4664,34.8029,2,0.618,2,0.0378,2,27.55797593,6,1.162146234,2,1.16,2,2.62,2,0,2,7.430694,2,25,-999,9
FK180624,33FA20180624,14,1,12,11/7/18,20:43:59,2018-07-12T03:43:59Z,14.00151,-114.99519,4000,151.596,12.3777,34.7498,2,0.633,2,0.0584,2,28.45508621,6,0.366981153,2,0.4969557,2,2.734254144,2,0.013718686,2,-999,9,25,-999,9
FK180624,33FA20180624,18,2,4,13-07-2018,16:06:21,2018-07-13T23:06:21Z,16.99974,-119.00198,4000,255.796,10.8046,34.6661,2,0.668,2,0.0451,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,25,-999,9
FK180624,33FA20180624,18,1,6,13-07-2018,13:34:21,2018-07-13T20:34:21Z,17.00193,-119.00018,4000,650.523,6.178,34.5094,2,3.514,2,0.0637,2,44.70780872,6,1.600653353,2,0,2,3.346950196,2,0.000185541,2,7.336066,2,25,1983.89,4
FK180624,33FA20180624,6,1,24,5/7/18,13:16:23,2018-07-05T20:16:23Z,13.999,-107.0008,3000,9.901,28.1314,33.7246,2,189.32,2,0.0536,2,0,2,-999,9,0,2,0.23,2,0,2,8.068339,2,25,2237.95,2
FK180624,33FA20180624,5,1,24,5/7/18,5:34:12,2018-07-05T12:34:12Z,14.00012,-105.99978,3000,3.419,28.2421,33.6995,2,190.927,2,0.0598,2,0,2,-999,9,0,2,0.222777778,2,0,2,8.0659795,6,25,2238.49,2
FK180624,33FA20180624,2,5,24,4/7/18,3:44:47,2018-07-04T10:44:47Z,13.9999,-102.9994,3000,15.065,28.3528,33.7142,2,189.428,2,-999,9,0,2,-999,9,0,2,0.211790393,2,0.006409593,2,8.090721,2,25,2238.85,2
FK180624,33FA20180624,1,1,24,30-06-2018,6:30:11,2018-06-30T13:30:11Z,13.99251,-101.99474,3000,2.621,28.7199,33.6936,2,196.581,2,0.0519,2,0,2,-999,9,0,2,0.297952586,2,0,2,8.075141,6,25,2240.54,2
FK180624,33FA20180624,5,1,23,5/7/18,5:34:12,2018-07-05T12:34:12Z,14.00018,-105.99972,3000,15.64,28.2372,33.7,2,189.862,2,0.0568,2,0,2,-999,9,0,2,0.261666667,2,0,2,8.068783,2,25,2240.97,2
FK180624,33FA20180624,9,9,24,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.9997,-110.00079,3700,10.177,27.9799,33.8339,2,198.808,2,0.2268,2,0.46,2,-999,9,0.139044072,2,0.286443562,2,0.061437114,2,8.046009,2,25,2242.84,2
