,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
0,1780.362,2022-01-15,1,17.021,252.269,2.4728,34.6213,1798.72,1035.9346837960177,27.654138798328404,2371.0,2.95565096105505,41.64,0.0,-2.750415376880801,2414.0,7.6782,72.07
1,1682.38,2022-01-15,1,17.021,252.269,2.6036,34.6145,1699.33,1035.462271189081,27.636795832956068,2372.0,3.001901464039,42.11,0.0,-3.020423424623998,2411.0,7.6658,65.2
2,1584.156,2022-01-15,1,17.021,252.269,2.792,34.6057,1599.74,1034.9794083289196,27.612630332117533,2373.0,3.05735128565773,42.53,0.0,-3.48762057052368,2406.0,7.6497,56.91
3,1485.52,2022-01-15,1,17.021,252.269,3.0101,34.5948,1499.78,1034.4889034467924,27.583622262312474,2373.0,3.11017863583472,43.18,0.0,-3.6828581733555183,2400.0,7.6315,48.84
4,1387.303,2022-01-15,1,17.021,252.269,3.2011,34.5859,1400.29,1034.0049960817228,27.557897138259477,2374.0,3.15733838409373,43.51,0.0,-4.10741414549968,2396.0,7.6148,41.36
5,1287.894,2022-01-15,1,17.021,252.269,3.4786,34.5743,1299.64,1033.5020581278393,27.521305813084837,2374.0,3.20853336599994,43.92,0.0,-4.516533855999041,2390.0,7.5958,32.67
6,1188.427,2022-01-15,1,17.021,252.269,3.826,34.5617,1198.98,1032.9886961051532,27.476006718172357,2372.0,3.25700343206541,44.4,0.0,-4.812054913046564,2381.0,7.5723,23.47
7,1090.407,2022-01-15,1,17.021,252.269,4.1949,34.551,1099.83,1032.4802068154531,27.42845625207383,2368.0,3.29148311300365,44.8,0.0,-4.963729808058401,2373.0,7.5542,15.53
8,990.798,2022-01-15,1,17.021,252.269,4.5797,34.5406,999.12,1031.9620252341238,27.377702553453673,2365.0,3.31627501132768,44.73,0.0,-5.430400181242886,2364.0,7.5373,8.26
9,943.316,2022-01-15,1,17.021,252.269,4.7112,34.5375,951.13,1031.723255470846,27.360051096180086,2367.0,3.31970064107505,44.57,0.0,-5.6452102572008,2362.0,7.5215,6.4
10,893.833,2022-01-15,1,17.021,252.269,4.9184,34.5347,901.13,1031.4652023735541,27.333876688290957,2365.0,3.32009636581953,44.14,0.0,-6.081541853112482,2358.0,7.5164,4.21
11,844.309,2022-01-15,1,17.021,252.269,5.1195,34.5321,851.1,1031.2077620365353,27.30801908363219,2361.0,3.31522797434827,43.65,0.0,-6.4936475895723245,2354.0,7.5148,2.8
12,794.813,2022-01-15,1,17.021,252.269,5.3151,34.5287,801.11,1030.9504134809167,27.281674593038133,2357.0,3.30636894029846,43.07,0.0,-6.931903044775359,2350.0,7.5147,1.94
13,745.939,2022-01-15,1,17.021,252.269,5.5827,34.5228,751.76,1030.683771090364,27.244201246251578,2353.0,3.28965625400078,42.0,0.0,-7.734500064012478,2346.0,7.514,1.37
14,695.766,2022-01-15,1,17.021,252.269,5.9116,34.5199,701.11,1030.4044885108667,27.200611414245714,2348.0,3.26417705877356,40.72,0.0,-8.60683294037696,2342.0,7.514,0.93
15,646.948,2022-01-15,1,17.021,252.269,6.1868,34.5221,651.84,1030.1425196163898,27.16663230497329,2343.0,3.23650432913199,39.13,0.0,-9.75406926611184,2338.0,7.5156,0.84
16,596.988,2022-01-15,1,17.021,252.269,6.5754,34.5237,601.43,1029.8578918726325,27.11634654427712,2338.0,3.19390889142235,37.08,0.01,-11.112542262757605,2334.0,7.5152,0.81
17,547.86,2022-01-15,1,17.021,252.269,7.1424,34.5321,551.87,1029.5545720492019,27.045129810476965,2332.0,3.12469658875221,34.12,0.94,-12.035145420035361,2328.0,7.5131,0.84
18,498.144,2022-01-15,1,17.021,252.269,7.662,34.541,501.73,1029.2539915265966,26.977489151528516,2326.0,3.0524431536044,32.27,0.81,-12.859090457670396,2323.0,7.5122,0.88
19,446.71,2022-01-15,1,17.021,252.269,8.2621,34.5565,449.87,1028.9358567223026,26.89982275248758,2320.0,2.96541108412668,29.94,0.95,-13.656577346026877,2318.0,7.5088,0.91
20,398.498,2022-01-15,1,17.021,252.269,8.8416,34.5749,401.27,1028.6354276656343,26.82373966694786,2314.0,2.88219545331649,28.14,1.0,-14.075127253063838,2314.0,7.5083,0.88
21,378.347,2022-01-15,1,17.021,252.269,9.0578,34.5841,380.96,1028.5146231591245,26.796131636173186,2312.0,2.85087656208337,27.29,1.23,-14.19402499333392,2312.0,7.5077,0.9
22,358.373,2022-01-15,1,17.021,252.269,9.2451,34.5922,360.83,1028.3983287939109,26.771820002322784,2310.0,2.82387622982788,26.47,1.49,-14.322019677246084,2311.0,7.5078,0.9
23,349.441,2022-01-15,1,17.021,252.269,9.401,34.601,351.83,1028.3379921541334,26.753137836925134,2309.0,2.80285333939467,25.86,1.58,-14.505653430314721,2310.0,7.508,0.92
24,338.763,2022-01-15,1,17.021,252.269,9.5697,34.614,341.07,1028.2705845941666,26.735323870881984,2307.0,2.77944655766493,25.2,1.77,-14.601144922638879,2309.0,7.508,0.92
25,329.643,2022-01-15,1,17.021,252.269,9.6813,34.6163,331.88,1028.2116031468424,26.71838109992359,2307.0,2.76556715368983,24.74,1.82,-14.789074459037282,2309.0,7.5065,0.92
26,319.44,2022-01-15,1,17.021,252.269,9.8738,34.6261,321.6,1028.1393210474794,26.693567362394106,2305.0,2.74159042292769,23.89,2.19,-14.88544676684304,2308.0,7.5075,0.92
27,309.227,2022-01-15,1,17.021,252.269,10.0716,34.6425,311.31,1028.070882057826,26.67260651026254,2304.0,2.71538963275356,23.27,2.26,-15.016234124056956,2308.0,7.5085,0.94
28,299.41,2022-01-15,1,17.021,252.269,10.2231,34.6478,301.42,1028.0035412255504,26.650541399671056,2303.0,2.69789049811613,22.46,2.54,-15.266247969858076,2307.0,7.508,0.94
29,289.345,2022-01-15,1,17.021,252.269,10.4175,34.6592,291.28,1027.9319553909875,26.625569018833176,2302.0,2.67475226577208,21.57,2.57,-15.756036252353281,2306.0,7.5082,0.96
30,279.19,2022-01-15,1,17.021,252.269,10.6417,34.6716,281.05,1027.8550024790632,26.595727821448918,2300.0,2.64956375448447,20.68,2.78,-16.033020071751523,2306.0,7.5095,0.95
31,269.56,2022-01-15,1,17.021,252.269,10.7282,34.677,271.35,1027.799816845864,26.584386975994676,2299.0,2.63881120966827,20.3,2.93,-16.09097935469232,2305.0,7.5098,0.97
32,260.069,2022-01-15,1,17.021,252.269,10.8797,34.6872,261.79,1027.7369935890868,26.565122466643288,2297.0,2.6213460076968,19.91,2.98,-16.1515361231488,2304.0,7.5113,0.97
33,249.635,2022-01-15,1,17.021,252.269,11.0265,34.6974,251.28,1027.6705896080593,26.546433327421028,2296.0,2.60442189329981,19.72,2.88,-16.170750292796964,2304.0,7.5136,0.98
34,239.299,2022-01-15,1,17.021,252.269,11.1185,34.7004,240.87,1027.6091004331279,26.53186569223476,2295.0,2.595090847502,19.73,2.89,-16.001453560032,2303.0,7.5132,0.98
35,230.035,2022-01-15,1,17.021,252.269,11.3001,34.7105,231.54,1027.5411335504923,26.50641562972737,2292.0,2.57662102514295,19.52,2.81,-15.995936402287205,2302.0,7.5166,0.98
36,220.085,2022-01-15,1,17.021,252.269,11.4097,34.7177,221.52,1027.4811520042215,26.49162188864011,2291.0,2.56490868697221,19.57,2.76,-15.808538991555364,2302.0,7.5176,0.98
37,210.165,2022-01-15,1,17.021,252.269,11.6608,34.7261,211.53,1027.395230554557,26.451333694933055,2289.0,2.54348193685511,19.91,2.76,-15.125710989681755,2301.0,7.5184,0.98
38,200.066,2022-01-15,1,17.021,252.269,11.777,34.7337,201.36,1027.3333127310716,26.43519060385188,2288.0,2.53213405696767,19.98,2.7,-14.934144911482717,2300.0,7.5188,0.96
39,190.085,2022-01-15,1,17.021,252.269,11.8253,34.7349,191.31,1027.2799196015778,26.426723050693454,2287.0,2.52790761641249,20.15,2.59,-14.806521862599839,2300.0,7.52,1.01
40,180.412,2022-01-15,1,17.021,252.269,11.9444,34.7367,181.57,1027.2147153480473,26.40531662407784,2286.0,2.51967235349993,20.14,2.63,-14.644757655998882,2300.0,7.5199,1.0
41,169.953,2022-01-15,1,17.021,252.269,12.1022,34.7467,171.04,1027.144695846476,26.382712601016237,2285.0,2.50563072358284,20.27,2.53,-14.390091577325437,2299.0,7.5226,1.0
42,160.338,2022-01-15,1,17.021,252.269,12.3305,34.7428,161.36,1027.0536736700785,26.33547990126226,2283.0,2.49435430640992,20.08,2.54,-14.389668902558723,2299.0,7.5216,1.0
43,150.455,2022-01-15,1,17.021,252.269,12.5728,34.7479,151.41,1026.9652004529014,26.29196196692351,2282.0,2.47876355060366,20.31,2.49,-13.96021680965856,2299.0,7.5223,1.01
44,140.313,2022-01-15,1,17.021,252.269,12.7957,34.7408,141.2,1026.8694823954913,26.242192799126542,2281.0,2.4707937025497,20.93,2.07,-13.632699240795203,2298.0,7.5201,1.02
45,130.995,2022-01-15,1,17.021,252.269,13.1666,34.729,131.82,1026.7433453244146,26.158620266786784,2278.0,2.45686736595758,21.5,1.73,-13.179877855321282,2296.0,7.5194,1.03
46,120.752,2022-01-15,1,17.021,252.269,13.5718,34.71,121.51,1026.5991649987259,26.061055035661184,2274.0,2.4448130180891,23.35,0.12,-12.747008289425596,2294.0,7.5203,1.07
47,110.956,2022-01-15,1,17.021,252.269,14.0955,34.6901,111.65,1026.4297682679642,25.93637621394896,2270.0,2.41017174576185,23.6,0.0,-12.0627479321896,2292.0,7.5221,3.08
48,100.882,2022-01-15,1,17.021,252.269,14.3667,34.657,101.51,1026.3010847444011,25.852951528601352,2265.0,2.37814167111107,23.77,0.0,-11.380266737777122,2290.0,7.5296,7.01
49,96.262,2022-01-15,1,17.021,252.269,14.6555,34.6141,96.86,1026.1848997037841,25.757769315476708,2259.0,2.35155593893374,23.6,0.0,-11.124895022939837,2287.0,7.5353,10.06
50,91.294,2022-01-15,1,17.021,252.269,15.0886,34.5656,91.86,1026.030349543458,25.625953085337187,2250.0,2.29543050055627,22.98,0.0,-10.846888008900317,2284.0,7.547,15.27
51,86.455,2022-01-15,1,17.021,252.269,15.2149,34.56,86.99,1025.9763666058054,25.593588054379552,2248.0,2.24935428098515,22.88,0.0,-10.209668495762402,2284.0,7.5533,19.92
52,81.387,2022-01-15,1,17.021,252.269,15.4337,34.5402,81.89,1025.88962312991,25.52958256005286,2242.0,2.22404877739268,22.34,0.0,-10.344780438282877,2283.0,7.566,21.93
53,76.399,2022-01-15,1,17.021,252.269,16.8629,34.4671,76.87,1025.4818991081754,25.14582667941886,2204.0,1.97776735710948,19.22,0.0,-9.524277713751681,2278.0,7.65,41.44
54,71.47,2022-01-15,1,17.021,252.269,17.8745,34.4509,71.91,1025.2036035886458,24.890434145389463,2197.0,1.73319760364364,17.72,0.0,-7.111161658298242,2279.0,7.6604,65.41
55,66.213,2022-01-15,1,17.021,252.269,18.35,34.4516,66.62,1025.0630748227438,24.773455408100972,2192.0,1.67463963317182,17.28,0.0,-6.61423413074912,2279.0,7.6709,70.33
56,61.493,2022-01-15,1,17.021,252.269,19.7519,34.4286,61.87,1024.666202252684,24.39861141727215,2166.0,1.52275840556082,15.3,0.0,-6.16413448897312,2276.0,7.7176,81.5
57,56.345,2022-01-15,1,17.021,252.269,21.2645,34.4151,56.69,1024.2279153490729,23.98403038489971,2135.0,1.24752176749755,12.12,0.0,-4.940348279960801,2276.0,7.7764,106.52
58,51.555,2022-01-15,1,17.021,252.269,23.4792,34.3506,51.87,1023.5306718696288,23.30915420948577,2098.0,0.834070493251584,7.56,0.0,-2.8851278920253445,2272.0,7.8247,139.64
59,46.616,2022-01-15,1,17.021,252.269,25.5947,34.118,46.9,1022.6980202670143,22.498989410613717,2051.0,0.480559314015886,5.87,0.0,1.0810509757458244,2254.0,7.8644,162.9
60,41.547,2022-01-15,1,17.021,252.269,25.7284,34.0477,41.8,1022.5816208687257,22.40427876566548,2047.0,0.521081928751232,6.52,0.0,1.0826891399802867,2248.0,7.8587,154.93
61,36.618,2022-01-15,1,17.021,252.269,26.9166,33.7696,36.84,1021.9780114479231,21.822201489687586,2002.0,0.329262075857992,4.92,0.0,2.551806786272128,2227.0,7.8966,166.91
62,31.479,2022-01-15,1,17.021,252.269,27.4499,33.7182,31.67,1021.7464228485404,21.612670968132193,1973.0,0.239621450221064,3.36,0.0,2.426056796462976,2223.0,7.9411,176.47
63,26.828,2022-01-15,1,17.021,252.269,28.2585,33.5351,26.99,1021.3260486540735,21.212291926818466,1931.0,0.122254159708065,1.44,0.0,2.38393344467096,2211.0,7.9897,200.69
64,21.471,2022-01-15,1,17.021,252.269,28.2861,33.5177,21.6,1021.2807438427535,21.189704551658338,1929.0,0.121157596516375,1.44,0.0,2.401478455738,2210.0,7.9904,201.1
65,16.242,2022-01-15,1,17.021,252.269,28.2964,33.5145,16.34,1021.2523676330642,21.183496003762002,1926.0,0.121325517083733,1.3,0.0,2.258791726660272,2209.0,7.9934,201.35
66,11.332,2022-01-15,1,17.021,252.269,28.3049,33.5112,11.4,1021.2258956464042,21.177844123946443,1925.0,0.12176959225546,1.39,0.0,2.3416865239126397,2208.0,7.9932,201.46
67,5.596,2022-01-15,1,17.021,252.269,28.3384,33.5057,5.63,1021.1859914809535,21.162261408350673,1924.0,0.121917267478592,1.51,0.0,2.459323720342528,2207.0,7.994,201.52
68,1879.369,2022-01-26,2,16.956,252.449,2.336,34.6293,1899.19,1036.4131481362715,27.672646160028762,2369.0,2.92215450958612,41.26,0.0,-2.5944721533779203,2417.0,7.6931,77.06
69,1780.585,2022-01-26,2,16.956,252.449,2.4568,34.6233,1798.94,1035.9393268712972,27.65704032940289,2371.0,2.96466318946332,41.62,0.0,-2.914611031413122,2415.0,7.6814,70.72
70,1683.086,2022-01-26,2,16.956,252.449,2.6184,34.6145,1700.04,1035.4635420921054,27.63553417315029,2373.0,3.01670013168431,42.2,0.0,-3.1672021069489547,2411.0,7.6644,63.04
71,1584.112,2022-01-26,2,16.956,252.449,2.8136,34.6051,1599.69,1034.9758885509245,27.61025511462958,2374.0,3.07273280035901,42.63,0.0,-3.633724805744157,2406.0,7.6461,54.67
72,1485.051,2022-01-26,2,16.956,252.449,3.0654,34.5943,1499.3,1034.4791352131685,27.57823214190239,2374.0,3.13086289468953,43.36,0.0,-3.8338063150324815,2399.0,7.6246,45.68
73,1385.757,2022-01-26,2,16.956,252.449,3.2892,34.5843,1398.72,1033.985166739023,27.548437984935845,2374.0,3.18160328847642,43.89,0.0,-4.11565261562272,2394.0,7.6068,37.49
74,1288.184,2022-01-26,2,16.956,252.449,3.5148,34.5746,1299.93,1033.498894587745,27.5180697218168,2374.0,3.21853022984231,44.27,0.0,-4.326483677476956,2389.0,7.5908,31.03
75,1189.113,2022-01-26,2,16.956,252.449,3.8097,34.563,1199.67,1032.994973300447,27.478653556025847,2372.0,3.25917329809273,44.48,0.0,-4.766772769483685,2381.0,7.5722,23.27
76,1089.531,2022-01-26,2,16.956,252.449,4.1638,34.5527,1098.94,1032.4815852264624,27.433004649300756,2370.0,3.2965230673662,45.04,0.0,-4.804369077859198,2373.0,7.5529,14.96
77,991.632,2022-01-26,2,16.956,252.449,4.5265,34.5427,999.96,1031.9746119001916,27.38513054592954,2367.0,3.31688057613221,44.98,0.0,-5.190089218115366,2366.0,7.5358,8.66
78,943.309,2022-01-26,2,16.956,252.449,4.6717,34.5405,951.12,1031.730854916573,27.36675978284211,2366.0,3.32135072634856,44.84,0.0,-5.40161162157696,2363.0,7.5295,6.49
79,893.856,2022-01-26,2,16.956,252.449,4.8809,34.5355,901.15,1031.4709793517516,27.338711215379362,2363.0,3.32147407123365,44.55,0.0,-5.693585139738401,2359.0,7.5265,4.42
80,844.114,2022-01-26,2,16.956,252.449,5.1341,34.5296,850.9,1031.202866739209,27.304327920390733,2358.0,3.31561350386166,43.87,0.0,-6.27981606178656,2354.0,7.5238,2.75
81,794.806,2022-01-26,2,16.956,252.449,5.3328,34.5261,801.1,1030.9458655204269,27.277510814971947,2355.0,3.30725961545524,43.22,0.0,-6.796153847283838,2350.0,7.5221,1.76
82,745.496,2022-01-26,2,16.956,252.449,5.6283,34.5346,751.31,1030.6846054784287,27.247998598382765,2349.0,3.28820051991281,42.75,0.0,-6.9612083186049585,2345.0,7.5221,0.87
83,696.422,2022-01-26,2,16.956,252.449,5.9626,34.528,701.77,1030.406593490483,27.200647770010846,2344.0,3.26195235421818,40.83,0.0,-8.461237667490883,2341.0,7.5219,0.56
84,646.762,2022-01-26,2,16.956,252.449,6.3964,34.5367,651.65,1030.1227649545788,27.151137046598933,2338.0,3.21853502461973,38.13,1.01,-9.456560393915678,2336.0,7.523,0.55
85,596.584,2022-01-26,2,16.956,252.449,6.9233,34.5386,601.02,1029.8160487522807,27.081446871780827,2332.0,3.15912005114476,35.63,1.46,-10.555920818316158,2331.0,7.5215,0.58
86,547.316,2022-01-26,2,16.956,252.449,7.3312,34.5457,551.32,1029.5339137053272,27.02947506888222,2327.0,3.10396159357761,33.63,1.85,-11.283385497241758,2327.0,7.5205,0.6
87,498.037,2022-01-26,2,16.956,252.449,7.64,34.546,501.62,1029.2608163112204,26.984571818770974,2324.0,3.05689235651993,32.77,1.5,-11.740277704318876,2324.0,7.5206,0.61
88,448.517,2022-01-26,2,16.956,252.449,8.1522,34.5725,451.69,1028.9742382778559,26.92892305868577,2318.0,2.97892476452291,29.88,2.29,-12.592796232366558,2319.0,7.5208,0.66
89,398.361,2022-01-26,2,16.956,252.449,8.7183,34.5972,401.13,1028.6725900853337,26.86048442954211,2312.0,2.89426585046727,27.77,2.43,-13.208253607476317,2315.0,7.5204,0.63
90,379.231,2022-01-26,2,16.956,252.449,9.0182,34.6098,381.85,1028.5453281943373,26.822573442099838,2309.0,2.85196083025869,26.82,2.49,-13.421373284139035,2313.0,7.5202,0.65
91,358.691,2022-01-26,2,16.956,252.449,9.4059,34.6299,361.15,1028.4017769612851,26.775217208935373,2306.0,2.79912541398007,25.41,2.63,-13.846006623681118,2311.0,7.5192,0.65
92,349.462,2022-01-26,2,16.956,252.449,9.6837,34.6357,351.85,1028.3164008569026,26.733732766433832,2304.0,2.76605174673163,25.13,2.66,-13.566827947706079,2310.0,7.5182,0.66
93,339.539,2022-01-26,2,16.956,252.449,9.8422,34.6441,341.85,1028.2501861220949,26.713539259970275,2303.0,2.7453137529658,24.7,2.87,-13.455020047452797,2309.0,7.5177,0.67
