,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
0,110.708,1643155200000000000,2,17.5,-107.5,13.8679,34.7713,111.4,1026.539458452666,26.046749313051578,2273.0,2.06218151538037,22.220285652128954,1.0228540085372821,-6.851764585419685,2298.0,7.533,0.76
1,120.624,1643155200000000000,2,17.5,-107.5,13.3823,34.7475,121.38,1026.6667698704712,26.128821070227787,2275.0,2.0619257953549446,21.798699107426607,0.32142853911755054,-7.970685079134954,2297.0,7.5287,0.79
2,130.369,1643155200000000000,2,17.5,-107.5,13.1712,34.7559,131.19,1026.7604131759772,26.178515291118856,2276.0,2.3500175375235393,21.3486999680841,0.9057614493758308,-12.445819182916695,2298.0,7.5299,0.77
3,140.482,1643155200000000000,2,17.5,-107.5,12.843,34.7696,141.37,1026.8830512919901,26.255168526280613,2280.0,2.349736880711611,21.054004127148104,1.1977994947452437,-12.443986469492424,2299.0,7.5283,0.77
4,150.455,1642204800000000000,1,17.5,-107.5,12.5728,34.7479,151.41,1026.965224139227,26.291985685923464,2282.0,2.4394234096403054,19.63065498824221,0.21422341753042098,-16.285896148472258,2299.0,7.5212,1.01
5,150.416,1643155200000000000,2,17.5,-107.5,12.637,34.762,151.37,1026.9631844320645,26.290332188585126,2279.0,2.439428254711167,20.87708724617703,1.3729800847532465,-13.880784744448396,2299.0,7.5319,0.76
6,160.338,1642204800000000000,1,17.5,-107.5,12.3305,34.7428,161.36,1027.0536976381043,26.335503904631878,2284.0,2.439213270360548,19.414758980816327,0.22394155293820237,-16.488711792014236,2299.0,7.5204,0.99
7,160.19,1643155200000000000,2,17.5,-107.5,12.4203,34.7708,161.21,1027.0570264382739,26.339821655150445,2281.0,2.439205364613019,20.660975441245686,1.6552148091478638,-13.811095583414756,2300.0,7.5322,0.76
8,169.953,1642204800000000000,1,17.5,-107.5,12.1022,34.7467,171.04,1027.1447200946607,26.38273688721256,2285.0,2.4389971146625338,19.598017305823117,0.23365743434662434,-16.2922790944308,2299.0,7.5215,0.99
9,170.669,1643155200000000000,2,17.5,-107.5,12.2193,34.7614,171.76,1027.1364916859407,26.371731062256686,2281.0,2.4390166535118385,20.55228313945897,1.5966719255666848,-13.975311391163759,2300.0,7.5334,0.75
10,180.412,1642204800000000000,1,17.5,-107.5,11.9444,34.7367,181.57,1027.2147398597538,26.405341176655384,2286.0,2.4671577478378017,19.470125596845126,0.22390644436371898,-16.880491924195983,2300.0,7.5187,1.0
