,Station,cast,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,NH4,Nstar,TA,pH,pH_tot,pH_temp,O2,fluor
0,1.0,1.0,13.99756,-101.99646,4.5197,34.5597,1007.273,1032.0215677646268,27.398839160575562,2353.6133996494614,3.598665936841186,41.30146242226719,0.0,0.0,-13.377192567191782,2365.73,7.579629995454105,7.353685,25.0,10.023,0.0305
1,1.0,1.0,13.99666,-101.99637,6.2323,34.5625,674.359,1030.2695284373285,27.19253114189428,2334.65503630797,3.3380744398180098,36.15461679867189,0.0,0.0,-14.354574238416268,2341.66,7.552845208249422,7.338867,25.0,1.936,0.0216
2,1.0,1.0,13.99634,-101.99632,6.9636,34.5694,575.667,1029.718308289554,27.09903724313085,2326.502510513117,3.2927694620018015,32.519701267255506,0.3533667626094895,0.0,-16.91124336216383,2336.83,7.557852833279621,7.348678,25.0,1.906,0.018
3,1.0,1.0,13.9959,-101.99632,8.1096,34.593,475.147,1029.1028332355281,26.951445138542113,2308.9996906098554,4.038188481062022,26.4330795606451,0.48162624471811505,0.0,-34.79630989162914,2325.23,7.56277801099257,7.3635345,25.0,1.814,0.0238
4,1.0,1.0,13.99568,-101.99632,9.1312,34.6347,399.99,1028.6272074247909,26.824040445944775,2305.1931819242527,3.285786253371216,22.660602661245747,0.7132686756719336,0.0,-26.298708717021775,2323.56,7.561009454788163,7.371854,25.0,1.739,0.0282
5,1.0,1.0,13.9953,-101.99648,9.9852,34.6755,341.438,1028.247133731107,26.7134691611991,2294.557119751567,3.381319318035865,23.974953746330307,0.7652076073822143,0.0,-26.46094773486132,2315.96,7.560888197634759,7.380199,25.0,1.698,0.0304
6,1.0,1.0,13.99502,-101.9967,10.6412,34.7129,301.458,1027.9784812106327,26.628144384308825,2286.2552669921856,2.852832929485321,24.722249495991818,1.346389575558057,0.0,-16.676687800215262,2311.08,7.566165957991315,7.391718,25.0,1.66,0.0326
7,1.0,1.0,13.99476,-101.99682,11.2125,34.7401,258.499,1027.7011063172904,26.54582557116555,2280.706368060727,2.7382634519916293,19.80217723023153,1.845167375361904,0.0,-19.26487062627264,2308.12,7.568665983027758,7.399581,25.0,1.68,0.0316
8,1.0,1.0,13.9945,-101.99692,11.7751,34.7702,226.427,1027.4739444293045,26.46433375222,2276.093816204036,2.613016172873597,21.44044998750403,1.667678572571236,0.0,-15.800130205902287,2308.45,7.578492168083006,7.4145,25.0,1.591,0.0324
9,1.0,1.0,13.99394,-101.99686,12.348,34.8013,194.839,1027.2451111986727,26.378362195097907,2264.715073213847,2.5086976670961154,27.61274817935259,0.07489879986892403,0.0,-9.551515694316334,2302.46,7.5894255075197865,7.43068,25.0,1.581,0.0315
