,Cruise,Station,Type,mon/day/yr,hh:mm,lon,lat,QF,IceEvRec,pres,QF.1,temp,QF.2,psal,QF.3,Sigma_theta[kg/m^3],QF.4,Depth[m],QF.5,doxy,QF.6,OxygenSat[%],QF.7,Nitrate[µmol/kg],QF.8,Chl_a[mg/m^3],QF.9,b_bp700[1/m],QF.10,POC[mmol/m^3],QF.11,pHinsitu[Total],QF.12,pH25C[Total],QF.13,TALK_LIAR[µmol/kg],QF.14,DIC_LIAR[µmol/kg],QF.15,pCO2_LIAR[µatm],QF.16,Nitrite[µmol/kg],QF.17,S2O3[µmol/kg],QF.18,gtime
0,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1798.72,0.0,2.4728,0.0,34.6213,0.0,27.64,0.0,1780.362,0.0,72.07,0.0,22.0,0.0,41.64,0.0,0.0037,0.0,0.000198,0.0,0.77,0.0,7.6782,0.0,7.4423,0.0,2414.0,0.0,2371.0,0.0,808.1,0.0,0.0,0,0.0,0,2022.0404585235922
1,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1699.33,0.0,2.6036,0.0,34.6145,0.0,27.623,0.0,1682.38,0.0,65.2,0.0,20.0,0.0,42.11,0.0,0.0037,0.0,0.00021,0.0,0.8,0.0,7.6658,0.0,7.4296,0.0,2411.0,0.0,2372.0,0.0,842.1,0.0,0.0,0,0.0,0,2022.0404585235922
2,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1599.74,0.0,2.792,0.0,34.6057,0.0,27.599,0.0,1584.156,0.0,56.91,0.0,17.5,0.0,42.53,0.0,0.0073,0.0,0.000198,0.0,0.77,0.0,7.6497,0.0,7.4143,0.0,2406.0,0.0,2373.0,0.0,885.2,0.0,0.0,0,0.0,0,2022.0404585235922
3,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1499.78,0.0,3.0101,0.0,34.5948,0.0,27.571,0.0,1485.52,0.0,48.84,0.0,15.1,0.0,43.18,0.0,0.0073,0.0,0.000211,0.0,0.8,0.0,7.6315,0.0,7.3976,0.0,2400.0,0.0,2373.0,0.0,935.1,0.0,0.0,0,0.0,0,2022.0404585235922
4,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1400.29,0.0,3.2011,0.0,34.5859,0.0,27.545,0.0,1387.303,0.0,41.36,0.0,12.8,0.0,43.51,0.0,0.0073,0.0,0.000211,0.0,0.8,0.0,7.6148,0.0,7.3818,0.0,2396.0,0.0,2374.0,0.0,984.3,0.0,0.0,0,0.0,0,2022.0404585235922
5,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1299.64,0.0,3.4786,0.0,34.5743,0.0,27.509,0.0,1287.894,0.0,32.67,0.0,10.2,0.0,43.92,0.0,0.0073,0.0,0.000212,0.0,0.8,0.0,7.5958,0.0,7.3651,0.0,2390.0,0.0,2374.0,0.0,1041.8,0.0,0.0,0,0.0,0,2022.0404585235922
6,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1198.98,0.0,3.826,0.0,34.5617,0.0,27.465,0.0,1188.427,0.0,23.47,0.0,7.4,0.0,44.4,0.0,0.0073,0.0,0.000213,0.0,0.81,0.0,7.5723,0.0,7.3452,0.0,2381.0,0.0,2372.0,0.0,1113.9,0.0,0.0,0,0.0,0,2022.0404585235922
7,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,1099.83,0.0,4.1949,0.0,34.551,0.0,27.418,0.0,1090.407,0.0,15.53,0.0,4.9,0.0,44.8,0.0,0.0037,0.0,0.000226,0.0,0.84,0.0,7.5542,0.0,7.3302,0.0,2373.0,0.0,2368.0,0.0,1175.5,0.0,0.0,0,0.0,0,2022.0404585235922
8,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,999.12,0.0,4.5797,0.0,34.5406,0.0,27.368,0.0,990.798,0.0,8.26,0.0,2.7,0.0,44.73,0.0,0.0109,0.0,0.000226,0.0,0.84,0.0,7.5373,0.0,7.3164,0.0,2364.0,0.0,2365.0,0.0,1237.1,0.0,0.0,0,0.0,0,2022.0404585235922
9,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,951.13,0.0,4.7112,0.0,34.5375,0.0,27.35,0.0,943.316,0.0,6.4,0.0,2.1,0.0,44.57,0.0,0.0073,0.0,0.000239,0.0,0.87,0.0,7.5215,0.0,7.3023,0.0,2362.0,0.0,2367.0,0.0,1291.9,0.0,0.0,0,0.0,0,2022.0404585235922
10,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,901.13,0.0,4.9184,0.0,34.5347,0.0,27.324,0.0,893.833,0.0,4.21,0.0,1.4,0.0,44.14,0.0,0.0109,0.0,0.000215,0.0,0.81,0.0,7.5164,0.0,7.2985,0.0,2358.0,0.0,2365.0,0.0,1314.9,0.0,0.0,0,0.0,0,2022.0404585235922
11,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,851.1,0.0,5.1195,0.0,34.5321,0.0,27.299,0.0,844.309,0.0,2.8,0.0,0.9,0.0,43.65,0.0,0.0109,0.0,0.000227,0.0,0.84,0.0,7.5148,0.0,7.2977,0.0,2354.0,0.0,2361.0,0.0,1326.7,0.0,0.0,0,0.0,0,2022.0404585235922
12,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,801.11,0.0,5.3151,0.0,34.5287,0.0,27.273,0.0,794.813,0.0,1.94,0.0,0.6,0.0,43.07,0.0,0.0109,0.0,0.000215,0.0,0.81,0.0,7.5147,0.0,7.2981,0.0,2350.0,0.0,2357.0,0.0,1334.1,0.0,0.0,0,0.0,0,2022.0404585235922
13,5906484,1,C,2022-01-15,18:25,252.269,17.021,0,0,751.76,0.0,5.5827,0.0,34.5228,0.0,27.236,0.0,745.939,0.0,1.37,0.0,0.5,0.0,42.0,0.0,0.0109,0.0,0.00024,0.0,0.88,0.0,7.514,0.0,7.2989,0.0,2346.0,0.0,2353.0,0.0,1343.6,0.0,0.0,0,0.0,0,2022.0404585235922
