//0
//<Encoding>UTF-8</Encoding>
//File updated on 05/10/2025 12:44
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906484
//Institution ID: 20175
//MBARI ID: ua20175
//Project Name: GO-BGC
//Region: NPac
//No missing float profiles
//Missing Float position interpolated for station(s): 96 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 22 35 48 57 
//"IceEvRec" = 1 indicates that the float was unable to surface as a result of the ice-avoidance algorithm. Note that this result does not necessarily signify the presence of sea-ice.
//"IceEvRec" = 0 indicates that the float was able to surface as a result of the ice-avoidance algorithm (and/or the absence of ice-avoidance algorithm software, ie for low-latitude floats)
//For more information on the technical aspects of the ice-avoidance algorithm onboard profiling floats, please see Riser et al (2018)  https://doi.org/10.1002/2017JC013419
//<MetaVariable>label="IceEvRec" value_type="INTEGER" significant_digits="0"</MetaVariable>
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	14434	
//Temperature[°C]	Sbe41cp	14434	
//Salinity[pss]	Sbe41cp	14434	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3710	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L20.A20.208208 Spec#121338 Ti probe #2110184.014  ARGO float#945  DF#314  CTD#14434	
//Chl_a[mg/m^3]	FLBBAP2	6852	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	6852	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//POC[mmol/m^3]	FLBBAP2	6852	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	314	
//pH25C[Total]	Durafet	314	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim Eqn7, MeasIDVec = [1 6 7] (PSAL, DOXY_ADJ, TEMP), (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(Sharp et al., 2020; see also Lewis and Wallace 1998)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//This correction is not necessary for DIC and DIC is computed with the reported pH and the TALK_LIAR value.
//
//NOTE ON Chl_a [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//PSAL QC: This file contains ADJUSTED PSAL up to cycle 95
//BGC QC: Follows Maurer et al (2021) https://doi.org/10.3389/fmars.2021.683207.
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0631	0.0000	0.0000
//Nitrate	1	1.0000	0.8283	0.0000
//Nitrate	2	1.0000	-0.2811	0.2303
//Nitrate	97	1.0000	0.4168	0.0000
//pH	1	1.0000	-0.0149	0.0000
//pH	2	1.0000	0.0110	0.0220
//pH	36	1.0000	0.0279	0.0085
//pH	88	1.0000	0.0442	-0.0360
//pH	97	1.0000	0.0374	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
// fitmodel 2 xtemplim 10.0 sumlim 30 oxylim 7.0
// maxwavelength 240
// lambda 0.00100 alpha 1.0 reltol 1.00000e-05 CV 1
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	IceEvRec	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	Nitrite[µmol/kg]	QF	S2O3[µmol/kg]	QF	PO4_CANY[µmol/kg]	QF	NO3_CANY[µmol/kg]	QF	N_star[µmol/kg]	QF
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1798.72	0	2.4728	0	34.6213	0	27.640	0	1780.362	0	72.07	0	22.0	0	41.64	0	0.0037	0	0.000198	0	0.77	0	7.6782	0	7.4423	0	2414	0	2371	0	808.1	0	0.00	0	0.00	0	2.96	0	41.42	0	-5.65	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1699.33	0	2.6036	0	34.6145	0	27.623	0	1682.380	0	65.20	0	20.0	0	42.11	0	0.0037	0	0.000210	0	0.80	0	7.6658	0	7.4296	0	2411	0	2372	0	842.1	0	0.00	0	0.00	0	3.00	0	41.90	0	-5.92	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1599.74	0	2.7920	0	34.6057	0	27.599	0	1584.156	0	56.91	0	17.5	0	42.53	0	0.0073	0	0.000198	0	0.77	0	7.6497	0	7.4143	0	2406	0	2373	0	885.2	0	0.00	0	0.00	0	3.06	0	42.48	0	-6.39	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1499.78	0	3.0101	0	34.5948	0	27.571	0	1485.520	0	48.84	0	15.1	0	43.18	0	0.0073	0	0.000211	0	0.80	0	7.6315	0	7.3976	0	2400	0	2373	0	935.1	0	0.00	0	0.00	0	3.11	0	43.03	0	-6.58	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1400.29	0	3.2011	0	34.5859	0	27.545	0	1387.303	0	41.36	0	12.8	0	43.51	0	0.0073	0	0.000211	0	0.80	0	7.6148	0	7.3818	0	2396	0	2374	0	984.3	0	0.00	0	0.00	0	3.16	0	43.55	0	-7.01	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1299.64	0	3.4786	0	34.5743	0	27.509	0	1287.894	0	32.67	0	10.2	0	43.92	0	0.0073	0	0.000212	0	0.80	0	7.5958	0	7.3651	0	2390	0	2374	0	1041.8	0	0.00	0	0.00	0	3.21	0	44.09	0	-7.42	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1198.98	0	3.8260	0	34.5617	0	27.465	0	1188.427	0	23.47	0	7.4	0	44.40	0	0.0073	0	0.000213	0	0.81	0	7.5723	0	7.3452	0	2381	0	2372	0	1113.9	0	0.00	0	0.00	0	3.26	0	44.54	0	-7.71	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	1099.83	0	4.1949	0	34.5510	0	27.418	0	1090.407	0	15.53	0	4.9	0	44.80	0	0.0037	0	0.000226	0	0.84	0	7.5542	0	7.3302	0	2373	0	2368	0	1175.5	0	0.00	0	0.00	0	3.29	0	44.71	0	-7.86	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	999.12	0	4.5797	0	34.5406	0	27.368	0	990.798	0	8.26	0	2.7	0	44.73	0	0.0109	0	0.000226	0	0.84	0	7.5373	0	7.3164	0	2364	0	2365	0	1237.1	0	0.00	0	0.00	0	3.32	0	44.59	0	-8.33	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	951.13	0	4.7112	0	34.5375	0	27.350	0	943.316	0	6.40	0	2.1	0	44.57	0	0.0073	0	0.000239	0	0.87	0	7.5215	0	7.3023	0	2362	0	2367	0	1291.9	0	0.00	0	0.00	0	3.32	0	44.44	0	-8.55	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	901.13	0	4.9184	0	34.5347	0	27.324	0	893.833	0	4.21	0	1.4	0	44.14	0	0.0109	0	0.000215	0	0.81	0	7.5164	0	7.2985	0	2358	0	2365	0	1314.9	0	0.00	0	0.00	0	3.32	0	44.12	0	-8.98	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	851.10	0	5.1195	0	34.5321	0	27.299	0	844.309	0	2.80	0	0.9	0	43.65	0	0.0109	0	0.000227	0	0.84	0	7.5148	0	7.2977	0	2354	0	2361	0	1326.7	0	0.00	0	0.00	0	3.32	0	43.70	0	-9.39	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	801.11	0	5.3151	0	34.5287	0	27.273	0	794.813	0	1.94	0	0.6	0	43.07	0	0.0109	0	0.000215	0	0.81	0	7.5147	0	7.2981	0	2350	0	2357	0	1334.1	0	0.00	0	0.00	0	3.31	0	43.17	0	-9.83	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	751.76	0	5.5827	0	34.5228	0	27.236	0	745.939	0	1.37	0	0.5	0	42.00	0	0.0109	0	0.000240	0	0.88	0	7.5140	0	7.2989	0	2346	0	2353	0	1343.6	0	0.00	0	0.00	0	3.29	0	42.34	0	-10.63	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	701.11	0	5.9116	0	34.5199	0	27.192	0	695.766	0	0.93	0	0.3	0	40.72	0	0.0073	0	0.000265	0	0.94	0	7.5140	0	7.3011	0	2342	0	2348	0	1351.7	0	0.00	0	0.00	0	3.26	0	41.17	0	-11.51	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	651.84	0	6.1868	0	34.5221	0	27.159	0	646.948	0	0.84	0	0.3	0	39.13	0	0.0073	0	0.000229	0	0.85	0	7.5156	0	7.3039	0	2338	0	2343	0	1354.4	0	0.00	0	0.00	0	3.24	0	40.07	0	-12.65	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	601.43	0	6.5754	0	34.5237	0	27.109	0	596.988	0	0.81	0	0.3	0	37.08	0	0.0073	0	0.000242	0	0.88	0	7.5152	0	7.3065	0	2334	0	2338	0	1364.3	0	0.01	0	0.00	0	3.19	0	38.45	0	-14.02	0
5906484	1	C	01/15/2022	18:25	252.269	17.021	0	0	551.87	0	7.1424	0	34.5321	0	27.038	0	547.860	0	0.84	0	0.3	0	34.12	0	0.0073	0	0.000255	0	0.92	0	7.5131	0	7.3097	0	2328	0	2332	0	1380.6	0	0.94	0	0.40	0	3.12	0	36.17	0	-15.88	0
