# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
7.823817555955485226e+00,7.823817555955491443e+00,2.862546256280504853e+00,2.862546256280544821e+00,1.047309520923790371e+00,1.047309520923789261e+00,4.795183707556939900e+00,4.795183707556931907e+00
1.115421508269182560e+01,1.115421508269182738e+01,3.224933411785647075e-01,3.224933411785668169e-01,1.630523699962876716e+00,1.630523699962875606e+00,7.079148100041197544e+00,7.079148100041196656e+00
2.402001437098773096e+01,2.402001437098770253e+01,2.066883000906981138e+01,2.066883000906981493e+01,1.369641128488789050e+01,1.369641128488697213e+01,1.400969747243095043e+01,1.400969747243092556e+01
3.996010535142374209e+01,3.996010535142374209e+01,2.475224383534284556e+01,2.475224383534275674e+01,1.221326724891236282e+01,1.221326724891232729e+01,1.412844849826772631e+01,1.412844849826772808e+01
1.919194651894191495e+01,1.919194651894191495e+01,6.996477158700375121e+00,6.996477158700375121e+00,2.388651892676580069e+00,2.388651892676580513e+00,1.059541941951480837e+01,1.059541941951482436e+01
3.405517160700466661e+01,3.405517160700468082e+01,3.238908259743224605e+00,3.238908259743249474e+00,1.256416943302315348e+00,1.256416943302316458e+00,7.090011722471304623e+00,7.090011722471311728e+00
3.489435183827183806e+01,3.489435183827183096e+01,8.577809262078659458e+00,8.577809262078661234e+00,2.967687275319379481e+00,2.967687275319377260e+00,1.886439680555339038e+01,1.886439680555340459e+01
3.243591401229961946e+01,3.243591401229967630e+01,1.417326270824237433e+01,1.417326270824236900e+01,4.759938997036589292e+00,4.759938997036591068e+00,1.208823713784794762e+01,1.208823713784795473e+01
2.836267005885272852e+01,2.836267005885272141e+01,8.685972300111146183e+00,8.685972300111110656e+00,2.770046989917734237e+00,2.770046989917734237e+00,8.350800858760493384e+00,8.350800858760495160e+00
3.080727628890218739e+01,3.080727628890218384e+01,4.680141208905445716e+00,4.680141208905475914e+00,1.868366231666144461e+00,1.868366231666144905e+00,7.523815373846889365e+00,7.523815373846877819e+00
1.788687294613452394e+01,1.788687294613453105e+01,7.678799757675485615e+00,7.678799757675482951e+00,2.911418204850466651e+00,2.911418204850466651e+00,7.047121822201272145e+00,7.047121822201275698e+00
2.125318415455835108e+01,2.125318415455835108e+01,5.309831707706825554e+00,5.309831707706829995e+00,1.939151518699231636e+00,1.939151518699235410e+00,4.735654666102056431e+00,4.735654666102053767e+00
2.595602772357340626e+01,2.595602772357328902e+01,7.020444263989037204e+00,7.020444263989093159e+00,2.010691005796521047e+00,2.010691005796518827e+00,4.419714481583952193e+00,4.419714481583953081e+00
3.162726155657936644e+01,3.162726155657925986e+01,5.773586898683106483e+00,5.773586898683103819e+00,1.971539414361978881e+00,1.971539414361978881e+00,5.779021882119291575e+00,5.779021882119296016e+00
2.253538287306970389e+01,2.253538287306969679e+01,5.393135286904520598e+00,5.393135286904523262e+00,1.595674936924648790e+00,1.595674936924646792e+00,4.656060125618088463e+00,4.656060125618093792e+00
1.259660328681641062e+01,1.259660328681640884e+01,2.644278903892714361e+00,2.644278903892716581e+00,9.814401180233627286e-01,9.814401180233622846e-01,3.867359942649535753e+00,3.867359942649538418e+00
