# NO3, NO2, NH4, Nstar, TA, DIC
9.473042944967617618e-02,-2.265121184729085042e-03,-3.220757859278610337e-14,-7.502590261261217475e-02,1.435790094327660527e-01,1.000000000000004441e+00
5.001034982432136511e-01,-1.164967842397773325e-03,0.000000000000000000e+00,3.133694083198739211e-01,5.973664735132149239e-01,9.999999999999927836e-01
-1.472962713330161932e+00,7.939829691045315399e-03,-1.675409512055095799e-04,-1.580333654945434096e+00,1.084459341481145866e+00,9.999999999999902300e-01
-1.588437692960980030e-01,3.051078365668547995e-03,3.837565967161612252e-08,-1.052794519594710820e-01,1.317130623916909826e+00,1.000000000000056843e+00
-2.273552308563800972e-01,1.848124402501797551e-03,8.403605528957745849e-04,-4.930581520830401576e-01,5.726605834511389048e-01,9.999999999999715783e-01
-1.030738496849982894e-01,3.972835322805599173e-02,9.262464792045940374e-05,-5.559639030882679127e-03,8.131325206326248667e-01,1.000000000000008882e+00
-1.046704075677526158e-01,-1.365710144905990693e-02,4.645816384034606727e-04,1.300612554336079973e-01,6.424622389348798590e-01,9.999999999999530376e-01
-2.523791893297996358e-01,1.379214045499221053e-01,2.836998178440118556e-04,-2.053963598057278184e-01,9.000550048908954048e-01,9.999999999999951150e-01
-9.404009495703680166e-02,7.224951329170667402e-02,2.911513627881391546e-05,-2.331675250445838510e-01,7.912953162830435039e-01,9.999999999999215072e-01
-3.109603641526492018e-02,3.754210740098778976e-02,-6.269907303080413216e-05,-3.998826104712373264e-02,8.223740929547961320e-01,1.000000000000056177e+00
-4.234353248871814968e-01,6.717752993733826228e-02,-1.213980474262685759e-05,-4.770879166859436360e-01,6.956855743327503561e-01,9.999999999999911182e-01
-1.876270758003461547e-01,1.577604391153502456e-02,9.117773665942460705e-05,-3.376823652640380535e-01,8.677966639158611883e-01,1.000000000000035527e+00
-1.050293979436642822e-01,6.256024132105069725e-03,-1.042319631472024674e-04,-2.635811220979965008e-01,8.571748284221598624e-01,1.000000000000000000e+00
-9.290482267251488901e-02,-4.700484201680788063e-05,-1.802045578320515248e-18,-1.588141032713398793e-01,8.294894189956385500e-01,1.000000000000016209e+00
-1.427136700437744710e-01,2.463052661449877576e-09,1.059445558715882505e-17,-2.598744486709577139e-01,8.689891022900200213e-01,1.000000000000036859e+00
2.551896720231270482e-02,-7.366305410808927823e-22,-5.025630649709095494e-08,-4.542583314354207980e-02,8.014315335732424828e-01,1.000000000000025091e+00
