# anmx, denit, nitox, dnrn
1.107856489337634809e+00,3.789460168460841161e-02,4.948277180143581688e+01,4.937147710754194208e+01
1.273428965540217631e-02,8.396169543438904864e-05,5.273371974970379483e+01,4.725346199894533328e+01
1.169467527779627680e+01,2.782544026616843880e+01,8.130107848984801322e+00,5.234977660705045821e+01
2.044024989934740244e+00,5.868584573612666055e+00,4.127743772962669055e+01,5.080995270682602438e+01
3.968899416130309721e+00,4.139076059024184850e+00,4.235720084992887280e+01,4.953482367491674410e+01
7.563977199366020976e-01,4.203229971999878356e-01,4.803295631288229117e+01,5.079032296998108365e+01
1.090947791211813733e+00,8.678935730842398666e-01,4.780905835964925643e+01,5.023210027605469463e+01
2.978747570677322987e+00,2.742270749912605332e+00,4.235888059607380285e+01,5.192010108333611385e+01
2.923667886341166700e+00,1.400385861042152014e+00,4.540250157890032767e+01,5.027344467371626280e+01
1.132498115732606170e+00,4.532944054677132129e-01,4.824116759517379194e+01,5.017303988362609601e+01
3.219534408414419957e+00,7.138896848656423266e+00,3.887428320054398512e+01,5.076728554238512459e+01
3.469360491078020914e+00,3.727789623722525647e+00,4.292053331523646875e+01,4.988231656996313035e+01
3.105324944147561439e+00,2.007673242731349283e+00,4.517340332073565889e+01,4.971359849238557160e+01
2.030339856815849053e+00,1.500335794595932359e+00,4.654751955169020050e+01,4.992180479689800165e+01
2.942776863435458967e+00,2.596412151598404883e+00,4.463440018092455830e+01,4.982641080404159339e+01
1.051463743987361754e+00,8.011572320946692971e-02,4.925923478302230762e+01,4.960918574978114037e+01
