# NO3, NO2, NH4, Nstar, TA, DIC
7.497430370911677133e-02,6.229319431767633974e-02,-4.841051149632651096e-02,1.272735323113217965e-02,-1.285404019413480259e-02,1.264363187551784673e-01
2.749044494680631390e-01,2.243766123582059957e-01,-7.149345023944343736e-02,3.140438962076285145e-01,5.108895123143963879e-02,1.016579195942995950e-01
-3.622425224985621472e-01,-8.145447680224007780e-02,1.664109438421023379e-01,-3.021298959659304284e-01,8.564564710665778513e-02,7.093055005567960869e-02
-2.052902025517455709e-02,-1.519548726450768890e-02,-1.286353693328744566e-02,4.361455259109234261e-02,5.747002757755126368e-02,4.737424977501003553e-02
1.544479277324228850e-02,3.869527747841492588e-02,3.933050043389158673e-02,-9.302694907149144932e-02,6.135324720128376708e-02,1.087493846759384208e-01
-2.133592272510527466e-02,-1.047446977812640373e-02,-4.358890327743280418e-02,4.482433201222764396e-02,5.668276692587415067e-02,7.950657316231490856e-02
-3.402100284452216905e-02,-2.790043228409438969e-02,-4.066578515186208137e-02,2.162188921443057299e-01,4.154289137855193825e-02,9.200954744609746161e-02
2.383282756349580644e-03,2.959089230909453527e-02,6.380670431602129648e-03,9.266005785712877474e-03,6.758211105533862284e-02,7.745995446703091147e-02
4.131231343028085590e-02,5.744478464533472883e-02,9.610919713023548944e-03,-3.741956312838004561e-02,7.032317376741359372e-02,9.064168888619794640e-02
2.307964645957450572e-02,2.809943745602277998e-02,-3.283357171749232833e-02,3.426489985896205570e-02,6.159892075066186745e-02,8.242753764109755910e-02
-3.004693149441617361e-02,1.251102741209918212e-02,6.080615859298963734e-03,-5.102120544380817080e-02,6.073656857172959889e-02,8.864220924358579001e-02
6.285215970784963080e-03,2.371614703887108683e-02,1.900101997927473862e-02,-5.096083443537946511e-02,7.666832580472304759e-02,8.589920981401577560e-02
1.682242201385619751e-02,2.711896126925022327e-02,1.429341693238794959e-02,-4.279705728977711843e-02,7.763351907947779740e-02,8.807602086648003148e-02
-1.406059626866587586e-03,7.183397000553370070e-03,-1.200762040782945433e-02,-8.220682126414996516e-03,6.933899236107132769e-02,8.539272979520895479e-02
2.305785234180957044e-04,1.146456214471914745e-02,8.169137904629137151e-03,-3.327513631744205558e-02,7.576099380391942972e-02,8.526129592897846443e-02
2.933145061457884811e-02,2.649614018729207210e-02,-3.504918308874650085e-02,1.247329049484956209e-02,6.278559100669556248e-02,8.546092200288435414e-02
