# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
3.882702162780035660e-02,4.696668563704342950e-03,4.709835187236283659e-03,3.253691110527465614e-03,4.143987441973977920e-02
6.063222112154351140e-02,3.558465838947097578e-04,3.973683212673627505e-04,4.827681341557359118e-03,6.485439071675305756e-02
3.142302475693910246e-02,1.354974285944005874e-01,2.184366808949141786e-02,1.086581558496548840e-02,1.298018547206443996e-01
1.297912485876671074e-01,4.829072518571186912e-02,4.245143383602453455e-03,9.606909160683577836e-03,1.446308382638083478e-01
8.992677885912399305e-02,4.035996545268820401e-02,4.612148026286480747e-03,6.651473486999966156e-03,9.511085929048523901e-02
6.266305503042567115e-02,1.245690152471697759e-02,2.325076467141924674e-03,4.576814441193938383e-03,6.763248907028358847e-02
1.681912638392254189e-01,2.536856822495899694e-02,5.619417478887966423e-03,1.199216688191812909e-02,1.786921083438831881e-01
1.005755230701880498e-01,4.319720195049120415e-02,7.378233996020030876e-03,7.481497965552862638e-03,1.157750559698074305e-01
6.368462266269850347e-02,3.264216427332679304e-02,6.608194493665642613e-03,4.979067768537966988e-03,7.682762908638227084e-02
6.596314871230743448e-02,1.638556869798795529e-02,3.589456460660544850e-03,4.939365452901450966e-03,7.238358786055963667e-02
4.665013094257246251e-02,4.252182734030596906e-02,4.371934895366331487e-03,3.715866232360335360e-03,6.439574121144343855e-02
2.622387706991295003e-02,3.258192040237836012e-02,3.091319539786685326e-03,2.298291412954673978e-03,4.243670442967929779e-02
2.104005756016682702e-02,3.023409746253942834e-02,4.935214360936747771e-03,2.081932310566896732e-03,4.086561035611945003e-02
4.173029541320688596e-02,2.723452635813215089e-02,3.777648474392670316e-03,3.374914453697953464e-03,5.187988695178796100e-02
3.197223969850219311e-02,2.666001965194175066e-02,3.382898877842357467e-03,2.528833336432711847e-03,4.338105063358092817e-02
3.342236122888328498e-02,5.003360976248593349e-03,2.771155186483952818e-03,2.549494103678835721e-03,3.623706818690790310e-02
