# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.850967930880361223e+01,1.490320691196362679e+00,9.811598156795119507e+01,1.884018432048964353e+00,5.005395050418156444e+01,4.994604949581843556e+01,4.017618325957774239e+00,9.598238167404197441e+01
9.862378320124625475e+01,1.376216798753748805e+00,9.998115043261464052e+01,1.884956738538649812e-02,5.231880437448519672e+01,4.768119562551476065e+01,2.657680737551377348e+01,7.342319262448614836e+01
3.574847168954568133e+01,6.425152831045460289e+01,2.962926852326774352e+01,7.037073147673206108e+01,1.730906671795746732e+01,8.269093328204264992e+01,8.032054433415458661e+00,9.196794556658431929e+01
4.161402289439047308e+01,5.838597710560959797e+01,8.670344037282609406e+01,1.329655962717392015e+01,4.529381070785434105e+01,5.470618929214541737e+01,5.925043284145645828e+01,4.074956715854377620e+01
6.122312340594518787e+01,3.877687659405478371e+01,8.699350504523192740e+01,1.300649495476794115e+01,4.681719138406884184e+01,5.318280861593114395e+01,1.546757900090723759e+01,8.453242099909274998e+01
7.749704713854400495e+01,2.250295286145597728e+01,9.805920572538367708e+01,1.940794274616407078e+00,4.884608969516750676e+01,5.115391030483252166e+01,3.719685976712065667e+01,6.280314023287945702e+01
6.833528677276383689e+01,3.166471322723626258e+01,9.693530673165759026e+01,3.064693268342337795e+00,4.896164781330493554e+01,5.103835218669502183e+01,2.775751844702853788e+01,7.224248155297156870e+01
6.423302152110794339e+01,3.576697847889190029e+01,9.079590008433844162e+01,9.204099915661611675e+00,4.586244435489857807e+01,5.413755564510151430e+01,3.767912428101778488e+01,6.232087571898235723e+01
7.913360216481542864e+01,2.086639783518478097e+01,9.304759659933444027e+01,6.952403400665540190e+00,4.789132289423467626e+01,5.210867710576530243e+01,3.360403798225107863e+01,6.639596201774887163e+01
8.294266174840400652e+01,1.705733825159607520e+01,9.737225391744638614e+01,2.627746082553492180e+00,4.918315836470907243e+01,5.081684163529090625e+01,3.748563037878478355e+01,6.251436962121496776e+01
4.165691248243278721e+01,5.834308751756714173e+01,8.348910662368062674e+01,1.651089337631930931e+01,4.479250506173336532e+01,5.520749493826662757e+01,1.692554671587368276e+01,8.307445328412650554e+01
6.131372667236973228e+01,3.868627332763027482e+01,8.850363994650716393e+01,1.149636005349290357e+01,4.699287873472261623e+01,5.300712126527741930e+01,3.347303130959803497e+01,6.652696869040208583e+01
7.287284059164574046e+01,2.712715940835425599e+01,9.176177007972781041e+01,8.238229920272203799e+00,4.803413441262244277e+01,5.196586558737755723e+01,3.588223161481302270e+01,6.411776838518670729e+01
7.232946689316980837e+01,2.767053310683000689e+01,9.429161608561776120e+01,5.708383914382138435e+00,4.857006454821180341e+01,5.142993545178818238e+01,3.572347829063336633e+01,6.427652170936671894e+01
6.564287211369487807e+01,3.435712788630484482e+01,9.102811316077462322e+01,8.971886839225094334e+00,4.774989822331809819e+01,5.225010177668192313e+01,3.566201289100539640e+01,6.433798710899432649e+01
9.681693559913524894e+01,3.183064400864717314e+00,9.810240176547236501e+01,1.897598234527607897e+00,4.984720639662548081e+01,5.015279360337452630e+01,3.702846581577803420e+01,6.297153418422193738e+01
