# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
8.921813545747084850e-01,7.398084470328801163e-04,4.643843219245098568e-03,6.757915714619740222e-02,3.485583661280974854e-02
7.053203633425011443e-01,9.179778940306060131e-06,3.749628421903193745e-05,5.814043064196866561e-02,2.364925299523721047e-01
5.351173577499223066e-01,3.512385081241661267e-01,2.842340984075259619e-02,1.320585147428329255e-02,7.201487281087398662e-02
3.706432760552884065e-01,3.707526046096809580e-02,3.185427652290680461e-03,2.494517184386304751e-02,5.641508639875872921e-01
7.355074538916592797e-01,6.603127936594127556e-02,1.297513926282315398e-02,4.967426240560795375e-02,1.358118650739691680e-01
6.099173259825571014e-01,5.176488742164872883e-03,2.055753091671704089e-03,4.425198051268875582e-02,3.385984516709198977e-01
6.790834399003270461e-01,1.069340364341440745e-02,3.237413678459407761e-03,4.967900146610183115e-02,2.573067413116997826e-01
5.808278431231306271e-01,3.339467680615949147e-02,7.534100594017958258e-03,3.801068051256505098e-02,3.402326989641271116e-01
6.272000345793853349e-01,1.871471612660855627e-02,8.058905249706125457e-03,4.404773560492578066e-02,3.019786084393693004e-01
6.060329558325180388e-01,6.147099463901220875e-03,3.110067535477070450e-03,4.446940875555507877e-02,3.402404684125489021e-01
6.913443512006089975e-01,1.055260844763748762e-01,9.518145978766554341e-03,4.330992869319572058e-02,1.503014896510538601e-01
5.997066787108924490e-01,4.922347114780961652e-02,9.248316741389390333e-03,4.062406469964273403e-02,3.011974687002639817e-01
5.996284814843646505e-01,2.731955776408169501e-02,8.499135306117889394e-03,4.217087208613638089e-02,3.223819533593004771e-01
6.082504253941173333e-01,2.015072892926743700e-02,5.591462785501981336e-03,4.363838419061676077e-02,3.223689987004993429e-01
5.949513876184808758e-01,3.398717284640182662e-02,7.920598244484107486e-03,4.146180503179443255e-02,3.216790362588409780e-01
6.155954243364368805e-01,1.007018539754403214e-03,2.947168622202532996e-03,4.629922067866674290e-02,3.341511678229383553e-01
