# NO3, NO2, NH4, Nstar, TA, DIC
7.939536612781009239e+01,2.701715731476395831e+03,1.498575840083655938e+14,1.484110703331119652e+01,7.835173025064944063e+00,1.444460007308951077e+01
5.537780024004285195e+01,1.908675108976357660e+04,inf,1.002243923322428287e+02,9.901689274352092340e+00,1.163558538523677477e+01
1.996749528171370969e+01,1.170747851678499273e+03,1.005200712367471569e+05,1.543868267950713680e+01,3.113195619217755006e+00,8.325852263006455090e+00
1.619225478000383944e+01,4.786713906011622157e+02,3.219936102749483660e+07,3.718383213577185131e+01,4.862759415995424384e+00,5.626119899236350363e+00
4.159361226583150106e+00,2.005619556920404193e+03,4.471266508759016688e+03,2.090446824248718727e+01,1.231175881681465789e+01,1.252988033368365173e+01
2.234619583488021277e+01,2.402588148792449729e+01,4.701559631498991803e+04,7.895573286282404979e+02,8.193128281366735877e+00,9.261546720872654959e+00
3.557362300112846754e+01,1.955748078441102678e+02,8.610214893688007578e+03,1.644418896236936405e+02,5.999143984849307998e+00,1.058328302890780570e+01
4.520586818516409422e-01,2.399666564635212396e+01,2.303488601046512485e+03,4.629862842460640948e+00,9.278991620830804976e+00,9.108956221316134361e+00
4.092159110574496594e+01,7.841975842703055832e+01,2.692732724337158288e+04,1.843002743376190367e+01,1.042499250302362057e+01,1.042132817091983732e+01
7.144439405068870030e+01,7.151050940152452995e+01,5.394548767054626660e+04,7.727822654988712259e+01,8.559516556636932449e+00,9.515895258211481078e+00
8.618752138167714349e+00,1.934283936546874116e+01,4.751137212312112388e+04,1.211547264844790384e+01,1.055886739749134584e+01,1.056561493439165922e+01
1.977991148977260805e+00,1.481292445516911869e+02,2.019064162089580714e+04,1.619116361548508820e+01,1.024131381986088840e+01,9.974476288209800146e+00
1.580853444028222299e+01,4.097537182012897006e+02,1.307724813901656671e+04,1.718795671658920199e+01,1.040167981545301146e+01,1.013400147845073818e+01
6.205636137483486747e-01,1.164786745385935319e+04,7.128563011750676480e+17,6.379634550722715680e+00,9.478506954504622328e+00,9.845969395224924980e+00
2.060460937868689779e+00,4.683803141104602218e+08,7.809479004148676800e+16,1.406784247872167803e+01,9.982196732169837716e+00,9.876480655258804475e+00
1.099610266192745769e+02,3.611100446027983356e+21,7.101540816981816292e+07,2.313506642405308966e+01,9.138850914775115797e+00,9.849277860176238519e+00
