# anmx, denit, nitox, dnrn
8.935366304676131133e-01,1.712844053106374054e-01,1.000133711781884260e+00,5.024234083764105296e-01
8.878025119240537388e-02,2.741952367301116189e-02,1.084492966909666123e+00,1.073097017225297822e+00
6.720929731294467580e+00,1.020042485909776353e+01,1.411221943100416354e+01,5.220550083662963026e+00
3.058707088559855514e+00,6.407736127750355948e+00,8.129021083989899310e+00,3.527551571428575006e+00
1.025608100136882417e+00,1.872835533569793487e+00,1.899258176493211936e+00,4.593031973180347616e-01
6.550901598535436854e-01,6.450791289092103753e-01,1.093646672792616181e+00,5.400471787867473505e-01
1.438012877378209708e+00,1.593287818043094495e+00,2.338769294531497955e+00,9.622693251095781886e-01
2.221882068105035302e+00,2.524665319029443911e+00,3.478578491136504969e+00,1.273079456347212313e+00
1.745342503370364673e+00,1.600083135082181585e+00,2.452545976863937938e+00,9.249023646349538996e-01
1.003459735905597450e+00,8.512313977531513753e-01,1.597241295162817210e+00,8.192289713329380385e-01
1.082533742201530869e+00,1.960899631587934344e+00,1.887633542981675072e+00,5.387432761909355383e-01
8.777249866362017983e-01,1.691191372401160464e+00,1.526219990349228617e+00,4.632187891621285525e-01
1.356555398368400667e+00,1.525931810730165150e+00,1.974461793109397956e+00,5.989285034848107481e-01
1.058263500465827844e+00,1.419410574026592764e+00,1.781354817861404927e+00,6.097537852648848844e-01
9.514427719317015697e-01,1.365037158594575306e+00,1.506936713463579602e+00,4.189467533821055745e-01
7.514625918951568506e-01,2.448676884427664902e-01,9.120087461302592846e-01,4.569787001145947380e-01
