# NO3, NO2, NH4, Nstar, TA, DIC
7.605286451041554585e+01,2.921321447395990162e+03,1.538841776419653750e+14,1.943773053690727792e+01,1.462558433978737327e+01,7.959829786072757152e+00
5.280752830839827539e+01,2.019109609660747810e+04,inf,1.002338451554456071e+02,4.863582771595601706e+00,6.445733738073303520e+00
4.855145406009238229e+01,5.509399217066689971e+02,1.046662253628515318e+05,3.849629787213193310e+01,3.685303872750112220e+01,6.090948342074979927e+00
1.355083594621333276e+01,5.541553936297822247e+02,3.060994150043556094e+07,3.989504930693026097e+01,2.969811716508076405e+00,2.565724791383426684e+00
1.140155066976356046e+01,2.244402464870402582e+03,5.002928591576668623e+03,1.531273624746025419e+01,6.786745748400861977e+00,6.611181548877185676e+00
1.825681195179543437e+01,3.093724966131131637e+01,4.737045729148777900e+04,8.214016261270714949e+02,3.821823715983348801e+00,4.638940805063377582e+00
3.007539971277544666e+01,2.120625029115640245e+02,8.547268124331983927e+03,1.683433064313273348e+02,1.463715859308971634e+00,5.459058052114863280e+00
3.369057340400848588e+00,1.891316017959951168e+01,2.404370294699090209e+03,6.138222642787842354e+00,4.217128333477189628e+00,4.432796361038370492e+00
5.100058448501449959e+01,7.833421994287341761e+01,3.755075214470149513e+04,1.271218351961279147e+01,5.588793097920569330e+00,5.603811054391767854e+00
7.992576305172791251e+01,7.204606330856890395e+01,5.325538710857383558e+04,8.690648223677121109e+01,4.082468669582543619e+00,4.928730481083188231e+00
2.154008272479397856e+00,1.572580496243165804e+01,5.834000134640379838e+04,6.164972772019022607e+00,4.523995371690517686e+00,4.513739863069273106e+00
8.255655409558332991e+00,1.531738785501553082e+02,2.166453832323544339e+04,1.179875815021265240e+01,5.373472595351964642e+00,5.065651274000780191e+00
2.066003401164049436e+01,4.543797190106349149e+02,1.549451836832618937e+04,1.300580947724269087e+01,5.732001178047425149e+00,5.452202132042871519e+00
2.309391510416909821e+00,1.383236065154103198e+04,6.936676475685844480e+17,3.418780614476851110e+00,4.833190659133993705e+00,5.130450146760506591e+00
3.085798336195959113e+00,5.227712322072037458e+08,9.139538841300448000e+16,9.910497330865100096e+00,5.315707086405030424e+00,5.144241409290295053e+00
1.137121419297978377e+02,3.757893827983216476e+21,6.946397037352617085e+07,3.058851734280577617e+01,4.642630528421745950e+00,5.249354163912880011e+00
