# anmx, denit, nitox, dnrn
2.452239611611043646e+00,9.353566225816947743e-02,4.884499541570616543e+01,4.860922931042463802e+01
2.878663546015899216e-02,2.940789737490322360e-03,5.571544669127507632e+01,4.425282588352722257e+01
2.847238331512475895e+01,1.622073960261324999e+01,1.845223214127870603e+00,5.346165386813404297e+01
6.547774472129596290e+00,1.221205357493160015e+01,2.864684703300063973e+01,5.259332491993824021e+01
1.051956101665380494e+01,1.238363516039092360e+01,2.827751142992118716e+01,4.881929239303443069e+01
1.731904101127371254e+00,1.109748192738172490e+00,4.521886318041499209e+01,5.193948452571933672e+01
2.683061210689408949e+00,2.381242871219300117e+00,4.436649912246210192e+01,5.056919679562920322e+01
8.177717654554443882e+00,7.692920000559337446e+00,2.870182089696457339e+01,5.542754144792183979e+01
7.043313530052240701e+00,4.084109360626575480e+00,3.809520219397698071e+01,5.077737491534431769e+01
2.587749614894325756e+00,1.276295760115338185e+00,4.558218189253404518e+01,5.055377273245622405e+01
1.016444283301376750e+01,2.286785327101664578e+01,1.431950827478677901e+01,5.264819562118286456e+01
8.940773955454062616e+00,1.079032957894457567e+01,3.048794049588048338e+01,4.978095596972077175e+01
7.594081202368254679e+00,5.689647689153794374e+00,3.738614946108360471e+01,4.933012164739423611e+01
4.744870153805103463e+00,4.096310542978706337e+00,4.125715326451339138e+01,4.990166603870292761e+01
7.261841867714867504e+00,7.167356468628740096e+00,3.597820819320783414e+01,4.959259347044839217e+01
2.339839896474033232e+00,2.072947166991588874e-01,4.829070934262127679e+01,4.916215604420536778e+01
