# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
4.739565068443089141e-02,1.773611045606919914e-02,5.168341180978634763e-03,2.270324520776208829e-03,4.556829510917310283e-02
6.728006420277089783e-02,1.013221572024471107e-03,3.650901577296131596e-04,2.905662645576564691e-03,6.869184528370515797e-02
1.342880418741334569e-01,7.022724521107197304e-02,1.823724126988209709e-02,2.297691840233810189e-03,9.373526709183281624e-02
1.209297003267953002e-01,9.150890506527729895e-02,4.901872958419801682e-03,4.059434068418094760e-03,1.376107360689128312e-01
1.390191610511672948e-01,1.243401259298229644e-01,4.898333249420398772e-03,4.425004224758545719e-03,1.025096418146202587e-01
7.582659620045664739e-02,4.483092437497168681e-02,2.384371731145514504e-03,2.401430077022995591e-03,6.989290299844805321e-02
1.953873209985360626e-01,8.559507147948439143e-02,5.980102281431524079e-03,5.090156620119761291e-03,1.847177759013019782e-01
1.131508425976191640e-01,1.024385393311236375e-01,8.333972079302608138e-03,4.126359586758414008e-03,1.164982200131084861e-01
9.729719582862714211e-02,1.022868730368165779e-01,7.059018045454696667e-03,4.158987681635771538e-03,8.024403213801642454e-02
8.140116531048013915e-02,5.898662522241502476e-02,3.836336842893100889e-03,3.081505768451980008e-03,7.437957493642340101e-02
5.846961390242325779e-02,7.694980052084790523e-02,4.725252899341496338e-03,2.309061375514556789e-03,6.165050237538553107e-02
7.569999979236397003e-02,1.073087343166640173e-01,3.225191812397334816e-03,3.145069199617555895e-03,4.352564766950844238e-02
7.030283937547002204e-02,1.033918748564992829e-01,5.272713774614691019e-03,3.390985158080616312e-03,4.169222744670424835e-02
7.975640127492103493e-02,9.735640499293998773e-02,4.056532507033327496e-03,3.508480084139806252e-03,5.461623792361686852e-02
7.016539929039261603e-02,9.192995921174243468e-02,3.617984468718112804e-03,2.878476797616642477e-03,4.468028008043741645e-02
3.908773861018977058e-02,1.898832729590410953e-02,2.885097320300759969e-03,1.551438801813655871e-03,3.816377999767863599e-02
