# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.825288313719289590e+01,1.747116862807119197e+00,9.387644544455207551e+01,6.123554555447761949e+00,5.005441917557534026e+01,4.994558082442465263e+01,4.142221279548570223e+00,9.585777872045180459e+01
9.803708166048768646e+01,1.962918339512302657e+00,9.995111285064190554e+01,4.888714935809887474e-02,5.696452471147298269e+01,4.303547528852691784e+01,2.692194740852935197e+01,7.307805259147075105e+01
8.946596752239538830e+01,1.053403247760469341e+01,1.963877274669286876e+01,8.036122725330821481e+01,2.227964383808706206e+00,9.777203561619127470e+01,2.269994145045912148e+01,7.730005854954050903e+01
5.332702181827060883e+01,4.667297818172944091e+01,5.382540936201765902e+01,4.617459063798233387e+01,2.728730130846195934e+01,7.271269869153789500e+01,5.948195332377809308e+01,4.051804667622204192e+01
6.166038668092160435e+01,3.833961331907845249e+01,4.514710545243184470e+01,5.485289454756822636e+01,2.801142795111764627e+01,7.198857204888227557e+01,1.566414299582793923e+01,8.433585700417194175e+01
7.609704425943345996e+01,2.390295574056655781e+01,9.229545028842352394e+01,7.704549711576565763e+00,4.533284167519035890e+01,5.466715832480954873e+01,3.722018233600633863e+01,6.277981766399358321e+01
6.684057893850933851e+01,3.315942106149057622e+01,8.815850679454970873e+01,1.184149320545013673e+01,4.466527333454844495e+01,5.533472666545161900e+01,2.805704125064760390e+01,7.194295874935234281e+01
6.760230445882726258e+01,3.239769554117273742e+01,5.906749711956199889e+01,4.093250288043774532e+01,2.599783760608768546e+01,7.400216239391217243e+01,3.815295939386739121e+01,6.184704060613250931e+01
7.900032483746086598e+01,2.099967516253891020e+01,7.233790853491566963e+01,2.766209146508448313e+01,3.852700432946028286e+01,6.147299567053958214e+01,3.374464129416429614e+01,6.625535870583573228e+01
8.117438919963824162e+01,1.882561080036165890e+01,8.958784197094634294e+01,1.041215802905356291e+01,4.605718968177006190e+01,5.394281031822990968e+01,3.727955582083026798e+01,6.272044417917006598e+01
4.990545328374015810e+01,5.009454671625984190e+01,1.955387548042448387e+01,8.044612451957590338e+01,8.539176222072404343e+00,9.146082377792781415e+01,1.872577620067514914e+01,8.127422379932465901e+01
5.984915850651055536e+01,4.015084149348935227e+01,4.825283713305793043e+01,5.174716286694205536e+01,2.958947710705289325e+01,7.041052289294732702e+01,3.344354797383604705e+01,6.655645202616418032e+01
7.123688915423520029e+01,2.876311084576534327e+01,6.735184251119670762e+01,3.264815748880294421e+01,3.890696479453075085e+01,6.109303520546914967e+01,3.594185856578315708e+01,6.405814143421706319e+01
6.986197300773164898e+01,3.013802699226847537e+01,7.631392110918528715e+01,2.368607889081448192e+01,4.220908040658366644e+01,5.779091959341628382e+01,3.573067600782364650e+01,6.426932399217682246e+01
6.383022783072878070e+01,3.616977216927120509e+01,6.323216615882993352e+01,3.676783384117005937e+01,3.751339560741216417e+01,6.248660439258763688e+01,3.570912026364741365e+01,6.429087973635314768e+01
9.592806937349584473e+01,4.071930626504316919e+00,9.377695616925609556e+01,6.223043830743547389e+00,4.931833875810411882e+01,5.068166124189584565e+01,3.718946514612049725e+01,6.281053485387955959e+01
