# NO3, NO2, NH4, Nstar, TA, DIC
7.184717387106191733e-02,6.932421476636198288e-02,-4.915602506850785119e-02,2.016715672664008696e-02,-2.831677406587088108e-02,3.081637564176031852e-02
2.551813869330829543e-01,2.441493402291647907e-01,-7.323142443899845200e-02,3.141251166266551542e-01,9.064135153752150842e-03,2.634123286032175049e-02
-1.205082006367782066e+00,6.624523171207021000e-02,2.480976189039823532e-01,-9.285402408977129207e-01,6.053019253547224920e-01,7.200801928577671429e-02
-7.072641273644746096e-02,-1.795669056977712563e-02,1.463647793366536914e-02,1.622537614865834921e-02,6.682855135965093396e-02,1.505926704790794268e-02
-2.035763238129928432e-02,2.756132022509335741e-02,8.774935528427761644e-02,-9.360308571262376809e-02,4.439895236976665327e-02,3.817899760992948810e-02
-1.596627000729024248e-02,-1.445074123214547951e-02,-4.303515394969312929e-02,4.754726878804456380e-02,4.755255581172401769e-03,1.306529385134136412e-02
-3.457642443755512551e-02,-2.999140977145386966e-02,-3.522916611721631230e-02,2.200173352822248352e-01,-3.904447097369700970e-03,1.862063289307935854e-02
-4.227095225960053604e-02,2.787698425180815121e-02,3.313432441001265549e-02,-1.151666183846133951e-02,6.242923865430771713e-02,2.285612809600534590e-02
3.513666888478708672e-02,5.194564104469540089e-02,2.554934655093854187e-02,-3.328760531968669167e-02,3.035197466975858571e-02,2.598423844649089265e-02
2.419876737796115146e-02,2.553493703040010665e-02,-3.079814897214121910e-02,3.547339438746781315e-02,1.179385577073366331e-02,1.693427485405907262e-02
-1.463089352148945199e-01,-1.353742370932034533e-02,1.053915312816587485e-01,-1.018626606331652917e-01,9.582459222781658514e-02,3.940259439646054407e-02
-1.696661171896426956e-02,1.492396264640572651e-02,5.353510314211513271e-02,-5.029684864130962163e-02,4.764584623909817740e-02,2.715478246411762164e-02
1.126727349161017744e-02,2.339946613236531386e-02,2.862132714025105232e-02,-3.805852294933462221e-02,3.142619916749955777e-02,2.478611609455128040e-02
-2.810193964419324675e-03,5.237083304169081431e-03,-3.233707450966334315e-03,-2.731392023974432703e-03,1.720407540643598132e-02,2.000546632438138239e-02
-5.466592064254705008e-03,8.123588089135432705e-03,2.480330395350648087e-02,-2.605528011902691343e-02,3.057389605598215265e-02,2.218467965905390749e-02
2.940576070555975946e-02,2.821816707672120117e-02,-3.465861434853891726e-02,1.547313897430672991e-02,1.109066756821996957e-02,1.907962722372980036e-02
