# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
9.413383538413622187e-01,7.146954831753326437e-03,5.210847099366253295e-03,5.264259505942650054e-03,4.103958472157335363e-02
7.276427662635067684e-01,6.828588842582097591e-05,4.442828265013999662e-05,9.292170856719935215e-03,2.629523487087009337e-01
7.257227270550420384e-01,5.242604101491733575e-05,3.272985428217542458e-02,1.073054289224360379e-04,2.413876871928473389e-01
3.873839843994689724e-01,5.135687798935175720e-03,5.585612183844628105e-03,7.563594591389244306e-04,6.011383561586132185e-01
7.524403839872984001e-01,1.548530622326070756e-02,1.934480411191800281e-02,1.007495078282928794e-04,2.126287561696922623e-01
6.063571835593400960e-01,1.473117658538205393e-02,2.586247385821415033e-03,1.384505134264436008e-03,3.749408873351950389e-01
6.816877276970836341e-01,2.465776894512265380e-02,4.305862048619710399e-03,2.172588498527566053e-03,2.871760528106495625e-01
6.155858663199317293e-01,3.565896307039789493e-05,8.516402268834663905e-03,1.615789183498164705e-04,3.757004935298119963e-01
6.430386737721833779e-01,3.980369829182975848e-03,9.760407448581583795e-03,9.580136048110740165e-04,3.422625353452407038e-01
6.065518998837825526e-01,1.041908907932783020e-02,3.750087263176861418e-03,2.046792785754533890e-03,3.772321309879587692e-01
7.352334668734342715e-01,7.500323648870431111e-05,1.650515322525574619e-02,1.480493371554598042e-06,2.481848961714519519e-01
6.073273656304101209e-01,1.045496759606583462e-02,1.381718785066351866e-02,7.642540341767552756e-05,3.683240535194421406e-01
5.881268753925577020e-01,2.417415196511204720e-02,1.137491426482137996e-02,6.314666028022526819e-04,3.756925917747057642e-01
5.864315749717958770e-01,3.449098534468154897e-02,7.656114885592270845e-03,1.174519717291742232e-03,3.702468050806374533e-01
5.744389713508905038e-01,3.270699707606389978e-02,1.142593436823526390e-02,2.467239069231152364e-04,3.811813732978887592e-01
6.155465377038886743e-01,1.000535197264382746e-02,3.266264829539535647e-03,3.060808116143117624e-03,3.681210373777819567e-01
