# anmx, denit, nitox, dnrn
1.203427144815074890e+01,1.801742756586119487e+00,1.422181722747497545e+01,6.426768781523032104e+00
1.117924222994212791e+00,2.945594210237995059e-01,7.589269676343012527e+00,7.358385088971060028e+00
1.933722281395634468e+01,1.653363559955782214e-01,6.339481405927306135e+00,1.880978405497617700e+01
2.422691366787471523e+01,2.154642504626944621e+00,2.263529992591151796e+01,2.306355826524447039e+01
7.343376171146903886e+00,1.901581217616075348e+00,4.578928873150491796e+00,5.655511410341310885e+00
1.263001525921369783e+01,3.415395048074273188e+00,1.774007612135055112e+01,1.260106476249510621e+01
2.090815083517167494e+01,5.017457517079320084e+00,2.119829622226923505e+01,1.607934014232318987e+01
2.368571634113958879e+01,1.502745791245714280e-01,9.176252653236316448e+00,2.235321644340318770e+01
2.114677272939023567e+01,1.620860871736695019e+00,1.812365587760562136e+01,1.532996695871961990e+01
1.621389200913113626e+01,2.995851274929509422e+00,2.127690695354833395e+01,1.479426252476249459e+01
6.468961416565957911e+00,1.375813043897141652e-01,5.181503562942650909e-01,6.454239233297616174e+00
5.889407343113486348e+00,1.898719003177163689e+00,4.319457946189400488e+00,5.247102385742166142e+00
1.722503277749268236e+01,3.232768057265489325e+00,1.472658287040582081e+01,9.721561593382395117e+00
1.628506079994338052e+01,4.298663194837121004e+00,1.873532242265356729e+01,1.056058544772892027e+01
1.110801235859825908e+01,3.536743040964744456e+00,8.996240562929958884e+00,6.893238123865013556e+00
1.117979997485854327e+01,2.784279361496698968e+00,1.454530461374483430e+01,6.492072597081207874e+00
