# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
6.597000010908351086e+00,6.597000010908345757e+00,2.068203634042897576e+01,2.068203634042895445e+01,1.250137045481589304e+01,1.250137045481588594e+01,4.846219806681355102e+00,4.846219806681373754e+00
1.393471566070058998e+01,1.393471566070061307e+01,2.312359866560746102e+00,2.312359866560742994e+00,7.481220406997637795e+00,7.481220406997638683e+00,7.042727858704044053e+00,7.042727858704046717e+00
1.084824861080036396e+00,1.084824861080036396e+00,7.041136685091831993e+00,7.041136685091010428e+00,8.496269021311396941e+00,8.496269021311402270e+00,9.410992966084927858e+00,9.410992966084934963e+00
1.196324254094412254e+01,1.196324254094410300e+01,3.234273191415464765e+01,3.234273191415503135e+01,2.493252742168368385e+01,2.493252742168362701e+01,1.280001999692490777e+01,1.280001999692491665e+01
2.818644736964567965e+00,2.818644736964530217e+00,5.829444401493052652e+00,5.829444401493943495e+00,6.963393579751765650e+00,6.963393579751762097e+00,1.019822089997901493e+01,1.019822089997901315e+01
1.956586648984854904e+01,1.956586648984854193e+01,3.340948357844057170e+01,3.340948357844073513e+01,1.831828422945167389e+01,1.831828422945170587e+01,6.961462411840474651e+00,6.961462411840480868e+00
2.529011190729097791e+01,2.529011190729100278e+01,3.591065106802888351e+01,3.591065106802958695e+01,2.145243854668544259e+01,2.145243854668544259e+01,1.874667395836396366e+01,1.874667395836397077e+01
1.682256756253925234e+00,1.682256756253922347e+00,2.470686888722641683e+01,2.470686888722816477e+01,9.745107056151747216e+00,9.745107056151756098e+00,1.043470554969115760e+01,1.043470554969115938e+01
6.715196845220493316e+00,6.715196845220495092e+00,3.021392221640144626e+01,3.021392221640175180e+01,2.010673284661404026e+01,2.010673284661413618e+01,7.233043620193793544e+00,7.233043620193772227e+00
1.502172454234834120e+01,1.502172454234834120e+01,3.296297574821920762e+01,3.296297574821921472e+01,2.187233789944866302e+01,2.187233789944862394e+01,7.200569459804358807e+00,7.200569459804358807e+00
1.975903828989044042e-01,1.975903828989040989e-01,6.889117159243322019e-01,6.889117159244110278e-01,8.337453818046731691e-01,8.337453818046733911e-01,4.902925178348024993e+00,4.902925178348024993e+00
2.409842385229762574e+00,2.409842385229783890e+00,5.311428801197235039e+00,5.311428801196832694e+00,6.778863156566988124e+00,6.778863156567003223e+00,3.061181586264064780e+00,3.061181586264060339e+00
1.103692637493243467e+01,1.103692637493244177e+01,2.305567392846277386e+01,2.305567392846337782e+01,1.776964974903283334e+01,1.776964974903280847e+01,2.601977260097969147e+00,2.601977260097974476e+00
1.449558718423146608e+01,1.449558718423147496e+01,2.809444611822778270e+01,2.809444611822772941e+01,2.158990898934426639e+01,2.158990898934415270e+01,4.803536550485179468e+00,4.803536550485184797e+00
7.718088531581513756e+00,7.718088531581527079e+00,1.315756770824728683e+01,1.315756770824799027e+01,1.204735072145982677e+01,1.204735072145984809e+01,3.577198708706390118e+00,3.577198708706394115e+00
9.500027887630198009e+00,9.500027887630187351e+00,2.210228420178424003e+01,2.210228420178430753e+01,1.359194222639940719e+01,1.359194222639940364e+01,3.794060781763036516e+00,3.794060781763040069e+00
