# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
9.170241026247180072e-01,1.452835056335876479e-03,4.831769298480988704e-03,3.977024905510045949e-02,3.692104396536591282e-02
7.145168592077748571e-01,1.392230287018489133e-05,4.032579462083005055e-05,3.592888575416829100e-02,2.495000069405637899e-01
5.030725960654184314e-01,3.947262736973859987e-01,2.878774349080948092e-02,1.672562191809630946e-03,7.174082455457324314e-02
3.432934728726279583e-01,6.550395041599797741e-02,3.270325542682010148e-03,1.174185049853794689e-02,5.761904006701562553e-01
6.945603627341881969e-01,1.248669574334373422e-01,1.355407702568628588e-02,2.372435046881773632e-02,1.432942523378708810e-01
6.104129811872762712e-01,1.035505579691151957e-02,2.116433739088201694e-03,2.440674674641852074e-02,3.527087825303071855e-01
6.826807967246774078e-01,1.992290958633213122e-02,3.249030809033838594e-03,2.774153708360573706e-02,2.664057257963485248e-01
5.555586230150786342e-01,6.021458762693397693e-02,7.662663063247340638e-03,1.790825540235881433e-02,3.586558708923849315e-01
6.165641374886705606e-01,3.673748633125734769e-02,8.437334571143628378e-03,2.303761592063875707e-02,3.152234256882894270e-01
6.050278168778814303e-01,1.190624890189746765e-02,3.211872573063849576e-03,2.471315631471749860e-02,3.551409053324410259e-01
6.171074977741596301e-01,1.972534030286685058e-01,9.843803705641385529e-03,1.720340722773450876e-02,1.585918882637988303e-01
5.644996564074753476e-01,9.199934457255699860e-02,9.516234508717814553e-03,1.946441557560613447e-02,3.145203489356464543e-01
5.811754171240766098e-01,5.077001348081862375e-02,8.796375790781539583e-03,2.183067071467056919e-02,3.374275228896526646e-01
5.961205885236297020e-01,3.770781838441928518e-02,5.834369192521629555e-03,2.331389738238680287e-02,3.370233265170435866e-01
5.710537941010467300e-01,6.473179912253737567e-02,8.075326784565961535e-03,2.097536247840125004e-02,3.351637175134505875e-01
6.195677494317382017e-01,1.934283193392627616e-03,3.062676699222493561e-03,2.652071524881428541e-02,3.489145754268306310e-01
