# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
4.225468922783351400e-02,8.540545562209523808e-03,4.958332547323546051e-03,2.620164430438874127e-03,4.338579720823561997e-02
6.445132763369276763e-02,6.242708582980277142e-04,4.217772693373915524e-04,3.680972176171081432e-03,6.720880311820655317e-02
6.726120320728987134e-02,1.188853705791705628e-01,1.924258460688534761e-02,4.818173546561253101e-03,1.297868793192533121e-01
1.298274091785192874e-01,7.601074683474708105e-02,4.313735498738827980e-03,6.770182102572398948e-03,1.420250164698858009e-01
1.055667019799850226e-01,6.917480708940818013e-02,4.779474844429253653e-03,5.455954176927417000e-03,9.895534650414736233e-02
6.740259144044510875e-02,2.149126112202647682e-02,2.346137192115769349e-03,3.263225588320007101e-03,7.019468918888319142e-02
1.780148694343893223e-01,4.336517512832546717e-02,5.668424054722359488e-03,8.060277298747886912e-03,1.825471125356970536e-01
1.082290640529392639e-01,7.469186402700993266e-02,7.672615318257782792e-03,5.955645362729680356e-03,1.176989470514544084e-01
7.069929808030332719e-02,5.673356107175123175e-02,6.794455486940504871e-03,4.403349283154765238e-03,7.963414934656556921e-02
6.979655910898631410e-02,2.893448097579136985e-02,3.719397993753830681e-03,3.745539872668018130e-03,7.334308001136284616e-02
5.532905304642098815e-02,7.390470044090535762e-02,4.628444548863629680e-03,3.839582422817694289e-03,6.645663658229557236e-02
3.336586036108697001e-02,5.670875427678772479e-02,3.224674329127213187e-03,2.719531318121407547e-03,4.357038495256503052e-02
2.646748750026677727e-02,5.136756996058314262e-02,5.117787673049098603e-03,2.693339374681100271e-03,4.163761984428086121e-02
4.868947114834365486e-02,4.749516552003056613e-02,3.935058716348152630e-03,3.264558834524069076e-03,5.455763909454587612e-02
3.683985414069877035e-02,4.584197887417930384e-02,3.556372113383239348e-03,2.548839320026319907e-03,4.434198986356854139e-02
3.537573049496994110e-02,8.507796447771567849e-03,2.831676301434942963e-03,1.918088409757803077e-03,3.708452652518550580e-02
