# NO3, NO2, NH4, Nstar, TA, DIC
7.760924127759409430e+01,2.861147970709418587e+03,1.525936352246081562e+14,1.967645795218378169e+01,1.252805979701364159e+01,8.920403670716563482e+00
5.312024710493835755e+01,2.005784818420646843e+04,inf,1.002398979122818901e+02,5.404748602961596760e+00,7.193842309757365605e+00
4.263475243214420374e+01,6.173659254953666959e+02,1.018048911388598208e+05,3.357602382711237965e+01,3.010164554528792991e+01,6.092061136523223119e+00
1.597224200058066934e+01,4.376370591681189239e+02,3.047305968366638944e+07,3.943809246672466884e+01,2.962877893680319730e+00,3.002435208249294885e+00
1.055359718336376851e+01,2.175618106131465538e+03,4.881853732312429202e+03,1.625135832063081409e+01,7.223206555273422147e+00,7.455685498898136032e+00
1.779242793947413048e+01,3.010171545256038428e+01,4.704079488846524328e+04,8.404880247836681519e+02,4.444105523286855153e+00,5.304636097102008563e+00
3.160630242418258717e+01,2.133999299021149341e+02,8.867258506188092724e+03,1.658441726806269116e+02,2.730709126353051186e+00,6.198113578523747336e+00
2.918932326128086174e+00,2.039047116292187312e+01,2.660071399217828002e+03,6.919449234441079177e+00,4.903892427827804212e+00,5.114183693120402552e+00
5.103621717192260121e+01,7.737357996118285541e+01,3.617256813754429459e+04,1.319934787566257661e+01,6.310595830650031601e+00,6.294990098349146024e+00
8.199107737981056232e+01,6.932010375989416673e+01,5.323771027246105223e+04,8.573767329312887853e+01,4.693800097373804547e+00,5.585005777561444340e+00
3.378295218421190071e+00,1.569223705203728692e+01,5.729890402711254137e+04,7.357834711525873317e+00,5.522975971440131637e+00,5.409442186674055186e+00
6.696755938281073739e+00,1.569590043722167252e+02,2.202076328248904247e+04,1.243547220189809366e+01,6.184459494746798569e+00,5.796130016867866885e+00
2.005157425924993575e+01,4.448157727632265050e+02,1.518390607354671374e+04,1.363984866445853150e+01,6.370421164864864316e+00,6.125409301090423142e+00
3.254923793761711259e+00,1.561867352423692500e+04,6.208330709682510080e+17,1.546784185462970251e+00,5.486496101983926899e+00,5.829653314983112899e+00
3.382585032303961903e+00,4.945400747282966971e+08,8.482288002344260800e+16,1.028950391776289486e+01,5.996398136979719240e+00,5.810137852596727548e+00
1.094954437894041206e+02,3.800914757494673244e+21,6.991387046132256091e+07,2.826321053707155784e+01,5.366836638380398483e+00,5.916678389609882238e+00
