# anmx, denit, nitox, dnrn
1.552273174415349510e+00,5.616209442697297355e-02,4.927637318669488309e+01,4.911519154446262547e+01
1.575562343996430789e-02,7.382240598252378608e-04,5.374492933580467025e+01,4.623857681669549180e+01
1.643268439847789253e+01,2.769788904238694727e+01,3.699696699956514845e+00,5.216972985917858097e+01
3.079932849273187667e+00,8.728009496050729510e+00,3.694308887623400750e+01,5.124896877844231113e+01
5.789469544677621649e+00,6.326466168971728088e+00,3.856933933712437579e+01,4.931472494922623184e+01
1.057959866094033474e+00,6.167329920553215050e-01,4.720730062229902302e+01,5.111800651955170594e+01
1.475021572422004379e+00,1.218857930429258829e+00,4.695211259100199896e+01,5.035400790614670541e+01
4.374101685157775421e+00,4.305112213169800306e+00,3.845811679199273669e+01,5.286266930967975952e+01
4.107265192686992528e+00,2.163202329799065460e+00,4.331840212441423432e+01,5.041113035309982138e+01
1.589780715783440046e+00,7.235521698757612086e-01,4.738855679089828499e+01,5.029811032344251487e+01
4.848078446225403404e+00,1.122812015088425142e+01,3.269818693641018115e+01,5.122561446648020933e+01
4.996742377203506891e+00,5.579138649198788436e+00,3.959357722466285168e+01,4.983054174893503330e+01
4.452557282001416539e+00,2.983334849173054248e+00,4.298940297517174969e+01,4.957470489365385191e+01
2.896396183217290421e+00,2.233623599395856196e+00,4.498347994683704343e+01,4.988650027054967495e+01
4.190894736040349677e+00,3.866461994984908390e+00,4.218763563637700287e+01,4.975500763259767467e+01
1.463600829113002932e+00,1.087209122950498763e-01,4.897350797282809509e+01,4.945417028576404306e+01
