# anmx, denit, nitox, dnrn
1.591405967889746975e+00,3.387429430870275704e-01,1.814759906227159769e+00,8.997701933285573439e-01
1.651936058482666725e-01,3.367743664562070777e-02,1.800436081936429566e+00,1.779913471464940944e+00
9.867867879807860731e+00,9.461471482592321181e+00,1.017243576498725766e+01,7.856161012343558347e+00
4.722065148245693678e+00,1.157482846085093797e+01,1.457793979878482915e+01,5.654347786295881306e+00
1.949563209069890446e+00,4.166305028898175777e+00,4.407109625564772593e+00,8.995959867201316351e-01
1.172593950192764689e+00,1.315345003037940330e+00,2.121930572255801284e+00,1.024332384892427283e+00
2.826107218941957822e+00,3.066656932895583498e+00,4.620635489589157707e+00,1.953185840244867855e+00
4.413629131982346188e+00,5.896296867377566642e+00,8.205859447005520835e+00,2.671740566386529458e+00
3.273063889632113366e+00,3.518754814581377843e+00,5.180679851354704546e+00,1.747398853619588355e+00
1.832165323838019333e+00,1.818342082466776199e+00,3.143743628363590670e+00,1.501070967611367157e+00
2.180405593236740103e+00,4.884203383543705534e+00,4.979141760665166672e+00,1.181952463531803055e+00
1.572965252083715404e+00,3.666170466708035924e+00,3.525432907661980586e+00,9.037198328191806684e-01
2.523340418874650659e+00,3.111194840156181307e+00,4.023789951610392990e+00,1.122170014755881740e+00
1.916119714064459245e+00,2.927940689613169223e+00,3.618880474800063585e+00,1.137402877549089419e+00
1.785061509587417827e+00,2.868854045537452713e+00,3.196088673338108421e+00,8.097814110502182805e-01
1.349793245049791812e+00,4.868086859326902216e-01,1.651865691278840531e+00,8.148250444736949705e-01
