# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
8.483658108599607672e+00,8.483658108599616554e+00,3.215676617401162840e+00,3.215676617401324933e+00,1.189152685418064959e+00,1.189152685418065403e+00,4.720324583005248265e+00,4.720324583005244712e+00
1.197554768381837320e+01,1.197554768381837320e+01,3.256981670402876450e-01,3.256981670402877560e-01,1.788155634497653024e+00,1.788155634497653024e+00,7.078713072045094812e+00,7.078713072045096588e+00
2.396864210198475931e+01,2.396864210198476641e+01,1.860672986203599066e+01,1.860672986203598711e+01,1.268360115544793665e+01,1.268360115544795619e+01,1.390539618087046314e+01,1.390539618087047735e+01
3.993856914188913265e+01,3.993856914188913265e+01,2.731095529429326518e+01,2.731095529429324742e+01,1.395152780792615665e+01,1.395152780792614777e+01,1.411463073804027957e+01,1.411463073804029378e+01
1.927477998784367585e+01,1.927477998784384994e+01,8.459877286458043599e+00,8.459877286458032941e+00,3.078526382119588511e+00,3.078526382119589844e+00,1.055447086744105611e+01,1.055447086744106322e+01
3.423873058809335390e+01,3.423873058809333259e+01,3.704422027647845894e+00,3.704422027647632287e+00,1.465665570668464035e+00,1.465665570668463147e+00,7.188624534664200816e+00,7.188624534664199928e+00
3.501838378761860326e+01,3.501838378761860326e+01,9.280518207498168692e+00,9.280518207498124283e+00,3.170125504227914615e+00,3.170125504227914615e+00,1.883632551395207599e+01,1.883632551395206889e+01
3.285523030324161198e+01,3.285523030324178961e+01,1.712401187002384617e+01,1.712401187002379288e+01,6.402604008021281601e+00,6.402604008021282489e+00,1.201112034680484264e+01,1.201112034680485863e+01
2.819334488552851425e+01,2.819334488552855333e+01,1.017149536383478470e+01,1.017149536383483444e+01,3.415844227714462722e+00,3.415844227714461390e+00,8.298706319060729086e+00,8.298706319060737968e+00
3.122703447835176860e+01,3.122703447835174728e+01,5.442336739297386039e+00,5.442336739297389592e+00,2.185239226363691056e+00,2.185239226363692833e+00,7.527842449723691765e+00,7.527842449723694429e+00
1.822333772038407673e+01,1.822333772038408028e+01,9.673200139467448722e+00,9.673200139467445169e+00,3.962477578665825728e+00,3.962477578665829725e+00,7.063811387803036190e+00,7.063811387803036190e+00
2.147354391698807063e+01,2.147354391698806708e+01,6.494738550536161448e+00,6.494738550536163224e+00,2.452997686637972574e+00,2.452997686637969910e+00,4.770916623914875920e+00,4.770916623914881249e+00
2.583716879808212497e+01,2.583716879808210365e+01,8.130688059616550944e+00,8.130688059616543839e+00,2.395898284193680006e+00,2.395898284193680006e+00,4.437901542252411957e+00,4.437901542252419063e+00
3.196907061621238100e+01,3.196907061621247337e+01,6.665970639309219514e+00,6.665970639309241719e+00,2.337794342395794978e+00,2.337794342395794533e+00,5.735157204021363420e+00,5.735157204021361643e+00
2.290289618411301475e+01,2.290289618411300054e+01,6.323879051188358247e+00,6.323879051188360023e+00,1.959049539951301711e+00,1.959049539951299934e+00,4.703151137721049757e+00,4.703151137721047093e+00
1.285157128676875082e+01,1.285157128676874727e+01,2.911601633530214173e+00,2.911601633530156885e+00,1.093259175012033291e+00,1.093259175012032625e+00,3.808721626979277186e+00,3.808721626979274522e+00
