# NO3, NO2, NH4, Nstar, TA, DIC
7.351956755490023088e-02,6.480846881098535628e-02,-4.914671499255501147e-02,1.476244018081698806e-02,-1.798766415769678662e-02,8.920403670716603450e-02
2.656562140472361611e-01,2.336674812229710407e-01,-7.203918406084738879e-02,3.141211749881634430e-01,3.228615613176644139e-02,7.193842309757314535e-02
-6.279940062461084604e-01,-4.901780305487782319e-02,1.705648829877792760e-01,-5.306132045323548319e-01,3.264401070554181494e-01,6.092061136523163611e-02
-2.537091123481682864e-02,-1.335264963242653764e-02,-1.169423767573227364e-02,4.152020761223718104e-02,3.902497208692778941e-02,3.002435208249465415e-02
2.399415523988912557e-02,4.020812912466307371e-02,4.102517301642373548e-02,-8.012864702409566720e-02,4.136445680330969044e-02,7.455685498897923758e-02
-1.833934042964520394e-02,-1.195891584269750257e-02,-4.357137064442639235e-02,4.672810027576769498e-02,3.613646726107611062e-02,5.304636097102055636e-02
-3.308244556448838858e-02,-2.914424491895456493e-02,-4.119565484951887013e-02,2.156990130519040871e-01,1.754377499196690948e-02,6.198113578523456457e-02
7.366777741767527310e-03,2.812282422224868239e-02,7.546617714101634851e-03,1.421229684614727651e-02,4.413772923112979640e-02,5.114183693120377683e-02
4.799450709095554046e-02,5.590203493832410220e-02,1.053169250879284168e-02,-3.077659276370728336e-02,4.993544923748671760e-02,6.294990098348651753e-02
2.549597527929393231e-02,2.602422780401564273e-02,-3.337955084365826913e-02,3.428500461218646211e-02,3.860059597588916258e-02,5.585005777561757867e-02
-1.430489533376988476e-02,1.054165724347043420e-02,6.955975068556619241e-03,-3.510334033841400192e-02,3.842254710717307731e-02,5.409442186674007225e-02
1.256492734048281212e-02,2.476192145286908869e-02,2.007803355610312396e-02,-4.199239666312143404e-02,5.366853317664044276e-02,5.796130016868072943e-02
2.106004772271696801e-02,2.782778208747709731e-02,1.582648338288504888e-02,-3.595206616224838614e-02,5.460564668969936086e-02,6.125409301090423142e-02
3.023981178719811758e-03,7.341532815188566395e-03,-1.118769490413483274e-02,-2.456511433685915069e-03,4.550990463956483545e-02,5.829653314983207490e-02
4.827411241952378473e-03,1.218078247253152543e-02,8.986522351832643141e-03,-2.673979157726291689e-02,5.210804634027554894e-02,5.810137852596941599e-02
2.794210638864478430e-02,2.799869894415651927e-02,-3.513612902302140628e-02,1.283879885957812939e-02,4.301152117534268182e-02,5.916678389610030564e-02
