# NO3, NO2, NH4, Nstar, TA, DIC
1.513521764819183990e-01,2.464818234033275528e-03,9.333272612858538132e-14,1.820413800779224489e-01,1.280899288686023763e-01,1.254075321040579305e-13
2.518964694982095409e-01,1.394044917729879820e-03,0.000000000000000000e+00,1.761313228883522597e-01,1.339228384290351015e-01,1.845090383658509004e-12
9.639475234688411609e-01,9.450122725569432263e-04,1.207704475084348363e-03,9.242953212068620861e-01,5.920596477895437998e-02,1.122291925536804470e-11
2.278942380054180539e-01,4.505148368820998100e-04,5.021426865917714799e-08,2.028304601353691505e-01,2.588861705422320636e-01,1.679503834770993084e-11
1.358447820891777458e-01,2.941395258880088234e-03,6.008497335457200226e-04,1.489709035345060106e-01,2.134639850285806051e-01,5.192411871679485336e-12
1.015405182927932581e-01,2.716620332257314169e-02,4.728471367873672348e-05,9.481008623921313716e-02,1.329806822663500976e-01,1.011410340174977723e-12
1.389967636457226374e-01,3.492326801118431773e-02,2.738666827930056713e-04,3.893149176477564977e-01,3.914106298743556533e-01,2.103001759999972002e-11
1.715630594438644352e-01,3.666180765697673455e-02,2.044121710505959495e-04,3.421675851571181481e-01,2.112498948848861857e-01,2.307596342826984871e-12
1.782901117725762263e-01,4.239194969381233913e-02,6.727719525788287372e-05,2.538127722822363097e-01,1.398024382402630050e-01,1.620269709040496123e-13
1.542021409162174228e-01,3.625385143047447217e-02,2.491541250636952060e-04,1.529242318746166507e-01,1.392381218999521331e-01,1.067121518714024175e-12
1.344622397974675754e-01,2.962819163668358943e-02,8.608713541042551189e-05,1.432641145784771253e-01,1.010457319419107436e-01,1.425384250140980940e-12
1.120799962781873493e-01,2.862804159490009437e-02,1.476672415133085730e-04,8.707583082841000022e-02,5.568062928821437829e-02,3.170166534213051253e-13
1.189084516734918995e-01,4.597151625620191778e-03,1.222732593060231324e-04,1.799265244495400484e-01,4.338027269515149636e-02,1.857597192351186973e-12
1.403934108904960343e-01,8.899667795402503134e-05,9.880011145567699563e-19,1.295181752242944573e-01,9.086278603042920177e-02,5.960489542110960922e-13
9.118533218961802356e-02,7.051321833746200172e-09,3.200289080322740549e-17,1.165631056878558836e-01,6.753393662592885316e-02,4.525081873570035207e-14
9.072243175585892327e-02,4.803931776703947953e-22,9.992679572696142145e-07,9.621885541335545300e-02,7.253489406276365792e-02,5.117403076218815436e-13
