# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
9.175689171796217458e-01,1.614057301177479345e-03,4.887103368794214198e-03,3.799685336012938175e-02,3.793306879027497081e-02
7.147990815678394450e-01,1.688904298575794199e-05,3.448658377974329089e-05,3.457463863687114392e-02,2.505749041685219058e-01
5.045961176803237525e-01,3.914921072503929067e-01,2.845689230858451310e-02,1.457743758284136279e-03,7.399713900241820796e-02
3.447892801142570796e-01,6.961177977213911516e-02,3.293026490204690754e-03,1.102428520505774508e-02,5.712816284183385163e-01
6.898280758219954567e-01,1.314996597714081783e-01,1.356842828230434700e-02,2.215131822482551208e-02,1.429525178994686119e-01
6.102604390023128600e-01,1.092490468458442131e-02,2.077347246469195535e-03,2.321727461122764444e-02,3.535200344554073615e-01
6.770121375843753952e-01,2.217205434443109136e-02,3.282915600113199984e-03,2.615708329135811236e-02,2.713758091797198180e-01
5.539657173778127497e-01,6.310174297980863933e-02,7.635195429453961978e-03,1.675547201360742811e-02,3.585418721993182123e-01
6.158989503170106961e-01,3.789262135505647860e-02,8.453730246421525124e-03,2.181877210777760645e-02,3.159359259737368197e-01
6.064165185095121702e-01,1.236402921656059792e-02,3.232736733047715354e-03,2.361728904027962997e-02,3.543694265005988830e-01
6.076901513807034805e-01,2.070675507519299241e-01,9.970326696092718030e-03,1.559025402569328735e-02,1.596817171455827966e-01
5.597632598422139782e-01,9.786572762083124710e-02,9.449532104411805661e-03,1.811126031846104281e-02,3.148102201140809964e-01
5.789552618998505817e-01,5.384911609226918777e-02,8.807377216955240146e-03,2.058808532225293517e-02,3.378001594686734221e-01
5.957949623914169379e-01,3.920577093194431428e-02,5.834680380070031945e-03,2.216335401847784395e-02,3.370012322780883141e-01
5.679407630728161571e-01,6.731546154921647096e-02,8.039015853198190967e-03,1.975321699449797061e-02,3.369515425302711531e-01
6.193681203034250293e-01,2.234644057503994662e-03,3.094237999671681921e-03,2.531032816836083915e-02,3.499926694710403519e-01
