# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
4.316805694153934281e-02,8.965541614373314858e-03,5.060456830549701565e-03,2.624864530919468735e-03,4.404651286793606624e-02
6.430930805451126608e-02,1.377610212929780177e-03,3.929876312478786994e-04,3.633980794685265706e-03,6.693653417011960483e-02
7.166636666460929339e-02,1.158359377309158278e-01,1.911104653648390203e-02,4.502200478512107147e-03,1.301802419135921762e-01
1.312619068543357803e-01,7.978907539244460556e-02,4.353295846396994240e-03,6.628385805355439982e-03,1.429954939290896954e-01
1.081111184183913970e-01,7.270514291795357464e-02,4.825838305972710539e-03,5.409205856964637536e-03,9.980931664802711323e-02
6.600572815616388700e-02,2.288144223778780170e-02,2.363466697581260382e-03,3.134118300490810159e-03,6.847856605405085173e-02
1.812263516366396376e-01,4.726518353681637141e-02,5.814273501313003273e-03,7.920227843068172735e-03,1.845311730020827434e-01
1.087724210899292249e-01,7.792950112057690781e-02,7.629214178623242547e-03,5.813633037909704364e-03,1.182886112602370560e-01
7.115415598351018667e-02,5.894239668935837700e-02,6.803900386703612586e-03,4.347150681755812540e-03,7.864435008849413045e-02
7.035975290638239732e-02,2.990876104457803469e-02,3.714691189081953220e-03,3.650116026078138037e-03,7.362258339898142268e-02
5.720383594098431973e-02,7.657870822083188977e-02,4.638078384817703216e-03,3.832510979382325149e-03,6.699827701273068647e-02
3.501899092161649130e-02,5.898498415896732266e-02,3.273558148268084205e-03,2.729013123034111296e-03,4.368077436385403578e-02
2.815802282402590437e-02,5.413429919048480532e-02,5.137890276130398920e-03,2.772520278715963609e-03,4.140955529657978917e-02
4.781853051516770509e-02,5.007622399991104589e-02,3.962711192607621530e-03,3.195398928041919256e-03,5.508190018549139616e-02
3.758036350214826599e-02,4.700663176739301036e-02,3.523283501291300888e-03,2.523105827067821660e-03,4.412098745167366415e-02
3.543991224518865807e-02,9.360370908128318873e-03,2.839805217258690572e-03,1.875943433387132313e-03,3.727137756452530981e-02
