# NO3, NO2, NH4, Nstar, TA, DIC
7.812583102714746985e+01,2.866966374639097467e+03,1.512538978407490938e+14,2.117487860736904537e+01,1.407251200777695033e+01,8.576791345785334642e+00
5.291579083343192735e+01,2.014131409424671438e+04,inf,1.002069571663559202e+02,5.040141904234478609e+00,6.921825044129698234e+00
4.476898843793129856e+01,6.094692307027444258e+02,1.001131120638171415e+05,3.571590640530943261e+01,3.226931316506798453e+01,5.982927213372460251e+00
1.274248421131986575e+01,5.563982065899608642e+02,3.141496104615782201e+07,4.106533084784459220e+01,3.569878345419982946e+00,2.863462339058290951e+00
1.110995620568514397e+01,2.165834103798111755e+03,4.874463076517916306e+03,1.600502671173064684e+01,7.144896742424607261e+00,7.143949301423116793e+00
1.781173120232145735e+01,3.068350259867971275e+01,4.747007844584916893e+04,8.295814466837520058e+02,4.227871147456855105e+00,5.058924371540062914e+00
3.063469956391175941e+01,2.063735313482515892e+02,8.726366707562179727e+03,1.676007524403621858e+02,9.720446596417020579e-01,5.887999778290074815e+00
3.089730074349371414e+00,1.994287541701598698e+01,2.525824257447236050e+03,6.707186161067957286e+00,4.909438134209064053e+00,4.878133488611714697e+00
5.065977301318863368e+01,7.705480172892474400e+01,3.651398860689278081e+04,1.338602527920976293e+01,6.217090880475740988e+00,6.054500470832134162e+00
7.845508312426794362e+01,7.240400666199539614e+01,5.323361785493157367e+04,8.635756560708841789e+01,4.876190496320541357e+00,5.370005154670884906e+00
3.185895752766919831e+00,1.717637982598990476e+01,6.644247205234756984e+04,6.737001912924089453e+00,5.105999626678781489e+00,5.112116144356149583e+00
8.302656854683929666e+00,1.463758943765164133e+02,2.123011319519417520e+04,1.221718502795947003e+01,5.882319142279712310e+00,5.512158484578015383e+00
2.097910266866222884e+01,4.448215215301732997e+02,1.519635327596712159e+04,1.323217488827841670e+01,6.171954824244457072e+00,5.879092507841487958e+00
2.198284596401176572e+00,1.695773043633806083e+04,6.272683542269498880e+17,1.766801283030123182e+00,5.521557787340659829e+00,5.599606879711370055e+00
2.941552930057236281e+00,4.825738654843449593e+08,8.221340198247299200e+16,1.077214075178951802e+01,5.659678172049940059e+00,5.558446569542724980e+00
1.088269482468426759e+02,3.899189185306841055e+21,6.936326036060076952e+07,3.011292911198524180e+01,5.062675054884333115e+00,5.680913233608677615e+00
