# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.839746753000180490e+01,1.602532469998151354e+00,9.670903146943291517e+01,3.290968530566919625e+00,5.005972097475648752e+01,4.994027902524350537e+01,4.128949878859675238e+00,9.587105012114022884e+01
9.847301100916375560e+01,1.526988990836240179e+00,9.997039097191557744e+01,2.960902808443671708e-02,5.392409799066803799e+01,4.607590200933178437e+01,2.688093928402815536e+01,7.311906071597201162e+01
4.527567734480088291e+01,5.472432265519923789e+01,1.359799618853925196e+01,8.640200381146088660e+01,4.467770154317252107e+00,9.553222984568273546e+01,7.869526397417926589e+00,9.213047360258207163e+01
4.205381736294503980e+01,5.794618263705488914e+01,7.377527777866589531e+01,2.622472222133415443e+01,3.913930175356037466e+01,6.086069824643942638e+01,5.870564200069600247e+01,4.129435799930413253e+01
6.058649603571101494e+01,3.941350396428897795e+01,7.544092565703276421e+01,2.455907434296730329e+01,4.328353120443468782e+01,5.671646879556526955e+01,1.531458637407725121e+01,8.468541362592338828e+01
7.672602947920134397e+01,2.327397052079876971e+01,9.645443745268811142e+01,3.545562547311788659e+00,4.788786394441750360e+01,5.211213605558246798e+01,3.719742162197783131e+01,6.280257837802255239e+01
6.604804688109894073e+01,3.395195311890110901e+01,9.429236286980874127e+01,5.707637130191252517e+00,4.790574791092398499e+01,5.209425208907600791e+01,2.850763307970066052e+01,7.149236692029919027e+01
6.326176295557449691e+01,3.673823704442554572e+01,8.151361376072971154e+01,1.848638623926995450e+01,4.104745664660802618e+01,5.895254335339208041e+01,3.758237643571104769e+01,6.241762356428910152e+01
7.856352009706434103e+01,2.143647990293565897e+01,8.720566716920593819e+01,1.279433283079394101e+01,4.583420843096231323e+01,5.416579156903761572e+01,3.359282472319471680e+01,6.640717527680500609e+01
8.202047533169165661e+01,1.797952466830848195e+01,9.518291701279748906e+01,4.817082987202164546e+00,4.841588904255381465e+01,5.158411095744624930e+01,3.740482994246420390e+01,6.259517005753582453e+01
4.079165762520445071e+01,5.920834237479573403e+01,6.546806242378232810e+01,3.453193757621750848e+01,3.776619980530568910e+01,6.223380019469450986e+01,1.684627192923728245e+01,8.315372807076246886e+01
5.972094570187365292e+01,4.027905429812636839e+01,7.810042194348999089e+01,2.189957805650980660e+01,4.372780472590764589e+01,5.627219527409253885e+01,3.334122774224250918e+01,6.665877225775770398e+01
7.218496081178638235e+01,2.781503918821336185e+01,8.486275884950011061e+01,1.513724115050001728e+01,4.609313992350362810e+01,5.390686007649642164e+01,3.589496417792104666e+01,6.410503582207878992e+01
7.151538767021997955e+01,2.848461232977997781e+01,8.947780045558437223e+01,1.052219954441593153e+01,4.722523217794790185e+01,5.277476782205214079e+01,3.569802721665485024e+01,6.430197278334472344e+01
6.452627479221432338e+01,3.547372520778549898e+01,8.359590965434917109e+01,1.640409034565134760e+01,4.559388528613530411e+01,5.440611471386471720e+01,3.568019073445270806e+01,6.431980926554699352e+01
9.662853544969593145e+01,3.371464550304007712e+00,9.673863690943574056e+01,3.261363090564323830e+00,4.973258109394997462e+01,5.026741890605001117e+01,3.709479944392641926e+01,6.290520055607332495e+01
