# anmx, denit, nitox, dnrn
1.643859768318721049e+00,6.231070876692257343e-02,4.922049909130472400e+01,4.907333043160959107e+01
1.443982684567338658e-02,1.059083301991663824e-03,5.391621199996959035e+01,4.606828908988255478e+01
1.694330014155549691e+01,2.743085298289898333e+01,3.373591366046456930e+00,5.225225550949910058e+01
3.302645261282745714e+00,9.280926404535348340e+00,3.592079617990866325e+01,5.149563215427297536e+01
6.104432404370511378e+00,6.734845993858296076e+00,3.787566661487246478e+01,4.928505498689879971e+01
1.088712440424695060e+00,6.559126856007128081e-01,4.707457589673275322e+01,5.118079897724176419e+01
1.574669122257946530e+00,1.412484747405225338e+00,4.663986970021629475e+01,5.037297643012038861e+01
4.584754118613719065e+00,4.549472401826414547e+00,3.783179947277263011e+01,5.303397400678739615e+01
4.316797219829226151e+00,2.255882266428633098e+00,4.298571351582314293e+01,5.044160699791891034e+01
1.673465570009986081e+00,7.534232847894056784e-01,4.728841155370719918e+01,5.028469959149351354e+01
5.226740313013650052e+00,1.201581787985222327e+01,3.147056207388574833e+01,5.128687973324819893e+01
5.237441397254423592e+00,6.004719112270552550e+00,3.889527137293116255e+01,4.986256811754376628e+01
4.685419330998113807e+00,3.192237925027019418e+00,4.256758613606728403e+01,4.955475660790739312e+01
3.034076993194384730e+00,2.325867821356594867e+00,4.477022339650112315e+01,4.986983178894779911e+01
4.393887851112270759e+00,4.049264388397910253e+00,4.180832266278424214e+01,4.974852509770565945e+01
1.547809542904532876e+00,1.250545315763418042e-01,4.891317562866491642e+01,4.941396029685434144e+01
