# anmx, denit, nitox, dnrn
1.702270857744773824e+00,3.539834114525022835e-01,1.936192807920381842e+00,9.381885638363763880e-01
1.633821713572169154e-01,8.927445179133924880e-02,1.904054894272812382e+00,1.879413206490224031e+00
1.020344798961018817e+01,9.330996082275367698e+00,9.916671256260867651e+00,8.196553001053388243e+00
5.135955750543461207e+00,1.200175587556995183e+01,1.512584123490099230e+01,6.014538282494867438e+00
2.056578062714662813e+00,4.435903822887756753e+00,4.716071143592301951e+00,9.466531420615543757e-01
1.235427906529943609e+00,1.425989057888947142e+00,2.283106073718857321e+00,1.075314493033720620e+00
2.885276365142071864e+00,3.603646306263232013e+00,5.222897757289270082e+00,2.096359869259743380e+00
4.595076654771747648e+00,6.224969613042330430e+00,8.643027252877368838e+00,2.802092322557558024e+00
3.437632263294506441e+00,3.693409550303776268e+00,5.416541848453399588e+00,1.865759586235274492e+00
1.915840442720514236e+00,1.893892625428217125e+00,3.318292436498122999e+00,1.574437403828312210e+00
2.311892931320768341e+00,5.242842806405864309e+00,5.411630633258424083e+00,1.271066533878016269e+00
1.676086142945474533e+00,3.883166993513976095e+00,3.727957264095102641e+00,9.499048802882704701e-01
2.662665288607866110e+00,3.325995666335388012e+00,4.311290186758790277e+00,1.174715541037899547e+00
2.028421572314303756e+00,3.088279250581134505e+00,3.830426600420524519e+00,1.214308423310443086e+00
1.862908491093886010e+00,2.967290817360269450e+00,3.346213254681390303e+00,8.369019881338154443e-01
1.416878170049197916e+00,5.286262598168051108e-01,1.771312556119078119e+00,8.530270733573974695e-01
