# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
7.909412174392903339e+00,7.909412174392908668e+00,3.453432013237843989e+00,3.453432013237860865e+00,1.257377806696948541e+00,1.257377806696948763e+00,4.777439079948382350e+00,4.777439079948393008e+00
1.165242309080539762e+01,1.165242309080539762e+01,3.677950557352329675e-01,3.677950557352318572e-01,1.890125567708855980e+00,1.890125567708854870e+00,7.037993854370229840e+00,7.037993854370236946e+00
2.401849670198200215e+01,2.401849670198201281e+01,1.821511217504500380e+01,1.821511217504500735e+01,1.225807959817906578e+01,1.225807959817906223e+01,1.388927064931129784e+01,1.388927064931129429e+01
3.987682566533731432e+01,3.987682566533720063e+01,2.864874766903538017e+01,2.864874766903538372e+01,1.467564654245297184e+01,1.467564654245292921e+01,1.424017402130543175e+01,1.424017402130542820e+01
1.940949040857826802e+01,1.940949040857826802e+01,9.012757478268820677e+00,9.012757478268827782e+00,3.343985031405964925e+00,3.343985031405964481e+00,1.060901604524260833e+01,1.060901604524262964e+01
3.468291616064473004e+01,3.468291616064471583e+01,3.980316894230753633e+00,3.980316894230767399e+00,1.579780632036984045e+00,1.579780632036984489e+00,7.003632568080091936e+00,7.003632568080088383e+00
3.567599390562126871e+01,3.567599390562124029e+01,1.042940437566596401e+01,1.042940437566596756e+01,3.712920451935976196e+00,3.712920451935975752e+00,1.899377724278602386e+01,1.899377724278600255e+01
3.257942396468762070e+01,3.257942396468761359e+01,1.805156180127163879e+01,1.805156180127170273e+01,6.859662185381695032e+00,6.859662185381691479e+00,1.206272017256334728e+01,1.206272017256334728e+01
2.843556855891239010e+01,2.843556855891239010e+01,1.063453368443398617e+01,1.063453368443399505e+01,3.587570627080741925e+00,3.587570627080742369e+00,8.188971190275722734e+00,8.188971190275712075e+00
3.127005224011759310e+01,3.127005224011757178e+01,5.676968686381180795e+00,5.676968686381169249e+00,2.323400638109991423e+00,2.323400638109993199e+00,7.553120963050657721e+00,7.553120963050658609e+00
1.786294928839614471e+01,1.786294928839617313e+01,1.052245655757596765e+01,1.052245655757595522e+01,4.475296088773866643e+00,4.475296088773869307e+00,7.097766369486154581e+00,7.097766369486158133e+00
2.152618400252216802e+01,2.152618400252216446e+01,6.887958584724921174e+00,6.887958584724928279e+00,2.626267883656081548e+00,2.626267883656085100e+00,4.770592572023346634e+00,4.770592572023352851e+00
2.567384577929740175e+01,2.567384577929747635e+01,8.680668095246248939e+00,8.680668095246252491e+00,2.595422850783629443e+00,2.595422850783626778e+00,4.407466808073061237e+00,4.407466808073060349e+00
3.199794193196083825e+01,3.199794193196085246e+01,7.039572433406606322e+00,7.039572433406610763e+00,2.497194892110135456e+00,2.497194892110134568e+00,5.799678461009807329e+00,5.799678461009808217e+00
2.263412336254197399e+01,2.263412336254199531e+01,6.630346112710564732e+00,6.630346112710567397e+00,2.054506962453319652e+00,2.054506962453318764e+00,4.668774305239363542e+00,4.668774305239358213e+00
1.234715125434690286e+01,1.234715125434691707e+01,3.097073902024030989e+00,3.097073902024013226e+00,1.170936075927904607e+00,1.170936075927904163e+00,3.824822382094160922e+00,3.824822382094158257e+00
