# NO3, NO2, NH4, Nstar, TA, DIC
7.400893524314515470e-02,6.494026271100962477e-02,-4.871521802171166482e-02,1.588664380230354889e-02,-2.020517334307320167e-02,8.576791345785372833e-02
2.646337210810548735e-01,2.346398322343045684e-01,-7.212116748875531391e-02,3.140179487675590631e-01,3.010811795338730334e-02,6.921825044129648052e-02
-6.594305068258192737e-01,-4.839081893712196547e-02,1.677304602331569916e-01,-5.644304890919169537e-01,3.499475810503849260e-01,5.982927213372402075e-02
-2.024064222322063955e-02,-1.697614530823408907e-02,-1.205569853704430150e-02,4.323335526195440370e-02,4.701996092410487549e-02,2.863462339058453487e-02
2.525906657947818434e-02,4.002730858999901248e-02,4.096306486052634505e-02,-7.891408894525608897e-02,4.091600737215017602e-02,7.143949301422913845e-02
-1.835923704577675786e-02,-1.219005029514321631e-02,-4.396899302803367743e-02,4.612173390279106222e-02,3.437819523041540926e-02,5.058924371540107767e-02
-3.206546489070297157e-02,-2.818464254023816951e-02,-4.054109742308650149e-02,2.179836427401084520e-01,6.245019883781011139e-03,5.887999778289798591e-02
7.797835714121958972e-03,2.750549388278958340e-02,7.165758817437673477e-03,1.377631622022712499e-02,4.418764363897087488e-02,4.878133488611691160e-02
4.764049864662189826e-02,5.567171921703770177e-02,1.063109754372741980e-02,-3.121186384537574798e-02,4.919554894626476660e-02,6.054500470831658543e-02
2.439642121794872304e-02,2.718198994366466392e-02,-3.337698493580273235e-02,3.453288876890366066e-02,4.010052736486402480e-02,5.370005154671186887e-02
-1.349020803129552526e-02,1.153866769975529782e-02,8.065986373329414941e-03,-3.214142207346171176e-02,3.552170282828837067e-02,5.112116144356104730e-02
1.557803227018045300e-02,2.309232537274135549e-02,1.935713670161190100e-02,-4.125527937109746413e-02,5.104656927758743912e-02,5.512158484578211226e-02
2.203422522687914498e-02,2.782814173172459132e-02,1.583945734632474442e-02,-3.487751504849356810e-02,5.290444317501064031e-02,5.879092507841487958e-02
2.042312406123722446e-03,7.970954401236849882e-03,-1.130366164155061776e-02,-2.805929614230817659e-03,4.580073760972047658e-02,5.599606879711460650e-02
4.197998142764863827e-03,1.188604843727371005e-02,8.710062359725455339e-03,-2.799404138877256698e-02,4.918198653980099255e-02,5.558446569542929705e-02
2.777151323038960090e-02,2.872261839349343759e-02,-3.485941272319871553e-02,1.367904893304352359e-02,4.057387433218950790e-02,5.680913233608819723e-02
