# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
9.277122818276751781e-01,2.815387341015972871e-04,5.697628000068047718e-03,4.009916400390750590e-02,2.620938743424108125e-02
7.267629966151744059e-01,1.105080215506263683e-06,5.334845115253344092e-05,3.651422925182920554e-02,2.366683206016310104e-01
5.187330665005942532e-01,3.787454761622880417e-01,3.096946375937432647e-02,1.988541079920629930e-03,6.956345249782595885e-02
3.534682589848159306e-01,5.804167698470056452e-02,3.975426469068113131e-03,1.212172759754961276e-02,5.723929099638622731e-01
7.248990175134033542e-01,8.889929071024453566e-02,1.654417275563766290e-02,2.510610409408804006e-02,1.445514149266290682e-01
6.237305518263698279e-01,4.398078733196539650e-03,2.907091819309486676e-03,2.492827398949009482e-02,3.440360036316321146e-01
6.920183869425702294e-01,1.322534308792046483e-02,4.065648651079537337e-03,2.811512189176164009e-02,2.625754994266684128e-01
5.751261171108764669e-01,4.503496070625528230e-02,9.079184670702449000e-03,1.873529153890512652e-02,3.520244459732621567e-01
6.359872989999338921e-01,2.354309388683175144e-02,9.715670125540908433e-03,2.388394950165851488e-02,3.068699874860369992e-01
6.194949871755240922e-01,6.775924903339834368e-03,4.004542845893922440e-03,2.526932177834818882e-02,3.444552232968948746e-01
6.475181467319236495e-01,1.596755867178362431e-01,1.300475544573751266e-02,1.856191551560657307e-02,1.612395955888937249e-01
5.883504944122412983e-01,6.327088637253189263e-02,1.194141292970161451e-02,2.053772706777976659e-02,3.158994792177413635e-01
6.022706330802023444e-01,3.126890515197051912e-02,1.049960303371625520e-02,2.273413464321525843e-02,3.332267240908974859e-01
6.148169702895125432e-01,2.238454028019791486e-02,7.402916387956632802e-03,2.407308577829255988e-02,3.313224872640387897e-01
5.932899259339533549e-01,3.873228721782222272e-02,1.029382906453737631e-02,2.197189475036029349e-02,3.357120630333254585e-01
6.306795200814765412e-01,5.242034051796313782e-04,3.709570149044684288e-03,2.689600443983060363e-02,3.381907019244728141e-01
