# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
3.623174142182119389e-02,3.411339824663137035e-03,5.335214941074272778e-03,2.457916027734222131e-03,3.770600509188785227e-02
6.545421108991707204e-02,1.105024960114122209e-04,4.900888950052656066e-04,3.787900465561906162e-03,6.831372281026620863e-02
6.685967618859722794e-02,1.192009585521120324e-01,1.970892979417959365e-02,5.360995532321166657e-03,1.269155102993090867e-01
1.314662317014582138e-01,7.167949067155253429e-02,4.683036782828395653e-03,6.789707497668981406e-03,1.409301706749406802e-01
1.058851805894446690e-01,6.401973702537429312e-02,4.728161472797852774e-03,5.395252306502579080e-03,9.843467434625366441e-02
6.711218326172833926e-02,1.397242408070187118e-02,2.771439076018132001e-03,3.200273760282703120e-03,6.952444894298884237e-02
1.813096094639069511e-01,3.401255255120014948e-02,6.445448931057677459e-03,8.182659693921238292e-03,1.850833143830481475e-01
1.090777084182601442e-01,6.376551906329006036e-02,8.310871695114688956e-03,5.771599083257918442e-03,1.171110406540731008e-01
7.068225209255844799e-02,4.481490671247734259e-02,7.254022215756598078e-03,4.197787136004548468e-03,7.805632964325229239e-02
7.012193149600806641e-02,2.110919993559823640e-02,4.120115426067880345e-03,3.684357616231741499e-03,7.335526882328134712e-02
5.651480585457195616e-02,7.119364535801325777e-02,4.519805600213274051e-03,3.860695674401769598e-03,6.449952789071738968e-02
3.287970488828257515e-02,4.990173589489682593e-02,3.035899198587599813e-03,2.598526718339579534e-03,4.134980655678283101e-02
2.506661436812324464e-02,4.084811892685209084e-02,5.424514450348796521e-03,2.445597957065349156e-03,3.797630677734237237e-02
4.773770028702029738e-02,3.661051716665753714e-02,4.127574848830810501e-03,3.042606877119478394e-03,5.229357804946280913e-02
3.656188091870329199e-02,3.736636288170691600e-02,3.495856365479121236e-03,2.373539816948907859e-03,4.224802095528020635e-02
3.643151296398878386e-02,4.108097959324412234e-03,3.104778117905738436e-03,1.891447586895586693e-03,3.846164456596231490e-02
