# NO3, NO2, NH4, Nstar, TA, DIC
8.144130347145856774e+01,2.979448714091368856e+03,2.740889152837683750e+14,3.857833735030907008e+01,2.895408617842166876e+01,9.159358400796174138e+00
5.259142243763418634e+01,2.029356026709813523e+04,inf,1.003100031204705544e+02,3.544670444386811781e+00,7.313515540595413533e+00
4.193237497808636505e+01,7.663789369309524773e+02,8.708760083164629759e+04,3.241497801987221550e+01,2.837471574676372299e+01,6.591600967857755400e+00
1.552422728975614241e+01,5.770334803849584659e+02,6.768370142026980221e+07,4.216286151880127875e+01,2.733340199741095322e+00,3.219430813329399399e+00
5.279672008936352690e+00,1.700207495728700451e+03,3.380210373978899497e+03,1.495207222314421713e+01,8.182330950615572362e+00,8.330055369942272137e+00
1.760761707021480760e+01,3.248135966831551968e+01,7.372861751127983734e+04,9.561964509878433773e+02,3.662543098862548696e+00,5.567073161760944799e+00
3.255771091513217641e+01,2.171400251968433963e+02,1.485777408035968438e+04,1.703937528215432735e+02,1.339726843764253716e-01,6.436154108563798992e+00
1.621623245005378688e+00,1.742560672250495557e+01,3.802135551557834333e+03,9.604149740977122818e+00,5.171890596991008060e+00,5.562895241920911005e+00
4.672506183551226400e+01,7.471930531821816146e+01,3.845932597419129888e+04,1.077644037991563586e+01,6.453629159520253289e+00,6.719923925432352618e+00
8.482174832327548586e+01,6.794909363236801880e+01,9.280656902123453619e+04,1.046724447106638820e+02,4.265360999313965173e+00,5.854772924853617333e+00
6.039247134688134899e+00,6.497761660086400770e-01,2.987256932062156193e+04,5.814377425161574742e+00,6.284193594473297395e+00,6.313334192268216682e+00
1.876984154168656938e+00,1.112180902342862652e+02,1.128852150566426099e+04,1.072143733901145168e+01,6.597698029481481541e+00,6.495827999500006555e+00
1.568039603368945301e+01,3.500686952797359481e+02,2.695433527572394610e+02,1.175594414928949227e+01,6.704319690419104028e+00,6.646747535386110073e+00
7.604071799397158493e-01,7.418342594562058366e+03,1.602703480452333824e+18,3.545700393771868075e+00,5.483100540189419725e+00,6.295200433251510574e+00
2.304899233744184261e+00,2.354302224366836846e+08,1.716349936998114000e+16,8.107844807362273087e+00,6.284608394709399803e+00,6.453144762983105132e+00
1.211234216896367855e+02,3.941208372730434421e+21,1.224769308678485453e+08,5.001667800738495373e+01,4.286677464428938933e+00,6.121114917776983688e+00
