# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.981076365847086151e+01,1.892363415291342110e-01,9.649202592160258973e+01,3.507974078397291251e+00,4.998534643031300817e+01,5.001465356968699183e+01,2.867620235434725995e+00,9.713237976456539968e+01
9.969542625790185753e+01,3.045737420981382559e-01,9.996015877184758835e+01,3.984122815243628518e-02,5.372956393992043189e+01,4.627043606007951837e+01,2.548982719820496357e+01,7.451017280179479485e+01
4.765407640191718741e+01,5.234592359808283391e+01,1.536287479872881612e+01,8.463712520127116079e+01,5.583195426491949220e+00,9.441680457350810229e+01,7.443638629715770172e+00,9.255636137028447763e+01
5.144882972149820688e+01,4.855117027850178602e+01,7.653570847997070814e+01,2.346429152002887264e+01,4.037645553025058121e+01,5.962354446974950406e+01,5.901329060504880886e+01,4.098670939495102772e+01
7.319579027264606452e+01,2.680420972735361573e+01,7.859706803969133659e+01,2.140293196030854261e+01,4.415479450663189454e+01,5.584520549336817652e+01,1.567093055468630958e+01,8.432906944531382010e+01
9.251069101786799820e+01,7.489308982131984038e+00,9.658912789382362973e+01,3.410872106176277008e+00,4.799154745111784592e+01,5.200845254888215408e+01,3.638512414733494893e+01,6.361487585266523581e+01
8.154920554550095346e+01,1.845079445449908206e+01,9.489385213689968168e+01,5.106147863100184203e+00,4.812260925253455923e+01,5.187739074746539103e+01,2.770789980059036139e+01,7.229210019940941834e+01
7.475091969069256947e+01,2.524908030930738789e+01,8.376888517647292076e+01,1.623111482352713608e+01,4.209126179971427462e+01,5.790873820028568275e+01,3.713502183027566161e+01,6.286497816972448760e+01
8.780678907879470785e+01,1.219321092120535432e+01,8.847459977572303558e+01,1.152540022427669797e+01,4.625501207867758069e+01,5.374498792132246194e+01,3.284031271188770518e+01,6.715968728811228061e+01
9.157104250998092709e+01,8.428957490018881060e+00,9.535406086855876140e+01,4.645939131441227943e+00,4.845307530087741554e+01,5.154692469912261288e+01,3.653596330812288073e+01,6.346403669187719743e+01
5.342835970392534506e+01,4.657164029607466205e+01,7.032527340029999152e+01,2.967472659970000848e+01,3.948124933781522827e+01,6.051875066218499910e+01,1.721947857098608381e+01,8.278052142901395882e+01
7.394967272792098356e+01,2.605032727207914078e+01,8.101597278315676931e+01,1.898402721684352557e+01,4.453413276014516242e+01,5.546586723985499390e+01,3.379833838975482507e+01,6.620166161024573626e+01
8.461757264412771917e+01,1.538242735587200727e+01,8.668155584786342160e+01,1.331844415213637767e+01,4.650880162715634469e+01,5.349119837284369794e+01,3.568814931670107882e+01,6.431185068329870091e+01
8.502653040016271291e+01,1.497346959983730841e+01,9.044220326109054042e+01,9.557796738909775769e+00,4.741433043220925470e+01,5.258566956779076662e+01,3.534199997765105650e+01,6.465800002234874455e+01
8.047325269036701911e+01,1.952674730963302352e+01,8.560507624813784844e+01,1.439492375186226525e+01,4.606014423885425657e+01,5.393985576114582159e+01,3.588081809228738450e+01,6.411918190771280024e+01
9.942087505550644266e+01,5.791249444934847279e-01,9.655870024891277126e+01,3.441299751087462333e+00,4.965690658579380568e+01,5.034309341420617301e+01,3.600815093722351179e+01,6.399184906277673690e+01
