# anmx, denit, nitox, dnrn
1.807760541301493884e+00,1.081818890787978119e-02,4.908912036367037501e+01,4.909230090612035013e+01
2.087526469403086504e-02,4.752874105563979518e-05,5.371883779749914822e+01,4.626023940906571852e+01
1.730441118474901785e+01,2.600689668500905327e+01,4.227091069630485087e+00,5.246160106061126527e+01
3.607683142848837399e+00,7.702753912080604337e+00,3.729073900761449778e+01,5.139882393745596545e+01
6.802334687069722108e+00,4.376537100062344976e+00,3.932289654103628607e+01,4.949823167183168238e+01
1.424211713705323845e+00,2.628165142833210899e-01,4.719813347081940691e+01,5.111483830119232863e+01
1.814285600826684774e+00,8.599169384519004256e-01,4.694562023462545142e+01,5.038017722609603055e+01
4.957683671483294141e+00,3.113157806000739658e+00,3.905965406756663327e+01,5.286950445494937867e+01
4.582707229606196364e+00,1.345301125815109300e+00,4.363093782216866146e+01,5.044105382240989144e+01
1.942365517920186857e+00,4.047972604157071830e-01,4.735258718764525554e+01,5.030025003401890160e+01
6.145556488784248650e+00,8.717549799923444809e+00,3.376407780315599183e+01,5.137281590813650212e+01
6.057350815899301466e+00,3.705668039175892936e+00,4.024595909357183388e+01,4.999102205135302768e+01
5.146607238550804375e+00,1.777573328004398379e+00,4.336134399405061401e+01,4.971447543939410707e+01
3.584538558808952224e+00,1.292494717219335953e+00,4.515476217145530313e+01,4.996820455251653925e+01
5.173361958144010231e+00,2.240043071944889608e+00,4.268957164422338479e+01,4.989702332568771226e+01
1.737323013238196934e+00,2.867093044176955915e-02,4.879046388126245404e+01,4.944354217505760118e+01
