# anmx, denit, nitox, dnrn
1.692953299943002587e+00,1.325350125474582530e-01,1.816685512940155789e+00,9.098930851507652795e-01
1.916277561725630019e-01,4.752636455917150574e-03,1.811689204423938548e+00,1.782808522328874989e+00
9.831450139228467222e+00,9.366934593046972068e+00,1.086327205177490463e+01,7.788236617901041825e+00
4.945572703088652489e+00,1.093949779988739124e+01,1.414868596807524881e+01,5.401121461803822577e+00
1.809324597123490586e+00,3.578190768463354043e+00,4.035770147642834260e+00,8.834348154799266384e-01
1.351331021848057867e+00,8.580226136787841851e-01,2.013758280539770240e+00,1.030104942546680835e+00
3.103799115199170178e+00,2.639364505912167758e+00,4.496291448402233826e+00,1.933098407540321251e+00
4.520598732219522020e+00,4.819907935468905613e+00,7.426053633036459267e+00,2.630673669186829322e+00
3.370967642741182324e+00,2.670595240687820393e+00,4.712060100109649596e+00,1.740850576788478321e+00
1.988118204617128848e+00,1.293861307112724512e+00,2.992577875314897273e+00,1.500547594888671510e+00
1.992670044618339853e+00,4.401526852456418837e+00,4.685395391254616904e+00,1.152389571787029610e+00
1.407467805054747778e+00,3.066794669113607430e+00,3.224917485155799124e+00,9.023726521272789070e-01
2.570785068591041611e+00,2.375043855074825405e+00,3.663561171594243770e+00,1.124517530975510882e+00
1.952795831350682576e+00,2.181335397886377425e+00,3.262453967126158538e+00,1.161849640957497432e+00
1.681813262721575830e+00,2.223632347440422485e+00,2.829184255758967037e+00,7.859491788973171911e-01
1.445790062874960480e+00,2.255674367294702720e-01,1.641864103007465658e+00,8.207213682367930918e-01
