# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
1.974572408332017970e+00,1.974572408332018636e+00,3.280485385914119423e+00,3.280485385914146956e+00,1.181907205387113358e+00,1.181907205387112914e+00,4.110929336411271784e+00,4.110929336411307311e+00
4.403171510912736508e+00,4.403171510912737396e+00,3.644855164052251406e-01,3.644855164052228647e-01,1.794744191499250130e+00,1.794744191499251018e+00,7.210063516779787740e+00,7.210063516779793069e+00
2.381429287730428612e+01,2.381429287730428612e+01,1.958179384763113617e+01,1.958179384763113617e+01,1.335906888481052235e+01,1.335906888481053123e+01,1.360312998890483982e+01,1.360312998890491976e+01
4.003675607956441951e+01,4.003675607956441951e+01,2.655770220059371667e+01,2.655770220059375930e+01,1.352557035114810269e+01,1.352557035114804762e+01,1.398362461931886713e+01,1.398362461931886180e+01
1.763845934625585699e+01,1.763845934625590672e+01,7.653291715446355781e+00,7.653291715446358445e+00,2.786839549770506519e+00,2.786839549770503854e+00,1.056483114459761197e+01,1.056483114459755868e+01
1.974030433526190009e+01,1.974030433526190720e+01,3.442129071874333590e+00,3.442129071874348689e+00,1.417838779593433074e+00,1.417838779593433518e+00,7.119816062901391795e+00,7.119816062901393572e+00
2.824261083858532473e+01,2.824261083858531407e+01,8.973110352724081196e+00,8.973110352724118499e+00,3.130778121554796734e+00,3.130778121554796734e+00,1.912006716213006285e+01,1.912006716213006641e+01
2.856621134227378178e+01,2.856621134227378178e+01,1.550661118187063714e+01,1.550661118187062115e+01,5.595143833040156167e+00,5.595143833040157055e+00,1.194291941705514759e+01,1.194291941705515647e+01
2.094831729983581781e+01,2.094831729983578938e+01,9.174139685321051729e+00,9.174139685320954030e+00,3.085174790570679448e+00,3.085174790570677672e+00,8.112981605184884870e+00,8.112981605184886646e+00
2.093347357943070719e+01,2.093347357943074627e+01,5.048090741126749492e+00,5.048090741126753933e+00,2.112589458405883303e+00,2.112589458405881970e+00,7.532909965045990752e+00,7.532909965045990752e+00
1.748243810172084878e+01,1.748243810172085233e+01,9.007088030691415170e+00,9.007088030691418723e+00,3.653757693248155913e+00,3.653757693248149696e+00,6.901317799973528011e+00,6.901317799973531564e+00
1.861660014715724287e+01,1.861660014715722156e+01,5.841722572271744518e+00,5.841722572271741853e+00,2.248090116865943511e+00,2.248090116865942178e+00,4.503284748829211814e+00,4.503284748829227802e+00
1.895243882694067139e+01,1.895243882694074244e+01,7.354272506804000464e+00,7.354272506804010234e+00,2.196627534105664470e+00,2.196627534105665358e+00,3.973683282142963957e+00,3.973683282142952411e+00
2.294054105628975293e+01,2.294054105628974227e+01,5.884668355738807755e+00,5.884668355738789991e+00,2.151232438098194422e+00,2.151232438098193089e+00,5.455415549256646734e+00,5.455415549256646734e+00
1.777975645441702213e+01,1.777975645441701147e+01,5.532786548650798331e+00,5.532786548650793002e+00,1.739280659326831957e+00,1.739280659326829737e+00,4.449085982000824835e+00,4.449085982000827499e+00
4.160240860500906024e+00,4.160240860500915794e+00,2.898418238668345026e+00,2.898418238668329483e+00,1.088519438657008287e+00,1.088519438657008287e+00,3.946322168988648738e+00,3.946322168988647849e+00
