# NO3, NO2, NH4, Nstar, TA, DIC
7.714969652792673382e-02,6.748812401102190217e-02,-8.827740280413461094e-02,2.894374581000787316e-02,-4.157199012528725590e-02,9.159358400796213662e-02
2.630115433864749219e-01,2.364134511893049573e-01,-1.092152509959141843e-01,3.143408632642656908e-01,2.117467283129870204e-02,7.313515540595361131e-02
-6.176482482409988428e-01,-6.084918238036121640e-02,1.459073948153974676e-01,-5.122648068912056818e-01,3.077122555345008781e-01,6.591600967857691451e-02
-2.465926778114213569e-02,-1.760574368268973122e-02,-2.597406691019554792e-02,4.438882953742470661e-02,3.600166082662159539e-02,3.219430813329582364e-02
1.200361048437692535e-02,3.142194962172682043e-02,2.840595458780940941e-02,-7.372241100155640936e-02,4.685698416169825631e-02,8.330055369942035437e-02
-1.814884875206330961e-02,-1.290430930230370560e-02,-6.829087238644512836e-02,5.316107110103511502e-02,2.978132901903729479e-02,5.567073161760993649e-02
-3.407828870959953016e-02,-2.965503352764714551e-02,-6.902649025281973327e-02,2.216162541001380215e-01,-8.607239076059425287e-04,6.436154108563496568e-02
4.092639599728165045e-03,2.403364154302448097e-02,-1.078665163395199113e-02,1.972657395825824778e-02,4.654986016569917506e-02,5.562895241920884359e-02
4.394029251884989939e-02,5.398433442735692256e-02,-1.119748516929907484e-02,-2.512715932175443867e-02,5.106726526956051337e-02,6.719923925431825484e-02
2.637620174667010958e-02,2.550952170946135800e-02,-5.818885848800748467e-02,4.185669043530652889e-02,3.507722382935585248e-02,5.854772924853945959e-02
-2.557230572550650560e-02,4.365035784461429591e-04,-3.626471587129311783e-03,-2.773969212596116840e-02,4.371822829989346904e-02,6.313334192268160727e-02
3.521730481702511906e-03,1.754581475293164744e-02,1.029261841117707320e-02,-3.620440319667561635e-02,5.725460339508281482e-02,6.495827999500236594e-02
1.646902554936624519e-02,2.190038205564564383e-02,-2.809503281116597752e-04,-3.098644950191101199e-02,5.746774080322303302e-02,6.646747535386110517e-02
7.064549421120641659e-04,3.486980216839462385e-03,-2.888144720308028629e-02,5.631072285057159288e-03,4.548173881376393890e-02,6.295200433251613159e-02
-3.289406287287161001e-03,5.798770359584103778e-03,-1.818379317954936644e-03,-2.107021699222957900e-02,5.461256207162845655e-02,6.453144762983342719e-02
3.090944625529732509e-02,2.903214456116964826e-02,-6.155238176517616872e-02,2.272049269557739615e-02,3.435478494251142934e-02,6.121114917777137343e-02
