# DNRN, Denitrification, Anammox, Nitrite Oxidation, CaCO3 Dissolution 
7.842773988340617786e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.643455621115023760e-02,1.892880449547878763e-01
6.616324478198228887e-01,1.431002619474612721e-02,0.000000000000000000e+00,2.189840731839961391e-02,3.021591186670314344e-01
6.036380711309157210e-01,0.000000000000000000e+00,8.873618039977017790e-04,1.981950991125376593e-02,3.756550571538327388e-01
7.015487990560710374e-01,0.000000000000000000e+00,1.282763671939448876e-03,2.394384373650650100e-02,2.732245935354831179e-01
7.065553077051717201e-01,0.000000000000000000e+00,5.971165285304438913e-05,2.426624188800225942e-02,2.691187387539728526e-01
6.658243567643317151e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.227471788167838598e-02,3.119009253539899440e-01
6.618467500433365958e-01,2.880163773412296267e-03,0.000000000000000000e+00,2.255421985601399615e-02,3.127188663272370550e-01
6.557778645377676519e-01,6.719702692843877896e-03,0.000000000000000000e+00,2.188325895362101120e-02,3.156191738157674287e-01
6.725658374362896152e-01,9.874177445408929832e-03,0.000000000000000000e+00,2.277580672664394901e-02,2.947841783916573810e-01
6.465104510629990919e-01,0.000000000000000000e+00,1.319539620675665918e-04,2.179430782022548710e-02,3.315632871547077865e-01
6.655028693462643474e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.214724551855130896e-02,3.123498851351841910e-01
7.164690795844130822e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.375959250397882000e-02,2.597713279116081742e-01
7.070370328390044312e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.404065300487854065e-02,2.689223141561168928e-01
7.498502243420548385e-01,1.458702340025955918e-02,0.000000000000000000e+00,2.438749589297053988e-02,2.111752563647150138e-01
6.502950040574868584e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.149335526343143510e-02,3.282116406790815955e-01
6.683456791746623660e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.264667074726434137e-02,3.090076500780732371e-01
6.636607544834701722e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.253515485437236621e-02,3.138040906621575310e-01
6.566327899940633817e-01,5.506636968144555493e-03,0.000000000000000000e+00,2.158919387048036792e-02,3.162713791673116281e-01
6.731757391858134154e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.263008678533365292e-02,3.041941740288530704e-01
6.885064593488496865e-01,0.000000000000000000e+00,7.708774442275550219e-04,2.294448355942977497e-02,2.877781796474929155e-01
5.816932423236447214e-01,1.681139387725963429e-03,2.009328234175472745e-04,1.938890024725585179e-02,3.970357852179560720e-01
7.207251935824181555e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.425698160648308288e-02,2.550178248110988033e-01
6.206701349950842772e-01,4.248332199934812801e-04,0.000000000000000000e+00,2.087025559091086613e-02,3.580347761940113616e-01
6.983958033439154889e-01,0.000000000000000000e+00,1.641043465991135018e-03,2.320650064519851410e-02,2.767566525448947878e-01
6.702013029310136538e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.267864203657702499e-02,3.071200550324094669e-01
7.125532026699793464e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.418738928848748054e-02,2.632594080415330273e-01
6.506275427449031978e-01,0.000000000000000000e+00,7.603960598437066931e-04,2.194304998465823955e-02,3.266690112105948840e-01
6.824320704195273590e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.297895428664942577e-02,2.945889752938232742e-01
5.867976123600847638e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.986968223595822480e-02,3.933327054039569282e-01
7.023657419830703352e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.389372845919625690e-02,2.737405295577334252e-01
6.363326501764798859e-01,0.000000000000000000e+00,1.601770138060840945e-03,2.120987453912708681e-02,3.408557051463322329e-01
7.080372162638001177e-01,0.000000000000000000e+00,5.382910458375608656e-05,2.378856952039193687e-02,2.681203851112241021e-01
7.163096710442058423e-01,7.938259262809622616e-03,1.303911981140700197e-03,2.365867764519435229e-02,2.507894800666494173e-01
6.765956295072682591e-01,2.419522147182417288e-02,0.000000000000000000e+00,2.236707650726256491e-02,2.768420725136449545e-01
7.419784182230009240e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.525824858127010200e-02,2.327633331957288942e-01
6.704147566153279003e-01,0.000000000000000000e+00,3.394248908883324063e-04,2.258898420223034303e-02,3.066568342915533263e-01
6.587795066655769416e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.181512177859446303e-02,3.194053715558287654e-01
6.749326389643089952e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.345131531547742579e-02,3.016160457202136103e-01
7.539549128880952411e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.542286164656469560e-02,2.206222254653401049e-01
7.361193872808241556e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.493561010287745003e-02,2.389450026162983354e-01
7.606325558145909937e-01,0.000000000000000000e+00,4.689312168538215886e-04,2.574673440663573579e-02,2.131517785619194416e-01
6.503719595188701685e-01,0.000000000000000000e+00,2.401355426533657281e-04,2.196958817250842938e-02,3.274183167659679428e-01
6.357565713905317661e-01,0.000000000000000000e+00,9.936934305868826926e-04,2.158787848222169098e-02,3.416618566966597159e-01
7.135883747921692999e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.399020982467919144e-02,2.624214153831515572e-01
7.585514183389625575e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.597197801514481222e-02,2.154766036458927447e-01
6.683399503247958728e-01,0.000000000000000000e+00,1.121566836784333287e-03,2.221516326957290871e-02,3.083233195688468431e-01
6.513833091058477409e-01,0.000000000000000000e+00,2.134809125779694484e-03,2.158471422163585340e-02,3.248971675467366982e-01
7.572488421033872763e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.564714553799168906e-02,2.171040123586210624e-01
6.691043712250450692e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.269791791863913152e-02,3.081977108563157541e-01
6.619247835642980693e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.229872600505367758e-02,3.157764904306482046e-01
6.115013057526869078e-01,0.000000000000000000e+00,9.128717048916872240e-04,2.051434892174246183e-02,3.670714736206789897e-01
7.001119799159805090e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.317748221206475390e-02,2.767105378719547093e-01
6.504669622283301145e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.184868473122125038e-02,3.276843530404486837e-01
7.322193148067668300e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.456611519033185045e-02,2.432145700029013646e-01
6.858128277176122056e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.281822403349683184e-02,2.913689482488909244e-01
6.867988935073198187e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.314668151398211610e-02,2.900544249786982109e-01
5.880381394511152715e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.984325831663822856e-02,3.921186022322464826e-01
6.825435986262771149e-01,0.000000000000000000e+00,4.407111142328237643e-04,2.323368389903053208e-02,2.937820063604594245e-01
6.588878031191747198e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.180067364232109173e-02,3.193115232385041469e-01
6.848119584380825131e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.253125463393314265e-02,2.926567869279844136e-01
7.387257562117207632e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.533343882852816600e-02,2.359408049597510881e-01
6.791175412052528060e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.300065659995807407e-02,2.978818021947890471e-01
6.700145401167266757e-01,0.000000000000000000e+00,9.373277738823788128e-04,2.205297432973490554e-02,3.069951577796560249e-01
5.931790242464841656e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.991875788019681695e-02,3.869022178733190209e-01
6.776509462939283024e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.305351521514962046e-02,2.992955384909222194e-01
7.380296680281908106e-01,0.000000000000000000e+00,2.216804605541224050e-04,2.506890438367017845e-02,2.366797471275848552e-01
7.204779416768365419e-01,8.058259885147482995e-03,0.000000000000000000e+00,2.450410528715070424e-02,2.469596931508652449e-01
7.111435793522452586e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.395201117247652833e-02,2.649044094752782130e-01
6.420603110623650522e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.117357659902351780e-02,3.367661123386113120e-01
7.129488023213591541e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.429466821717218838e-02,2.627565294614685465e-01
7.099784880366023510e-01,0.000000000000000000e+00,6.563945207651329791e-04,2.414044191084284072e-02,2.652246755317897997e-01
6.935343590600150376e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.346050252914120768e-02,2.830051384108437373e-01
6.544397982815476356e-01,8.607080764603815617e-03,1.614984491284153576e-04,2.204230425217863429e-02,3.147493182525413769e-01
7.175657788871706577e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.420867405207449696e-02,2.582255470607547898e-01
6.049444505837958674e-01,0.000000000000000000e+00,6.987692379846331030e-05,2.050067816742536658e-02,3.744849943249802804e-01
6.974644531707097084e-01,3.378885119458138568e-03,0.000000000000000000e+00,2.342002239419672255e-02,2.757366393156354678e-01
6.808925796526305030e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.321705066907369178e-02,2.958903696782958503e-01
6.038388293628982328e-01,0.000000000000000000e+00,6.043102260166251672e-04,1.996195733094491623e-02,3.755949030801403188e-01
6.831221121642055971e-01,0.000000000000000000e+00,3.068863891407484627e-04,2.293714177776949234e-02,2.936338596688840008e-01
6.145042308778619899e-01,2.542571579685805739e-04,0.000000000000000000e+00,2.086065294999552011e-02,3.643808590141739967e-01
7.699828401642958564e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.663092108507831429e-02,2.033862387506258917e-01
6.708961953411174406e-01,0.000000000000000000e+00,5.959460708265469685e-04,2.284135759972188637e-02,3.056665009883340334e-01
6.889326845178015413e-01,0.000000000000000000e+00,3.661868139998201922e-04,2.283799999277889153e-02,2.878631286754197993e-01
6.638286869196214912e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.231181331112786978e-02,3.138594997692506494e-01
7.883079338757710275e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.658290670018487178e-02,1.851091594240441562e-01
7.096690572987159884e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.399513726625351548e-02,2.663358054350304926e-01
6.228169341670846126e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.121342007045123532e-02,3.559696457624640931e-01
6.338322961131125366e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.104306589736864089e-02,3.451246379895188676e-01
7.037325013423203490e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.382987484798275435e-02,2.724376238096969383e-01
7.538704441353144547e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.595229799623690811e-02,2.201772578684487169e-01
7.072472455745151265e-01,2.733418656186455803e-04,0.000000000000000000e+00,2.395980991274064553e-02,2.685196026471256547e-01
5.301380615840558530e-01,8.665167720819981706e-04,4.597346574826786524e-04,1.722790748754753076e-02,4.513077794988319402e-01
7.206764061585976266e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.457829167861822969e-02,2.547453021627842928e-01
6.034415339756312724e-01,4.596530199655050018e-03,0.000000000000000000e+00,2.017565773088053627e-02,3.717862780938330780e-01
7.269234973237359565e-01,5.603581852539756512e-03,7.019324438419964141e-04,2.465959662056710702e-02,2.421113917593151754e-01
6.203079157487474404e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.089260073891207464e-02,3.587994835123404780e-01
6.315609923573741735e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.112994274004541262e-02,3.473090649025803445e-01
7.562308784889034685e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.547183334342753916e-02,2.182972881676689958e-01
5.404642125653269513e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.809424119616459548e-02,4.414415462385084532e-01
5.920212477775731452e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.961676537037541218e-02,3.883619868520514773e-01
6.481483761205530936e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.115783888534145118e-02,3.306937849941053997e-01
6.537679973823945501e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.196664407076868303e-02,3.242653585468366906e-01
6.519241129801761625e-01,0.000000000000000000e+00,4.773752653724804896e-04,2.161874383303260053e-02,3.259797679214186950e-01
7.224664180436440875e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.426768113643967134e-02,2.532659008199161788e-01
5.984053026303535194e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.023985145086350246e-02,3.813548459187829365e-01
7.106219915352456340e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.426482694575595248e-02,2.651131815189983199e-01
7.208674627340170282e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.409535001804273546e-02,2.550371872479402779e-01
7.387729439945378562e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.513747133036727671e-02,2.360895846750948601e-01
7.201361406370118123e-01,7.840742537601405604e-03,0.000000000000000000e+00,2.337733523049022322e-02,2.486457815948965033e-01
5.971875336037861803e-01,3.504983887066775213e-03,0.000000000000000000e+00,1.969628411394436576e-02,3.796111983952025759e-01
6.779169044000407096e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.261422788681477503e-02,2.994688677131445154e-01
6.730759117556462945e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.282473612851314629e-02,3.040993521158405488e-01
6.680895298573558128e-01,0.000000000000000000e+00,2.621524806191315496e-04,2.250589427057668110e-02,3.091424233914484287e-01
6.560431553133309057e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.223760004602570034e-02,3.217192446406433315e-01
6.370545948902097688e-01,0.000000000000000000e+00,4.757467771184745869e-04,2.161787119318966596e-02,3.408517871394821097e-01
6.910832778844124835e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.326540207148779585e-02,2.856513200440997102e-01
7.193728438634392486e-01,1.090080304814848924e-02,0.000000000000000000e+00,2.390055263442279060e-02,2.458258004539895514e-01
