# DNRN, Denitrification, Anammox, Nitrite Oxidation, CaCO3 Dissolution 
9.526627270218933630e-01,0.000000000000000000e+00,2.301032258350019580e-02,2.432695039460633368e-02,0.000000000000000000e+00
8.414255976618865152e-01,1.361174470892470012e-01,2.133268937735890037e-03,2.032368631113059751e-02,0.000000000000000000e+00
9.575952976835260255e-01,0.000000000000000000e+00,1.561062574717623705e-02,2.679407656929781723e-02,0.000000000000000000e+00
9.458747833891281154e-01,0.000000000000000000e+00,2.710854963332292450e-02,2.701666697754909544e-02,0.000000000000000000e+00
9.491038389880812609e-01,0.000000000000000000e+00,2.962926080791679351e-02,2.126690020400190742e-02,0.000000000000000000e+00
9.581748370607211518e-01,3.242865980033415255e-03,1.162788199564988682e-02,2.695441496359560554e-02,0.000000000000000000e+00
9.565407322667744960e-01,0.000000000000000000e+00,1.429291912817622252e-02,2.916634860504945317e-02,0.000000000000000000e+00
9.495910005608662052e-01,0.000000000000000000e+00,2.393634934590458188e-02,2.647265009322930310e-02,0.000000000000000000e+00
9.260112421975525976e-01,3.495560386448154366e-02,1.307893928474042691e-02,2.595421465322546653e-02,0.000000000000000000e+00
9.610258005246382629e-01,0.000000000000000000e+00,1.094530678534690916e-02,2.802889269001473949e-02,0.000000000000000000e+00
9.686734912063763581e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.132650879362353091e-02,0.000000000000000000e+00
9.610979417440985717e-01,0.000000000000000000e+00,1.058851087541594176e-02,2.831354738048557154e-02,0.000000000000000000e+00
9.536349052769474977e-01,0.000000000000000000e+00,1.755775790888289972e-02,2.880733681416959568e-02,0.000000000000000000e+00
8.694086775068469164e-01,9.596588787289524192e-02,1.418504836269052043e-02,2.044038625756729871e-02,0.000000000000000000e+00
8.880177670735118767e-01,7.729681982352787362e-02,1.303303863113198895e-02,2.165237447182820005e-02,0.000000000000000000e+00
9.647309038782759805e-01,0.000000000000000000e+00,1.028061048240117535e-02,2.498848563932289796e-02,0.000000000000000000e+00
9.576419888779672540e-01,0.000000000000000000e+00,1.339810203887440397e-02,2.895990908315818416e-02,0.000000000000000000e+00
9.603112120454588840e-01,0.000000000000000000e+00,7.923847591095104642e-03,3.176494036344588295e-02,0.000000000000000000e+00
8.933634468374733739e-01,7.511403035241530357e-02,5.596824901515823174e-03,2.592569790859543949e-02,0.000000000000000000e+00
9.445706446865179684e-01,0.000000000000000000e+00,2.810959667898996553e-02,2.731975863449205566e-02,0.000000000000000000e+00
9.213948907477029771e-01,0.000000000000000000e+00,2.865005910148547136e-02,2.514606777437324026e-02,2.480898237643820031e-02
9.434620626927485709e-01,0.000000000000000000e+00,3.333918957410990369e-02,2.319874773314152885e-02,0.000000000000000000e+00
9.379084878193153507e-01,0.000000000000000000e+00,1.569365462263524330e-02,2.875952203055432560e-02,1.763833552749505956e-02
9.598131186045640861e-01,0.000000000000000000e+00,1.311934658903167461e-02,2.706753480640426354e-02,0.000000000000000000e+00
9.270593786854688378e-01,0.000000000000000000e+00,2.898566922285037914e-02,2.561726175126890007e-02,1.833769034041180662e-02
9.467311276738425985e-01,0.000000000000000000e+00,2.727700994672119933e-02,2.599186237943623343e-02,0.000000000000000000e+00
9.566472981911214868e-01,0.000000000000000000e+00,1.296731541788076307e-02,3.038538639099780392e-02,0.000000000000000000e+00
9.536689484635415548e-01,0.000000000000000000e+00,1.694600244096185204e-02,2.938504909549666949e-02,0.000000000000000000e+00
9.276531489320646306e-01,0.000000000000000000e+00,2.432006346248425516e-02,2.522825631963138138e-02,2.279853128581963220e-02
9.349938285922524406e-01,0.000000000000000000e+00,2.780278325397438424e-02,2.575787965447605063e-02,1.144550849929707424e-02
9.232304058827425219e-01,3.666925140844239789e-02,1.528836889566963751e-02,2.481197381314527786e-02,0.000000000000000000e+00
