# DNRN, Denitrification, Anammox, Nitrite Oxidation, CaCO3 Dissolution 
9.573048787660510817e-01,0.000000000000000000e+00,1.227234469931198606e-02,3.042277653463697218e-02,0.000000000000000000e+00
9.611793521231243309e-01,0.000000000000000000e+00,9.791025832829869380e-03,2.902962204404569910e-02,0.000000000000000000e+00
9.287940710298159264e-01,2.981790884682319204e-02,1.418521385446100229e-02,2.720280626889979778e-02,0.000000000000000000e+00
8.536498975223950625e-01,1.171549555014328725e-01,3.824077313785033492e-03,2.537106966238715511e-02,0.000000000000000000e+00
9.537884931567439661e-01,0.000000000000000000e+00,1.837155034595885222e-02,2.783995649729709837e-02,0.000000000000000000e+00
9.597721165777559627e-01,0.000000000000000000e+00,1.119873349573498496e-02,2.902914992650907494e-02,0.000000000000000000e+00
9.079420032553185971e-01,5.251943331709542362e-02,1.198875832479854610e-02,2.754980510278736208e-02,0.000000000000000000e+00
8.537146543902585094e-01,1.102387020019254815e-01,1.119751963397916210e-02,2.484912397383695973e-02,0.000000000000000000e+00
9.571470989921044836e-01,0.000000000000000000e+00,1.415916002124561340e-02,2.869374098664992379e-02,0.000000000000000000e+00
9.563225891287223668e-01,0.000000000000000000e+00,1.563817734953752009e-02,2.803923352173995701e-02,0.000000000000000000e+00
9.053712862095369962e-01,0.000000000000000000e+00,1.519889147544460813e-02,2.751036659657606770e-02,5.191945571844245461e-02
9.547977448201835360e-01,0.000000000000000000e+00,1.670947767663998398e-02,2.849277750317656330e-02,0.000000000000000000e+00
9.548807681010034187e-01,0.000000000000000000e+00,1.655436608520532982e-02,2.856486581379144921e-02,0.000000000000000000e+00
9.073497223595770045e-01,4.862133528089388618e-02,1.626201958767579947e-02,2.776692277185331334e-02,0.000000000000000000e+00
9.568674372026045871e-01,0.000000000000000000e+00,1.422901896442913851e-02,2.890354383296620325e-02,0.000000000000000000e+00
8.821377089184592180e-01,8.588792978811929379e-02,4.510228390906963723e-03,2.746413290251446468e-02,0.000000000000000000e+00
9.561515959964335121e-01,0.000000000000000000e+00,1.330509161069416170e-02,3.054331239287225511e-02,0.000000000000000000e+00
9.122508660540094017e-01,4.847745778127001554e-02,1.236519425325667033e-02,2.690648191146384136e-02,0.000000000000000000e+00
9.448678630328853911e-01,1.102727130023577022e-02,1.452304378554976523e-02,2.958182188132912546e-02,0.000000000000000000e+00
9.438177965049694418e-01,0.000000000000000000e+00,1.033422173359994575e-02,2.951090721173237411e-02,1.633707454969838060e-02
9.570832174280128335e-01,0.000000000000000000e+00,1.262829899278056049e-02,3.028848357920666673e-02,0.000000000000000000e+00
9.539736891327665891e-01,0.000000000000000000e+00,1.714981799779963581e-02,2.887649286943380980e-02,0.000000000000000000e+00
9.552723170389263441e-01,0.000000000000000000e+00,1.635138974662444372e-02,2.837629321444923303e-02,0.000000000000000000e+00
9.629932563781742338e-01,0.000000000000000000e+00,5.290857061619808586e-03,3.171588656020597752e-02,0.000000000000000000e+00
9.118945238931381869e-01,5.135237026606948030e-02,1.036934098445689220e-02,2.638376485633561405e-02,0.000000000000000000e+00
9.610170860327903464e-01,0.000000000000000000e+00,9.875391642229711109e-03,2.910752232497985231e-02,0.000000000000000000e+00
