# DNRN, Denitrification, Anammox, Nitrite Oxidation, CaCO3 Dissolution 
9.533907558446571562e-01,0.000000000000000000e+00,1.672833306663676703e-02,2.988091108870606985e-02,0.000000000000000000e+00
9.555975818943664990e-01,0.000000000000000000e+00,1.562000396370328073e-02,2.878241414193000169e-02,0.000000000000000000e+00
9.518551350829587143e-01,0.000000000000000000e+00,1.928706344930290750e-02,2.885780146773843716e-02,0.000000000000000000e+00
9.537214871293692164e-01,0.000000000000000000e+00,1.609099818696282935e-02,3.018751468366809992e-02,0.000000000000000000e+00
9.529744559260702186e-01,0.000000000000000000e+00,1.721266627600390869e-02,2.981287779792584844e-02,0.000000000000000000e+00
9.543939934960518068e-01,0.000000000000000000e+00,1.647826695637268080e-02,2.912773954757558528e-02,0.000000000000000000e+00
9.502022516553600973e-01,0.000000000000000000e+00,2.196796229437451495e-02,2.782978605026537738e-02,0.000000000000000000e+00
9.502377297075829121e-01,0.000000000000000000e+00,2.070500888459961622e-02,2.905726140781739880e-02,0.000000000000000000e+00
9.561371284413439087e-01,0.000000000000000000e+00,1.400390031552092331e-02,2.985897124313505874e-02,0.000000000000000000e+00
9.576076910834956379e-01,0.000000000000000000e+00,1.216646022970305045e-02,3.022584868680129599e-02,0.000000000000000000e+00
9.570538443956460029e-01,0.000000000000000000e+00,1.432137897542899545e-02,2.862477662892509017e-02,0.000000000000000000e+00
9.554148816930273513e-01,0.000000000000000000e+00,1.486098569670361337e-02,2.972413261026903009e-02,0.000000000000000000e+00
9.587254620253288229e-01,0.000000000000000000e+00,9.949775886552618756e-03,3.132476208811876134e-02,0.000000000000000000e+00
9.530803014468381962e-01,0.000000000000000000e+00,1.717857111830932079e-02,2.974112743485245874e-02,0.000000000000000000e+00
9.556147205091602981e-01,0.000000000000000000e+00,1.548918273287094166e-02,2.889609675796884353e-02,0.000000000000000000e+00
9.560313999406566676e-01,0.000000000000000000e+00,1.519927130813968422e-02,2.876932875120347816e-02,0.000000000000000000e+00
9.537530191080688668e-01,0.000000000000000000e+00,1.707493074984995501e-02,2.917205014208113997e-02,0.000000000000000000e+00
9.584884809710453313e-01,0.000000000000000000e+00,1.165889234220407987e-02,2.985262668675062181e-02,0.000000000000000000e+00
9.593917101255673430e-01,0.000000000000000000e+00,1.036962892390314375e-02,3.023866095052939879e-02,0.000000000000000000e+00
9.540260685384986949e-01,0.000000000000000000e+00,1.667244408480123355e-02,2.930148737669993966e-02,0.000000000000000000e+00
9.556536369795745056e-01,0.000000000000000000e+00,1.545348746736672704e-02,2.889287555305872571e-02,0.000000000000000000e+00
9.515753959244904747e-01,0.000000000000000000e+00,1.905985408808098802e-02,2.936474998742858236e-02,0.000000000000000000e+00
9.550389095152684860e-01,0.000000000000000000e+00,1.481832847289693035e-02,3.014276201183465828e-02,0.000000000000000000e+00
9.558932100515447061e-01,0.000000000000000000e+00,1.344791299395391333e-02,3.065887695450133718e-02,0.000000000000000000e+00
9.562421949406624266e-01,0.000000000000000000e+00,1.446139230796578655e-02,2.929641275137180589e-02,0.000000000000000000e+00
9.514213537342045557e-01,0.000000000000000000e+00,1.883912116379796511e-02,2.973952510199754859e-02,0.000000000000000000e+00
9.526352591189143348e-01,0.000000000000000000e+00,1.737850921447694000e-02,2.998623166660883618e-02,0.000000000000000000e+00
9.563923462483417959e-01,0.000000000000000000e+00,1.302812347480684571e-02,3.057953027685142086e-02,0.000000000000000000e+00
9.562112233796432603e-01,0.000000000000000000e+00,1.512262301383299895e-02,2.866615360652369562e-02,0.000000000000000000e+00
9.592991979018855586e-01,0.000000000000000000e+00,9.282836207000480164e-03,3.141796589111413990e-02,0.000000000000000000e+00
9.170374234363241062e-01,4.019110501660445173e-02,1.508244772341847673e-02,2.768902382365301396e-02,0.000000000000000000e+00
9.598901527419678725e-01,0.000000000000000000e+00,1.008914700135334248e-02,3.002070025667883529e-02,0.000000000000000000e+00
9.548812500281634863e-01,0.000000000000000000e+00,1.526515071886958876e-02,2.985359925296702729e-02,0.000000000000000000e+00
9.535592593715049858e-01,0.000000000000000000e+00,1.686366981263123441e-02,2.957707081586383527e-02,0.000000000000000000e+00
9.506204433713159041e-01,0.000000000000000000e+00,2.142637042367992462e-02,2.795318620500417822e-02,0.000000000000000000e+00
9.559598782338062373e-01,0.000000000000000000e+00,1.551071466257760052e-02,2.852940710361616741e-02,0.000000000000000000e+00
9.530870242096811662e-01,0.000000000000000000e+00,1.866051405220378601e-02,2.825246173811519004e-02,0.000000000000000000e+00
9.566534316324756260e-01,0.000000000000000000e+00,1.284593896620313778e-02,3.050062940132117206e-02,0.000000000000000000e+00
9.537950197799105467e-01,0.000000000000000000e+00,1.662968067820315074e-02,2.957529954188622273e-02,0.000000000000000000e+00
9.540303163120047447e-01,0.000000000000000000e+00,1.718591838372209718e-02,2.878376530427321014e-02,0.000000000000000000e+00
9.603856222031303957e-01,0.000000000000000000e+00,1.065687719468933793e-02,2.895750060218039296e-02,0.000000000000000000e+00
9.575266981569126035e-01,0.000000000000000000e+00,1.277470077917998784e-02,2.969860106390749196e-02,0.000000000000000000e+00
9.576007007935708470e-01,0.000000000000000000e+00,1.252508872154246139e-02,2.987421048488680952e-02,0.000000000000000000e+00
9.564659079952592124e-01,0.000000000000000000e+00,1.374452445586916462e-02,2.978956754887167324e-02,0.000000000000000000e+00
9.538170221857896758e-01,0.000000000000000000e+00,1.699287018512707359e-02,2.919010762908327491e-02,0.000000000000000000e+00
9.558498745020916898e-01,0.000000000000000000e+00,1.435261103323184385e-02,2.979751446467644727e-02,0.000000000000000000e+00
9.573676533443503667e-01,0.000000000000000000e+00,1.466495879687445235e-02,2.796738785877535272e-02,0.000000000000000000e+00
9.548220038910048002e-01,0.000000000000000000e+00,1.553076156066856423e-02,2.964723454832669455e-02,0.000000000000000000e+00
9.558381351390634606e-01,0.000000000000000000e+00,1.455253295921097624e-02,2.960933190172554408e-02,0.000000000000000000e+00
9.505586888295290970e-01,0.000000000000000000e+00,2.261029717933870503e-02,2.683101399113229160e-02,0.000000000000000000e+00
9.547470663394230783e-01,0.000000000000000000e+00,1.449465437359966601e-02,3.075827928697712557e-02,0.000000000000000000e+00
9.559173893593637672e-01,0.000000000000000000e+00,1.431258783433372699e-02,2.977002280630261163e-02,0.000000000000000000e+00
9.505991218050766633e-01,0.000000000000000000e+00,2.138460006533972682e-02,2.801627812958360636e-02,0.000000000000000000e+00
9.554012797622818409e-01,0.000000000000000000e+00,1.517520096097894899e-02,2.942351927673930723e-02,0.000000000000000000e+00
9.567857821052566658e-01,0.000000000000000000e+00,1.323971614818805938e-02,2.997450174655508573e-02,0.000000000000000000e+00
9.570276183178418883e-01,0.000000000000000000e+00,1.263196565830716767e-02,3.034041602385088854e-02,0.000000000000000000e+00
9.547278142572607207e-01,0.000000000000000000e+00,1.662150396170996441e-02,2.865068178102934265e-02,0.000000000000000000e+00
9.513921874960316050e-01,0.000000000000000000e+00,2.114023427014176393e-02,2.746757823382646110e-02,0.000000000000000000e+00
9.588161080694228566e-01,0.000000000000000000e+00,1.073521210554271785e-02,3.044867982503447409e-02,0.000000000000000000e+00
9.549497567308460333e-01,0.000000000000000000e+00,1.693411386066657684e-02,2.811612940848732048e-02,0.000000000000000000e+00
9.511596990705829535e-01,0.000000000000000000e+00,1.991277583941216886e-02,2.892752509000484640e-02,0.000000000000000000e+00
9.525917847942967365e-01,0.000000000000000000e+00,1.912477872065330292e-02,2.828343648505008551e-02,0.000000000000000000e+00
9.539001405161182667e-01,0.000000000000000000e+00,1.553979174228244976e-02,3.056006774159930606e-02,0.000000000000000000e+00
9.539743492955271575e-01,0.000000000000000000e+00,1.469239698617291930e-02,3.133325371830004979e-02,0.000000000000000000e+00
9.603473343403627904e-01,0.000000000000000000e+00,9.988698863328638461e-03,2.966396679630855376e-02,0.000000000000000000e+00
9.579648095803151575e-01,0.000000000000000000e+00,1.363360867391357964e-02,2.840158174577126632e-02,0.000000000000000000e+00
9.548009431334794073e-01,0.000000000000000000e+00,1.671632075948663310e-02,2.848273610703409495e-02,0.000000000000000000e+00
9.572097048137561126e-01,0.000000000000000000e+00,1.227555670757064267e-02,3.051473847867327768e-02,0.000000000000000000e+00
9.539773461262665011e-01,0.000000000000000000e+00,1.643848129057474267e-02,2.958417258315876666e-02,0.000000000000000000e+00
9.605547879039725290e-01,0.000000000000000000e+00,7.936890898924705770e-03,3.150832119710272883e-02,0.000000000000000000e+00
9.571821234159552105e-01,0.000000000000000000e+00,1.339146229406788444e-02,2.942641428997668299e-02,0.000000000000000000e+00
9.548862211635416042e-01,0.000000000000000000e+00,1.449026197697928127e-02,3.062351685947910934e-02,0.000000000000000000e+00
9.566215838221427958e-01,0.000000000000000000e+00,1.396037973396429405e-02,2.941803644389304195e-02,0.000000000000000000e+00
9.507011198422374854e-01,0.000000000000000000e+00,2.053279218168072365e-02,2.876608797608165916e-02,0.000000000000000000e+00
9.529767926113454912e-01,0.000000000000000000e+00,1.811405791553963654e-02,2.890914947311502836e-02,0.000000000000000000e+00
9.531871781897814921e-01,0.000000000000000000e+00,1.842224755000244907e-02,2.839057426021589919e-02,0.000000000000000000e+00
9.521714346012128960e-01,0.000000000000000000e+00,1.997344673097885617e-02,2.785511866780826171e-02,0.000000000000000000e+00
9.583478506832338040e-01,0.000000000000000000e+00,1.126667391109464553e-02,3.038547540567158520e-02,0.000000000000000000e+00
9.538709439225462328e-01,0.000000000000000000e+00,1.648873315033292167e-02,2.964032292712085945e-02,0.000000000000000000e+00
9.606333357591785305e-01,0.000000000000000000e+00,8.503365654439017443e-03,3.086329858638257873e-02,0.000000000000000000e+00
9.525080516972098676e-01,0.000000000000000000e+00,1.886256599891338037e-02,2.862938230387662361e-02,0.000000000000000000e+00
9.547452757867797013e-01,0.000000000000000000e+00,1.596843033355638611e-02,2.928629387966382239e-02,0.000000000000000000e+00
9.557703062090092683e-01,0.000000000000000000e+00,1.508125297867043274e-02,2.914844081232030593e-02,0.000000000000000000e+00
9.530724479951344641e-01,0.000000000000000000e+00,1.920175471712381662e-02,2.772579728774186500e-02,0.000000000000000000e+00
9.590078403010120489e-01,0.000000000000000000e+00,1.196501319870393702e-02,2.902714650028410254e-02,0.000000000000000000e+00
9.570118649261829535e-01,0.000000000000000000e+00,1.255214566094843727e-02,3.043598941286863174e-02,0.000000000000000000e+00
9.521356715442409469e-01,0.000000000000000000e+00,1.946999582131834008e-02,2.839433263444067490e-02,0.000000000000000000e+00
9.566716720744316005e-01,0.000000000000000000e+00,1.346669626199530588e-02,2.986163166357310925e-02,0.000000000000000000e+00
9.558320198330375606e-01,0.000000000000000000e+00,1.455363370864337126e-02,2.961434645831892767e-02,0.000000000000000000e+00
9.524229589368550242e-01,0.000000000000000000e+00,1.825304926498556163e-02,2.932399179815951828e-02,0.000000000000000000e+00
9.566169094527088301e-01,0.000000000000000000e+00,1.326062659152490303e-02,3.012246395576624255e-02,0.000000000000000000e+00
9.554787003649402033e-01,0.000000000000000000e+00,1.478016260465257227e-02,2.974113703040705964e-02,0.000000000000000000e+00
9.515433939699503574e-01,0.000000000000000000e+00,1.790060242041048577e-02,3.055600360963919501e-02,0.000000000000000000e+00
9.545818805952035468e-01,0.000000000000000000e+00,1.646419998958469771e-02,2.895391941521165136e-02,0.000000000000000000e+00
9.577709718887464918e-01,0.000000000000000000e+00,1.271130310835148942e-02,2.951772500290199969e-02,0.000000000000000000e+00
9.545005450719701301e-01,0.000000000000000000e+00,1.649210152065206519e-02,2.900735340737779430e-02,0.000000000000000000e+00
9.326237653561855190e-01,3.065198487860714902e-02,7.811594302406362801e-03,2.891265546280075149e-02,0.000000000000000000e+00
9.565200597522440784e-01,0.000000000000000000e+00,1.485565723064128166e-02,2.862428301711452197e-02,0.000000000000000000e+00
9.577559681928464741e-01,0.000000000000000000e+00,1.228071817423090004e-02,2.996331363292266403e-02,0.000000000000000000e+00
9.557324143014929163e-01,0.000000000000000000e+00,1.591679338732698845e-02,2.835079231118008136e-02,0.000000000000000000e+00
9.596636618608113123e-01,0.000000000000000000e+00,1.009218976165307709e-02,3.024414837753565052e-02,0.000000000000000000e+00
9.580846393733299937e-01,0.000000000000000000e+00,1.206745807523242758e-02,2.984790255143743645e-02,0.000000000000000000e+00
9.516106140957445447e-01,0.000000000000000000e+00,1.924101545815251960e-02,2.914837044610299466e-02,0.000000000000000000e+00
9.514562600026467143e-01,0.000000000000000000e+00,1.998734379041175110e-02,2.855639620694151726e-02,0.000000000000000000e+00
9.549580738274889846e-01,0.000000000000000000e+00,1.578643217179286073e-02,2.925549400071823097e-02,0.000000000000000000e+00
9.539626375418414073e-01,0.000000000000000000e+00,1.810733443285814787e-02,2.793002802530045181e-02,0.000000000000000000e+00
9.513138674980899934e-01,0.000000000000000000e+00,2.023094823392293864e-02,2.845518426798692574e-02,0.000000000000000000e+00
9.510972178257589560e-01,0.000000000000000000e+00,2.030113739459343120e-02,2.860164477964757812e-02,0.000000000000000000e+00
9.578895315665912902e-01,0.000000000000000000e+00,1.227752603697857513e-02,2.983294239643000112e-02,0.000000000000000000e+00
9.575249822475908612e-01,0.000000000000000000e+00,1.314090368353467743e-02,2.933411406887448392e-02,0.000000000000000000e+00
9.569088061212881469e-01,0.000000000000000000e+00,1.403742478050418185e-02,2.905376909820761230e-02,0.000000000000000000e+00
9.517672283548105350e-01,0.000000000000000000e+00,1.895814039943492443e-02,2.927463124575450590e-02,0.000000000000000000e+00
9.546750297227253323e-01,0.000000000000000000e+00,1.565482409511534390e-02,2.967014618215946600e-02,0.000000000000000000e+00
9.530810595954340991e-01,0.000000000000000000e+00,1.714491625609108894e-02,2.977402414847479112e-02,0.000000000000000000e+00
9.536687809191901621e-01,0.000000000000000000e+00,1.681561541539122046e-02,2.951560366541845087e-02,0.000000000000000000e+00
9.537356250853527007e-01,0.000000000000000000e+00,1.753548782051250407e-02,2.872888709413472935e-02,0.000000000000000000e+00
9.589222946719625496e-01,0.000000000000000000e+00,1.042591849604289356e-02,3.065178683199449444e-02,0.000000000000000000e+00
9.547743419276996102e-01,0.000000000000000000e+00,1.556331966718468331e-02,2.966233840511585743e-02,0.000000000000000000e+00
9.589865991364386888e-01,0.000000000000000000e+00,1.071362339685225443e-02,3.029977746670898392e-02,0.000000000000000000e+00
9.523880253394957363e-01,0.000000000000000000e+00,1.838098298785570406e-02,2.923099167264842785e-02,0.000000000000000000e+00
9.567051096266857568e-01,0.000000000000000000e+00,1.415872192447400341e-02,2.913616844884012527e-02,0.000000000000000000e+00
9.535589236667161295e-01,0.000000000000000000e+00,1.631663761271603605e-02,3.012443872056785182e-02,0.000000000000000000e+00
9.582200651114582968e-01,0.000000000000000000e+00,1.135904979503538775e-02,3.042088509350632589e-02,0.000000000000000000e+00
9.585459133821816469e-01,0.000000000000000000e+00,1.080429948285175495e-02,3.064978713496668838e-02,0.000000000000000000e+00
9.522356280206405454e-01,0.000000000000000000e+00,1.891830927155156716e-02,2.884606270780782841e-02,0.000000000000000000e+00
9.531746474464420915e-01,0.000000000000000000e+00,1.832812494716205831e-02,2.849722760639576344e-02,0.000000000000000000e+00
9.590140702216747304e-01,0.000000000000000000e+00,1.022343602736098221e-02,3.076249375096421976e-02,0.000000000000000000e+00
9.597225830423719017e-01,0.000000000000000000e+00,1.052652833428978883e-02,2.975088862333830075e-02,0.000000000000000000e+00
9.565802522328229474e-01,0.000000000000000000e+00,1.424140371307140197e-02,2.917834405410569057e-02,0.000000000000000000e+00
9.573220980969159299e-01,0.000000000000000000e+00,1.276322444035768097e-02,2.991467746272628153e-02,0.000000000000000000e+00
9.536419375037478163e-01,0.000000000000000000e+00,1.716040687958865843e-02,2.919765561666344197e-02,0.000000000000000000e+00
9.544572729276922241e-01,0.000000000000000000e+00,1.657314412275400634e-02,2.896958294955376961e-02,0.000000000000000000e+00
9.551369676316008306e-01,0.000000000000000000e+00,1.418901036014437629e-02,3.067402200825480180e-02,0.000000000000000000e+00
9.511450370925987885e-01,0.000000000000000000e+00,2.077882208715480655e-02,2.807614082024643271e-02,0.000000000000000000e+00
9.591185150941275994e-01,0.000000000000000000e+00,1.162864368689736812e-02,2.925284121897504808e-02,0.000000000000000000e+00
9.499155121293026971e-01,0.000000000000000000e+00,2.016575887666118699e-02,2.991872899403608815e-02,0.000000000000000000e+00
9.520207762582105770e-01,0.000000000000000000e+00,2.023066744169219403e-02,2.774855630009711790e-02,0.000000000000000000e+00
9.531475255795986978e-01,0.000000000000000000e+00,1.824637381548946738e-02,2.860610060491195622e-02,0.000000000000000000e+00
9.563795135326816910e-01,0.000000000000000000e+00,1.427911178703582425e-02,2.934137468028243101e-02,0.000000000000000000e+00
9.554499321032399184e-01,0.000000000000000000e+00,1.552591630721391475e-02,2.902415158954603155e-02,0.000000000000000000e+00
9.582139185025306816e-01,0.000000000000000000e+00,1.061723048242780437e-02,3.116885101504160080e-02,0.000000000000000000e+00
9.599160342471397822e-01,0.000000000000000000e+00,1.049074114885854662e-02,2.959322460400170759e-02,0.000000000000000000e+00
9.534314039125361129e-01,0.000000000000000000e+00,1.779266880858443658e-02,2.877592727887931870e-02,0.000000000000000000e+00
9.561058156477809655e-01,0.000000000000000000e+00,1.447703679544379285e-02,2.941714755677522428e-02,0.000000000000000000e+00
9.580102710497329088e-01,0.000000000000000000e+00,1.275267321190577154e-02,2.923705573836128668e-02,0.000000000000000000e+00
9.581055716513551257e-01,0.000000000000000000e+00,1.134912026332301517e-02,3.054530808532186434e-02,0.000000000000000000e+00
9.562962115996905821e-01,0.000000000000000000e+00,1.381853421481627278e-02,2.988525418549323881e-02,0.000000000000000000e+00
9.605569807755551803e-01,0.000000000000000000e+00,9.301481543978848410e-03,3.014153768046578738e-02,0.000000000000000000e+00
9.583785300733626000e-01,0.000000000000000000e+00,1.097744104798064474e-02,3.064402887865693911e-02,0.000000000000000000e+00
9.537243813553585303e-01,0.000000000000000000e+00,1.778426616177309835e-02,2.849135248286840602e-02,0.000000000000000000e+00
9.506608154109339459e-01,0.000000000000000000e+00,2.136497984718986956e-02,2.797420474187615677e-02,0.000000000000000000e+00
9.566610392974103094e-01,0.000000000000000000e+00,1.303152845595149760e-02,3.030743224663841329e-02,0.000000000000000000e+00
9.536684772947877642e-01,0.000000000000000000e+00,1.678129007391811894e-02,2.955023263129414116e-02,0.000000000000000000e+00
9.562680440636980306e-01,0.000000000000000000e+00,1.358593117194627220e-02,3.014602476435571110e-02,0.000000000000000000e+00
9.528869444786888243e-01,0.000000000000000000e+00,1.839297307540789864e-02,2.872008244590336032e-02,0.000000000000000000e+00
9.568139440064001855e-01,0.000000000000000000e+00,1.357486608512604824e-02,2.961118990847391719e-02,0.000000000000000000e+00
9.532153365196959216e-01,0.000000000000000000e+00,1.903528806501507409e-02,2.774937541528905982e-02,0.000000000000000000e+00
9.565963412091568197e-01,0.000000000000000000e+00,1.328483813127485404e-02,3.011882065956823437e-02,0.000000000000000000e+00
9.518678684010213331e-01,0.000000000000000000e+00,1.885982985608856966e-02,2.927230174289010417e-02,0.000000000000000000e+00
9.524344571284644179e-01,0.000000000000000000e+00,1.755545734928686333e-02,3.001008552224873616e-02,0.000000000000000000e+00
9.539753807438674515e-01,0.000000000000000000e+00,1.662564083295896625e-02,2.939897842317353710e-02,0.000000000000000000e+00
9.531278501130604486e-01,0.000000000000000000e+00,1.682901627896628283e-02,3.004313360797310900e-02,0.000000000000000000e+00
9.546931359359833724e-01,0.000000000000000000e+00,1.439793188021695411e-02,3.090893218379967000e-02,0.000000000000000000e+00
9.557939599773552786e-01,0.000000000000000000e+00,1.347659281547792208e-02,3.072944720716686354e-02,0.000000000000000000e+00
9.549581050337417887e-01,0.000000000000000000e+00,1.669036660388098503e-02,2.835152836237716731e-02,0.000000000000000000e+00
9.567802828065292697e-01,0.000000000000000000e+00,1.404466219494312357e-02,2.917505499852773160e-02,0.000000000000000000e+00
9.550710438484585341e-01,0.000000000000000000e+00,1.499229966070695329e-02,2.993665649083445193e-02,0.000000000000000000e+00
9.578305181578128380e-01,0.000000000000000000e+00,1.241964690916213046e-02,2.974983493302508705e-02,0.000000000000000000e+00
9.572262166731075883e-01,0.000000000000000000e+00,1.197331157607809185e-02,3.080047175081428862e-02,0.000000000000000000e+00
9.550534137350344954e-01,4.430432681016154700e-03,1.015624859288521628e-02,3.035990499106398094e-02,0.000000000000000000e+00
9.522705324029854257e-01,0.000000000000000000e+00,1.872141275099677843e-02,2.900805484601780976e-02,0.000000000000000000e+00
9.557714567597956901e-01,0.000000000000000000e+00,1.541493496158031530e-02,2.881360827862394433e-02,0.000000000000000000e+00
9.515486493317008021e-01,0.000000000000000000e+00,1.988463534388182699e-02,2.856671532441748540e-02,0.000000000000000000e+00
9.306268095245219252e-01,3.141081063136398621e-02,8.385729826292083119e-03,2.957665001782190661e-02,0.000000000000000000e+00
9.530453789162112166e-01,0.000000000000000000e+00,1.806386853485339103e-02,2.889075254893525360e-02,0.000000000000000000e+00
9.582271155352091174e-01,0.000000000000000000e+00,1.226036960057463356e-02,2.951251486421618830e-02,0.000000000000000000e+00
9.552225481043413735e-01,0.000000000000000000e+00,1.515060823682900550e-02,2.962684365882971640e-02,0.000000000000000000e+00
9.579114969296517179e-01,0.000000000000000000e+00,1.171373077253417064e-02,3.037477229781414614e-02,0.000000000000000000e+00
9.486901479636667966e-01,0.000000000000000000e+00,2.313051908045192159e-02,2.817933295588140666e-02,0.000000000000000000e+00
9.535985259602192121e-01,0.000000000000000000e+00,1.647434698055838531e-02,2.992712705922232277e-02,0.000000000000000000e+00
9.544867122868405662e-01,0.000000000000000000e+00,1.640424372652046422e-02,2.910904398663899384e-02,0.000000000000000000e+00
9.525017811302693982e-01,0.000000000000000000e+00,2.035571095099324504e-02,2.714250791873737412e-02,0.000000000000000000e+00
9.544445591134582685e-01,0.000000000000000000e+00,1.734669275141717537e-02,2.820874813512463594e-02,0.000000000000000000e+00
9.547473377701627406e-01,0.000000000000000000e+00,1.607856333086829861e-02,2.917409889896880812e-02,0.000000000000000000e+00
9.527969704339380730e-01,0.000000000000000000e+00,1.762849818965182835e-02,2.957453137641009866e-02,0.000000000000000000e+00
9.593463934273986915e-01,0.000000000000000000e+00,9.983409705391067118e-03,3.067019686721034546e-02,0.000000000000000000e+00
9.512774342592992260e-01,0.000000000000000000e+00,2.062385166823620455e-02,2.809871407246477409e-02,0.000000000000000000e+00
9.486870928496448085e-01,0.000000000000000000e+00,2.425963653172576867e-02,2.705327061862947136e-02,0.000000000000000000e+00
9.566647427241388169e-01,0.000000000000000000e+00,1.337545207772826254e-02,2.995980519813285642e-02,0.000000000000000000e+00
9.538441187062689508e-01,0.000000000000000000e+00,1.709784816529553650e-02,2.905803312843538780e-02,0.000000000000000000e+00
9.563921601796954164e-01,0.000000000000000000e+00,1.372043096594485409e-02,2.988740885435974340e-02,0.000000000000000000e+00
9.530992543362681868e-01,0.000000000000000000e+00,1.725765250907393411e-02,2.964309315465783398e-02,0.000000000000000000e+00
9.562066637621386977e-01,0.000000000000000000e+00,1.538314347278469177e-02,2.841019276507662783e-02,0.000000000000000000e+00
9.580802625594033728e-01,0.000000000000000000e+00,1.344436536517952530e-02,2.847537207541700824e-02,0.000000000000000000e+00
9.578015531857987375e-01,0.000000000000000000e+00,1.137530788987112414e-02,3.082313892432997360e-02,0.000000000000000000e+00
9.535162825660465913e-01,0.000000000000000000e+00,1.713625154304052392e-02,2.934746589091292643e-02,0.000000000000000000e+00
9.618075620704925610e-01,0.000000000000000000e+00,8.024709762250396144e-03,3.016772816725690753e-02,0.000000000000000000e+00
