# DNRN, Denitrification, Anammox, Nitrite Oxidation, CaCO3 Dissolution 
9.370397453631361673e-01,0.000000000000000000e+00,3.889699718042804316e-02,2.406325745643576181e-02,0.000000000000000000e+00
9.379859461296057299e-01,0.000000000000000000e+00,3.805019960003026142e-02,2.396385427036414051e-02,0.000000000000000000e+00
9.376864441361502100e-01,0.000000000000000000e+00,3.865128205632960973e-02,2.366227380752024614e-02,0.000000000000000000e+00
9.376648758200173406e-01,0.000000000000000000e+00,3.860012899092194610e-02,2.373499518906063005e-02,0.000000000000000000e+00
9.411741899723489180e-01,0.000000000000000000e+00,3.405659208090950490e-02,2.476921794674161181e-02,0.000000000000000000e+00
9.401703478539394920e-01,0.000000000000000000e+00,3.554322390693479689e-02,2.428642823912564169e-02,0.000000000000000000e+00
9.400303888594265800e-01,0.000000000000000000e+00,3.689027583237206726e-02,2.307933530820138399e-02,0.000000000000000000e+00
9.368916952045316382e-01,0.000000000000000000e+00,3.804281666036853082e-02,2.506548813509989343e-02,0.000000000000000000e+00
9.378342371331456206e-01,0.000000000000000000e+00,3.835681451535409570e-02,2.380894835150037039e-02,0.000000000000000000e+00
9.355425083102043571e-01,0.000000000000000000e+00,4.067199509775129562e-02,2.378549659204427444e-02,0.000000000000000000e+00
9.390947845764824331e-01,0.000000000000000000e+00,3.690817840749258116e-02,2.399703701602506553e-02,0.000000000000000000e+00
9.399872490611904663e-01,0.000000000000000000e+00,3.623914749826753073e-02,2.377360344054194746e-02,0.000000000000000000e+00
9.376036403215255444e-01,0.000000000000000000e+00,3.817676438146166279e-02,2.421959529701285183e-02,0.000000000000000000e+00
9.383254680336954312e-01,0.000000000000000000e+00,3.788862434617114999e-02,2.378590762013337370e-02,0.000000000000000000e+00
9.358527592380530002e-01,0.000000000000000000e+00,4.107267174831633061e-02,2.307456901363062404e-02,0.000000000000000000e+00
9.368631763118635547e-01,0.000000000000000000e+00,3.858487733332326836e-02,2.455194635481321511e-02,0.000000000000000000e+00
9.388013778360710937e-01,0.000000000000000000e+00,3.726362455567438364e-02,2.393499760825438735e-02,0.000000000000000000e+00
9.383385055603075120e-01,0.000000000000000000e+00,3.721182231656571665e-02,2.444967212312684768e-02,0.000000000000000000e+00
9.403319435567861762e-01,0.000000000000000000e+00,3.499123550746281036e-02,2.467682093575095104e-02,0.000000000000000000e+00
9.375169521452779708e-01,0.000000000000000000e+00,3.908910240921588397e-02,2.339394544550617294e-02,0.000000000000000000e+00
9.393923272511959244e-01,0.000000000000000000e+00,3.604102544029840621e-02,2.456664730850573880e-02,0.000000000000000000e+00
9.394116320231330475e-01,0.000000000000000000e+00,3.645612097094638043e-02,2.413224700592055821e-02,0.000000000000000000e+00
9.398744769050562109e-01,0.000000000000000000e+00,3.484708407157526694e-02,2.527843902336864360e-02,0.000000000000000000e+00
9.363421557349346225e-01,0.000000000000000000e+00,4.086267211660355586e-02,2.279517214846176615e-02,0.000000000000000000e+00
9.384496496834671131e-01,0.000000000000000000e+00,3.677933402909989297e-02,2.477101628743301129e-02,0.000000000000000000e+00
9.367056090374723532e-01,0.000000000000000000e+00,3.873404635906413374e-02,2.456034460346346801e-02,0.000000000000000000e+00
9.378673134886302831e-01,0.000000000000000000e+00,3.688375509718511830e-02,2.524893141418474776e-02,0.000000000000000000e+00
9.366922241676398642e-01,0.000000000000000000e+00,3.986610786823166497e-02,2.344166796412842924e-02,0.000000000000000000e+00
9.387531032276464904e-01,0.000000000000000000e+00,3.653584880568665899e-02,2.471104796666668060e-02,0.000000000000000000e+00
9.381504512313630917e-01,0.000000000000000000e+00,3.805702453426883930e-02,2.379252423436801697e-02,0.000000000000000000e+00
9.373660874234177598e-01,0.000000000000000000e+00,3.874337881905380587e-02,2.389053375752858699e-02,0.000000000000000000e+00
9.390901722306164157e-01,0.000000000000000000e+00,3.654988285212872057e-02,2.435994491725476316e-02,0.000000000000000000e+00
9.390499372066017925e-01,0.000000000000000000e+00,3.632437891609639063e-02,2.462568387730173017e-02,0.000000000000000000e+00
9.373911851234050241e-01,0.000000000000000000e+00,3.946852466588470637e-02,2.314029021071032158e-02,0.000000000000000000e+00
9.386887195430096975e-01,0.000000000000000000e+00,3.866205362104238596e-02,2.264922683594803102e-02,0.000000000000000000e+00
9.404532272861214626e-01,0.000000000000000000e+00,3.443378429119731132e-02,2.511298842268140652e-02,0.000000000000000000e+00
9.382922376510700602e-01,0.000000000000000000e+00,3.828809300344643285e-02,2.341966934548343759e-02,0.000000000000000000e+00
9.397469979195834933e-01,0.000000000000000000e+00,3.466944545926515381e-02,2.558355662115132517e-02,0.000000000000000000e+00
9.430663015592449794e-01,0.000000000000000000e+00,3.150450825670476906e-02,2.542919018405019951e-02,0.000000000000000000e+00
9.396706983213761744e-01,0.000000000000000000e+00,3.645759922807612075e-02,2.387170245054781939e-02,0.000000000000000000e+00
9.400902270033564267e-01,0.000000000000000000e+00,3.559214089281630827e-02,2.431763210382727192e-02,0.000000000000000000e+00
9.366091431137933965e-01,0.000000000000000000e+00,3.954420776220200773e-02,2.384664912400472070e-02,0.000000000000000000e+00
9.368149604491786686e-01,0.000000000000000000e+00,3.900145468899292311e-02,2.418358486182825215e-02,0.000000000000000000e+00
9.349637975475599827e-01,0.000000000000000000e+00,4.086849275939099385e-02,2.416770969304897140e-02,0.000000000000000000e+00
9.367735770848278909e-01,0.000000000000000000e+00,3.966809727627030463e-02,2.355832563890178019e-02,0.000000000000000000e+00
9.369072453974667258e-01,0.000000000000000000e+00,3.917864275836684812e-02,2.391411184416642258e-02,0.000000000000000000e+00
9.349492691220500085e-01,0.000000000000000000e+00,4.222646475708047298e-02,2.282426612086955325e-02,0.000000000000000000e+00
9.367968296418172081e-01,0.000000000000000000e+00,3.976335518034494754e-02,2.343981517783769869e-02,0.000000000000000000e+00
9.371189139448440342e-01,0.000000000000000000e+00,3.880462245934242910e-02,2.407646359581357490e-02,0.000000000000000000e+00
9.374815961683200527e-01,0.000000000000000000e+00,3.823511186397953593e-02,2.428329196770039403e-02,0.000000000000000000e+00
9.366591290416780291e-01,0.000000000000000000e+00,3.882109808819388108e-02,2.451977287012825288e-02,0.000000000000000000e+00
9.355802921117227777e-01,0.000000000000000000e+00,4.022458560418631229e-02,2.419512228409090998e-02,0.000000000000000000e+00
9.365004996606439702e-01,0.000000000000000000e+00,4.100399621635011926e-02,2.249550412300590704e-02,0.000000000000000000e+00
9.397350229028934576e-01,0.000000000000000000e+00,3.586410238124469047e-02,2.440087471586177906e-02,0.000000000000000000e+00
9.387487889747205827e-01,0.000000000000000000e+00,3.718305942833875777e-02,2.406815159694065953e-02,0.000000000000000000e+00
9.362140437670346538e-01,0.000000000000000000e+00,4.108983825463193018e-02,2.269611797833345074e-02,0.000000000000000000e+00
9.402982168763440729e-01,0.000000000000000000e+00,3.601730767993963078e-02,2.368447544371640040e-02,0.000000000000000000e+00
